metric,case,candidate,iteration,value,status
build-total,static-output,native,0,0.8034,0
build-snapshot,static-output,native,0,0.094766,0
build-decode,static-output,native,0,0.000671,0
build-emit,static-output,native,0,0.000089,0
build-qbe,static-output,native,0,0.013249,0
build-link,static-output,native,0,0.220307,0
build-total,static-output,go,0,2.93194,0
build-total,static-output,go-size,0,2.924494,0
build-total,static-output,go,1,0.188576,0
build-total,static-output,native,1,0.107512,0
build-snapshot,static-output,native,1,0.015489,0
build-decode,static-output,native,1,0.000175,0
build-emit,static-output,native,1,0.00006,0
build-qbe,static-output,native,1,0.007094,0
build-link,static-output,native,1,0.075113,0
build-total,static-output,go-size,1,0.179942,0
build-total,static-output,native,2,0.120176,0
build-snapshot,static-output,native,2,0.021043,0
build-decode,static-output,native,2,0.000189,0
build-emit,static-output,native,2,0.000038,0
build-qbe,static-output,native,2,0.010721,0
build-link,static-output,native,2,0.07522,0
build-total,static-output,go,2,0.202906,0
build-total,static-output,go-size,2,0.176782,0
build-total,static-output,go,3,0.178318,0
build-total,static-output,native,3,0.106017,0
build-snapshot,static-output,native,3,0.014799,0
build-decode,static-output,native,3,0.000171,0
build-emit,static-output,native,3,0.000043,0
build-qbe,static-output,native,3,0.0068,0
build-link,static-output,native,3,0.07594,0
build-total,static-output,go-size,3,0.173204,0
build-total,static-output,native,4,0.113271,0
build-snapshot,static-output,native,4,0.014415,0
build-decode,static-output,native,4,0.000185,0
build-emit,static-output,native,4,0.000042,0
build-qbe,static-output,native,4,0.006591,0
build-link,static-output,native,4,0.083615,0
build-total,static-output,go,4,0.173821,0
build-total,static-output,go-size,4,0.158232,0
build-total,static-output,go,5,0.186484,0
build-total,static-output,native,5,0.105744,0
build-snapshot,static-output,native,5,0.015077,0
build-decode,static-output,native,5,0.000168,0
build-emit,static-output,native,5,0.000039,0
build-qbe,static-output,native,5,0.006826,0
build-link,static-output,native,5,0.075293,0
build-total,static-output,go-size,5,0.184001,0
build-total,static-output,native,6,0.105563,0
build-snapshot,static-output,native,6,0.014538,0
build-decode,static-output,native,6,0.00019,0
build-emit,static-output,native,6,0.000038,0
build-qbe,static-output,native,6,0.007095,0
build-link,static-output,native,6,0.074073,0
build-total,static-output,go,6,0.519302,0
build-total,static-output,go-size,6,0.215903,0
build-total,static-output,go,7,0.206526,0
build-total,static-output,native,7,0.118391,0
build-snapshot,static-output,native,7,0.018944,0
build-decode,static-output,native,7,0.000229,0
build-emit,static-output,native,7,0.000035,0
build-qbe,static-output,native,7,0.007076,0
build-link,static-output,native,7,0.075177,0
build-total,static-output,go-size,7,0.175897,0
build-total,static-output,native,8,0.120531,0
build-snapshot,static-output,native,8,0.019759,0
build-decode,static-output,native,8,0.000205,0
build-emit,static-output,native,8,0.000038,0
build-qbe,static-output,native,8,0.006958,0
build-link,static-output,native,8,0.08063,0
build-total,static-output,go,8,0.179697,0
build-total,static-output,go-size,8,0.244717,0
build-total,static-output,go,9,0.215304,0
build-total,static-output,native,9,0.112686,0
build-snapshot,static-output,native,9,0.016241,0
build-decode,static-output,native,9,0.000205,0
build-emit,static-output,native,9,0.000046,0
build-qbe,static-output,native,9,0.006642,0
build-link,static-output,native,9,0.080547,0
build-total,static-output,go-size,9,0.154534,0
build-peak-rss,static-output,native,0,35749888,0
build-peak-rss,static-output,go,0,68616192,0
build-peak-rss,static-output,go-size,0,60358656,0
size-raw,static-output,native,0,50440,0
size-raw,static-output,go,0,2429714,0
size-raw,static-output,go-size,0,1587714,0
size-stripped,static-output,native,0,50032,0
size-stripped,static-output,go,0,2330800,0
size-stripped,static-output,go-size,0,1587768,0
