metric,case,candidate,iteration,value,status
build-total,self-host,recovery,0,2.564444,0
build-snapshot,self-host,recovery,0,0.10459,0
build-decode,self-host,recovery,0,0.125528,0
build-emit,self-host,recovery,0,1.440148,0
build-qbe,self-host,recovery,0,0.276286,0
build-link,self-host,recovery,0,0.590033,0
build-total,self-host,recovery,1,2.516418,0
build-snapshot,self-host,recovery,1,0.0825,0
build-decode,self-host,recovery,1,0.12037,0
build-emit,self-host,recovery,1,1.431751,0
build-qbe,self-host,recovery,1,0.282287,0
build-link,self-host,recovery,1,0.582553,0
build-total,self-host,recovery,2,2.511273,0
build-snapshot,self-host,recovery,2,0.081249,0
build-decode,self-host,recovery,2,0.123023,0
build-emit,self-host,recovery,2,1.439077,0
build-qbe,self-host,recovery,2,0.275126,0
build-link,self-host,recovery,2,0.575056,0
build-total,self-host,b0,0,12.088024,0
build-compiler,self-host,b0,0,11.68236,0
build-qbe,self-host,b0,0,0.077851,0
build-link,self-host,b0,0,0.314482,0
build-total,self-host,b1,-2,0.90661,0
build-compiler,self-host,b1,-2,0.492452,0
build-qbe,self-host,b1,-2,0.078368,0
build-link,self-host,b1,-2,0.323088,0
build-total,self-host,b2,-2,0.906474,0
build-compiler,self-host,b2,-2,0.502774,0
build-qbe,self-host,b2,-2,0.076354,0
build-link,self-host,b2,-2,0.31446,0
build-total,self-host,b1,-1,0.703805,0
build-compiler,self-host,b1,-1,0.314351,0
build-qbe,self-host,b1,-1,0.076004,0
build-link,self-host,b1,-1,0.30493,0
build-total,self-host,b2,-1,0.915337,0
build-compiler,self-host,b2,-1,0.507623,0
build-qbe,self-host,b2,-1,0.077073,0
build-link,self-host,b2,-1,0.318124,0
build-total,self-host,b1,0,0.712066,0
build-compiler,self-host,b1,0,0.304543,0
build-qbe,self-host,b1,0,0.07732,0
build-link,self-host,b1,0,0.317541,0
build-total,self-host,b2,0,0.898422,0
build-compiler,self-host,b2,0,0.492242,0
build-qbe,self-host,b2,0,0.077287,0
build-link,self-host,b2,0,0.316273,0
build-total,self-host,b2,1,0.722519,0
build-compiler,self-host,b2,1,0.30865,0
build-qbe,self-host,b2,1,0.076853,0
build-link,self-host,b2,1,0.324086,0
build-total,self-host,b1,1,0.716373,0
build-compiler,self-host,b1,1,0.305865,0
build-qbe,self-host,b1,1,0.07674,0
build-link,self-host,b1,1,0.321271,0
build-total,self-host,b1,2,0.711628,0
build-compiler,self-host,b1,2,0.302729,0
build-qbe,self-host,b1,2,0.081176,0
build-link,self-host,b1,2,0.315757,0
build-total,self-host,b2,2,0.891731,0
build-compiler,self-host,b2,2,0.489567,0
build-qbe,self-host,b2,2,0.076863,0
build-link,self-host,b2,2,0.312559,0
build-total,self-host,b2,3,0.672173,0
build-compiler,self-host,b2,3,0.280726,0
build-qbe,self-host,b2,3,0.075428,0
build-link,self-host,b2,3,0.307402,0
build-total,self-host,b1,3,0.698656,0
build-compiler,self-host,b1,3,0.297456,0
build-qbe,self-host,b1,3,0.074976,0
build-link,self-host,b1,3,0.31345,0
build-total,self-host,b1,4,0.713299,0
build-compiler,self-host,b1,4,0.299659,0
build-qbe,self-host,b1,4,0.077024,0
build-link,self-host,b1,4,0.323367,0
build-total,self-host,b2,4,0.970195,0
build-compiler,self-host,b2,4,0.545369,0
build-qbe,self-host,b2,4,0.077819,0
build-link,self-host,b2,4,0.334786,0
build-total,self-host,b2,5,0.718205,0
build-compiler,self-host,b2,5,0.302148,0
build-qbe,self-host,b2,5,0.076233,0
build-link,self-host,b2,5,0.327219,0
build-total,self-host,b1,5,0.701582,0
build-compiler,self-host,b1,5,0.295375,0
build-qbe,self-host,b1,5,0.076838,0
build-link,self-host,b1,5,0.316139,0
build-total,self-host,b1,6,0.708963,0
build-compiler,self-host,b1,6,0.298531,0
build-qbe,self-host,b1,6,0.076855,0
build-link,self-host,b1,6,0.319306,0
build-total,self-host,b2,6,0.916559,0
build-compiler,self-host,b2,6,0.503811,0
build-qbe,self-host,b2,6,0.078766,0
build-link,self-host,b2,6,0.321514,0
build-total,self-host,b2,7,0.726716,0
build-compiler,self-host,b2,7,0.310139,0
build-qbe,self-host,b2,7,0.078532,0
build-link,self-host,b2,7,0.329644,0
build-total,self-host,b1,7,0.7175,0
build-compiler,self-host,b1,7,0.304,0
build-qbe,self-host,b1,7,0.077248,0
build-link,self-host,b1,7,0.322426,0
build-total,self-host,b1,8,0.705781,0
build-compiler,self-host,b1,8,0.300083,0
build-qbe,self-host,b1,8,0.077548,0
build-link,self-host,b1,8,0.315263,0
build-total,self-host,b2,8,1.062318,0
build-compiler,self-host,b2,8,0.657778,0
build-qbe,self-host,b2,8,0.076401,0
build-link,self-host,b2,8,0.315398,0
build-total,self-host,b2,9,0.711887,0
build-compiler,self-host,b2,9,0.299183,0
build-qbe,self-host,b2,9,0.078283,0
build-link,self-host,b2,9,0.321539,0
build-total,self-host,b1,9,0.72003,0
build-compiler,self-host,b1,9,0.303423,0
build-qbe,self-host,b1,9,0.078261,0
build-link,self-host,b1,9,0.325767,0
build-total,self-host,go,-2,2.790831,0
build-total,self-host,go,-1,0.340577,0
build-total,self-host,go,0,0.30534,0
build-total,self-host,go,1,0.314218,0
build-total,self-host,go,2,0.306895,0
build-total,self-host,go,3,0.325983,0
build-total,self-host,go,4,0.30476,0
build-total,self-host,go,5,0.3131,0
build-total,self-host,go,6,0.330726,0
build-total,self-host,go,7,0.315346,0
build-total,self-host,go,8,0.330396,0
build-total,self-host,go,9,0.316682,0
build-peak-rss,self-host,b0,0,91537408,0
compiler-peak-rss,self-host,b0,0,94699520,0
size-raw,self-host,b0,0,379584,0
size-stripped,self-host,b0,0,347864,0
emitted-qbe-size,self-host,b0,0,333181,0
build-peak-rss,self-host,b1,0,294207488,0
compiler-peak-rss,self-host,b1,0,294502400,0
size-raw,self-host,b1,0,162448,0
size-stripped,self-host,b1,0,133016,0
emitted-qbe-size,self-host,b1,0,333181,0
build-peak-rss,self-host,b2,0,294895616,0
compiler-peak-rss,self-host,b2,0,294486016,0
size-raw,self-host,b2,0,162448,0
size-stripped,self-host,b2,0,133016,0
emitted-qbe-size,self-host,b2,0,333181,0
build-peak-rss,self-host,go,0,101089280,0
size-raw,self-host,go,0,1366130,0
size-stripped,self-host,go,0,1366184,0
distribution-component-size,self-host,native-compiler,0,133016,0
distribution-component-size,self-host,qbe,0,403424,0
distribution-component-size,self-host,reference-trb,0,26885874,0
distribution-component-size,self-host,go-root,0,283246592,0
