metric,case,candidate,iteration,value,status
build-total,compiler-source,recovery-b0,0,4.356736,0
build-snapshot,compiler-source,recovery-b0,0,0.112704,0
build-decode,compiler-source,recovery-b0,0,0.201254,0
build-emit,compiler-source,recovery-b0,0,2.616759,0
build-qbe,compiler-source,recovery-b0,0,0.29926,0
build-link,compiler-source,recovery-b0,0,0.697184,0
build-total,compiler-source,bootstrap-b0,0,14.784074,0
build-compiler,compiler-source,bootstrap-b0,0,14.354048,0
build-qbe,compiler-source,bootstrap-b0,0,0.08206,0
build-link,compiler-source,bootstrap-b0,0,0.335083,0
build-total,compiler-source,bootstrap-b1,0,0.942301,0
build-compiler,compiler-source,bootstrap-b1,0,0.517341,0
build-qbe,compiler-source,bootstrap-b1,0,0.07941,0
build-link,compiler-source,bootstrap-b1,0,0.331333,0
build-total,compiler-source,bootstrap-b2,0,0.960909,0
build-compiler,compiler-source,bootstrap-b2,0,0.53381,0
build-qbe,compiler-source,bootstrap-b2,0,0.077942,0
build-link,compiler-source,bootstrap-b2,0,0.335501,0
go-free-build-total,compiler-source,native-b1,0,0.644734,0
bootstrap-total,compiler-source,matched-go,0,1.083868,0
normalized-executable-sha256,compiler-source,native-b1-b2,0,4e914a10c0a1108b5a09a940a6e3bca319885ac9b5699083f7d0d21e4fba156a,0
normalized-executable-size,compiler-source,native-b1-b2,0,182888,0
compiler-total,compiler-source,native-b1,-2,0.17551,0
compiler-total,compiler-source,matched-go,-2,31.302652,0
compiler-total,compiler-source,native-b2,-2,0.176097,0
compiler-total,compiler-source,native-b2,-1,0.162565,0
compiler-total,compiler-source,matched-go,-1,31.428325,0
compiler-total,compiler-source,native-b1,-1,0.171852,0
compiler-total,compiler-source,native-b1,0,0.15858,0
compiler-total,compiler-source,matched-go,0,31.499277,0
compiler-total,compiler-source,native-b2,0,0.164893,0
compiler-total,compiler-source,native-b2,1,0.144298,0
compiler-total,compiler-source,matched-go,1,31.54956,0
compiler-total,compiler-source,native-b1,1,0.178566,0
compiler-total,compiler-source,native-b1,2,0.151748,0
compiler-total,compiler-source,matched-go,2,31.524057,0
compiler-total,compiler-source,native-b2,2,0.17359,0
compiler-total,compiler-source,native-b2,3,0.14997,0
compiler-total,compiler-source,matched-go,3,31.42281,0
compiler-total,compiler-source,native-b1,3,0.176477,0
compiler-total,compiler-source,native-b1,4,0.156933,0
compiler-total,compiler-source,matched-go,4,31.694947,0
compiler-total,compiler-source,native-b2,4,0.175285,0
compiler-total,compiler-source,native-b2,5,0.161834,0
compiler-total,compiler-source,matched-go,5,31.600771,0
compiler-total,compiler-source,native-b1,5,0.174815,0
compiler-total,compiler-source,native-b1,6,0.157472,0
compiler-total,compiler-source,matched-go,6,31.517938,0
compiler-total,compiler-source,native-b2,6,0.178613,0
build-total,compiler-source,native-b1,-2,0.617077,0
build-compiler,compiler-source,native-b1,-2,0.162967,0
build-qbe,compiler-source,native-b1,-2,0.080859,0
build-link,compiler-source,native-b1,-2,0.354876,0
build-total,compiler-source,matched-go,-2,32.168384,0
build-compiler,compiler-source,matched-go,-2,31.689752,0
build-qbe,compiler-source,matched-go,-2,0.088378,0
build-link,compiler-source,matched-go,-2,0.376858,0
build-total,compiler-source,native-b2,-2,0.610828,0
build-compiler,compiler-source,native-b2,-2,0.172262,0
build-qbe,compiler-source,native-b2,-2,0.080538,0
build-link,compiler-source,native-b2,-2,0.344698,0
build-total,compiler-source,native-b2,-1,0.608169,0
build-compiler,compiler-source,native-b2,-1,0.162389,0
build-qbe,compiler-source,native-b2,-1,0.078508,0
build-link,compiler-source,native-b2,-1,0.348894,0
build-total,compiler-source,matched-go,-1,32.047785,0
build-compiler,compiler-source,matched-go,-1,31.594545,0
build-qbe,compiler-source,matched-go,-1,0.085045,0
build-link,compiler-source,matched-go,-1,0.354815,0
build-total,compiler-source,native-b1,-1,0.610548,0
build-compiler,compiler-source,native-b1,-1,0.169559,0
build-qbe,compiler-source,native-b1,-1,0.07981,0
build-link,compiler-source,native-b1,-1,0.348926,0
build-total,compiler-source,native-b1,0,0.606238,0
build-compiler,compiler-source,native-b1,0,0.161631,0
build-qbe,compiler-source,native-b1,0,0.081825,0
build-link,compiler-source,native-b1,0,0.349321,0
build-total,compiler-source,matched-go,0,32.032963,0
build-compiler,compiler-source,matched-go,0,31.578846,0
build-qbe,compiler-source,matched-go,0,0.085252,0
build-link,compiler-source,matched-go,0,0.356111,0
build-total,compiler-source,native-b2,0,0.61187,0
build-compiler,compiler-source,native-b2,0,0.174859,0
build-qbe,compiler-source,native-b2,0,0.081358,0
build-link,compiler-source,native-b2,0,0.34232,0
build-total,compiler-source,native-b2,1,0.603317,0
build-compiler,compiler-source,native-b2,1,0.165502,0
build-qbe,compiler-source,native-b2,1,0.079269,0
build-link,compiler-source,native-b2,1,0.343891,0
build-total,compiler-source,matched-go,1,32.115588,0
build-compiler,compiler-source,matched-go,1,31.657314,0
build-qbe,compiler-source,matched-go,1,0.086028,0
build-link,compiler-source,matched-go,1,0.359273,0
build-total,compiler-source,native-b1,1,0.601766,0
build-compiler,compiler-source,native-b1,1,0.170372,0
build-qbe,compiler-source,native-b1,1,0.080547,0
build-link,compiler-source,native-b1,1,0.33799,0
build-total,compiler-source,native-b1,2,0.607752,0
build-compiler,compiler-source,native-b1,2,0.172852,0
build-qbe,compiler-source,native-b1,2,0.079213,0
build-link,compiler-source,native-b1,2,0.342947,0
build-total,compiler-source,matched-go,2,32.238584,0
build-compiler,compiler-source,matched-go,2,31.726495,0
build-qbe,compiler-source,matched-go,2,0.085951,0
build-link,compiler-source,matched-go,2,0.412853,0
build-total,compiler-source,native-b2,2,0.628362,0
build-compiler,compiler-source,native-b2,2,0.173947,0
build-qbe,compiler-source,native-b2,2,0.084028,0
build-link,compiler-source,native-b2,2,0.356128,0
build-total,compiler-source,native-b2,3,0.612888,0
build-compiler,compiler-source,native-b2,3,0.151975,0
build-qbe,compiler-source,native-b2,3,0.085618,0
build-link,compiler-source,native-b2,3,0.350535,0
build-total,compiler-source,matched-go,3,32.134388,0
build-compiler,compiler-source,matched-go,3,31.685505,0
build-qbe,compiler-source,matched-go,3,0.082985,0
build-link,compiler-source,matched-go,3,0.34798,0
build-total,compiler-source,native-b1,3,0.601023,0
build-compiler,compiler-source,native-b1,3,0.169971,0
build-qbe,compiler-source,native-b1,3,0.078014,0
build-link,compiler-source,native-b1,3,0.340386,0
build-total,compiler-source,native-b1,4,0.610449,0
build-compiler,compiler-source,native-b1,4,0.170551,0
build-qbe,compiler-source,native-b1,4,0.082748,0
build-link,compiler-source,native-b1,4,0.344732,0
