metric,case,candidate,iteration,value,status
bootstrap-total,compiler-source,recovery-b0,0,4.374016,0
build-snapshot,compiler-source,recovery-b0,0,0.106945,0
build-decode,compiler-source,recovery-b0,0,0.1991,0
build-emit,compiler-source,recovery-b0,0,2.619528,0
build-qbe,compiler-source,recovery-b0,0,0.307761,0
build-link,compiler-source,recovery-b0,0,0.704241,0
bootstrap-total,compiler-source,bootstrap-b0,0,15.411738,0
build-compiler,compiler-source,bootstrap-b0,0,14.960008,0
build-qbe,compiler-source,bootstrap-b0,0,0.087159,0
build-link,compiler-source,bootstrap-b0,0,0.351182,0
bootstrap-total,compiler-source,bootstrap-b1,0,0.992,0
build-compiler,compiler-source,bootstrap-b1,0,0.529531,0
build-qbe,compiler-source,bootstrap-b1,0,0.077718,0
build-link,compiler-source,bootstrap-b1,0,0.370139,0
bootstrap-total,compiler-source,bootstrap-b2,0,0.944653,0
build-compiler,compiler-source,bootstrap-b2,0,0.514187,0
build-qbe,compiler-source,bootstrap-b2,0,0.07864,0
build-link,compiler-source,bootstrap-b2,0,0.33687,0
normalized-executable-sha256,compiler-source,native-b1-b2,0,e669a71d1d830662c6a1677693fd799466984c1d4bddfbcecc9c6a62b337f387,0
normalized-executable-size,compiler-source,native-b1-b2,0,183656,0
compiler-total,compiler-source,native-b1-file,-2,0.100914,0
compiler-total,compiler-source,native-b1-source-content,-2,0.168274,0
compiler-total,compiler-source,native-b2-source-content,-2,0.154772,0
compiler-total,compiler-source,native-b2-file,-2,0.101793,0
compiler-total,compiler-source,native-b2-file,-1,0.099871,0
compiler-total,compiler-source,native-b2-source-content,-1,0.159459,0
compiler-total,compiler-source,native-b1-source-content,-1,0.140495,0
compiler-total,compiler-source,native-b1-file,-1,0.095999,0
compiler-total,compiler-source,native-b1-file,0,0.101885,0
compiler-total,compiler-source,native-b1-source-content,0,0.166616,0
compiler-total,compiler-source,native-b2-source-content,0,0.147127,0
compiler-total,compiler-source,native-b2-file,0,0.096182,0
compiler-total,compiler-source,native-b2-file,1,0.101215,0
compiler-total,compiler-source,native-b2-source-content,1,0.158665,0
compiler-total,compiler-source,native-b1-source-content,1,0.143289,0
compiler-total,compiler-source,native-b1-file,1,0.100543,0
compiler-total,compiler-source,native-b1-file,2,0.099677,0
compiler-total,compiler-source,native-b1-source-content,2,0.163988,0
compiler-total,compiler-source,native-b2-source-content,2,0.15374,0
compiler-total,compiler-source,native-b2-file,2,0.103145,0
compiler-total,compiler-source,native-b2-file,3,0.100399,0
compiler-total,compiler-source,native-b2-source-content,3,0.168715,0
compiler-total,compiler-source,native-b1-source-content,3,0.14996,0
compiler-total,compiler-source,native-b1-file,3,0.095998,0
compiler-total,compiler-source,native-b1-file,4,0.103701,0
compiler-total,compiler-source,native-b1-source-content,4,0.177794,0
compiler-total,compiler-source,native-b2-source-content,4,0.149375,0
compiler-total,compiler-source,native-b2-file,4,0.097787,0
compiler-total,compiler-source,native-b2-file,5,0.107471,0
compiler-total,compiler-source,native-b2-source-content,5,0.174433,0
compiler-total,compiler-source,native-b1-source-content,5,0.136489,0
compiler-total,compiler-source,native-b1-file,5,0.096351,0
compiler-total,compiler-source,native-b1-file,6,0.1021,0
compiler-total,compiler-source,native-b1-source-content,6,0.166348,0
compiler-total,compiler-source,native-b2-source-content,6,0.163806,0
compiler-total,compiler-source,native-b2-file,6,0.09526,0
compiler-peak-rss,compiler-source,native-b1-file,0,11698176,0
compiler-peak-rss,compiler-source,native-b1-source-content,0,11845632,0
compiler-peak-rss,compiler-source,native-b2-source-content,0,11812864,0
compiler-peak-rss,compiler-source,native-b2-file,0,11698176,0
compiler-peak-rss,compiler-source,native-b2-file,1,11714560,0
compiler-peak-rss,compiler-source,native-b2-source-content,1,11812864,0
compiler-peak-rss,compiler-source,native-b1-source-content,1,11796480,0
compiler-peak-rss,compiler-source,native-b1-file,1,11681792,0
compiler-peak-rss,compiler-source,native-b1-file,2,11698176,0
compiler-peak-rss,compiler-source,native-b1-source-content,2,11812864,0
compiler-peak-rss,compiler-source,native-b2-source-content,2,11845632,0
compiler-peak-rss,compiler-source,native-b2-file,2,11730944,0
size-gate5-baseline,compiler-source,native-b1,0,149544,0
size-registered-limit,compiler-source,native-b1,0,164498,0
size-raw,compiler-source,native-b1,0,183648,0
size-stripped,compiler-source,native-b1,0,149784,0
size-raw,compiler-source,native-b2,0,183648,0
size-stripped,compiler-source,native-b2,0,149784,0
emitted-qbe-sha256,compiler-source,native-b1,0,e3c117159ad344a29b9907c3e8955a444cf0360f30e6c22aead376375a53d86c,0
emitted-qbe-sha256,compiler-source,native-b2,0,e3c117159ad344a29b9907c3e8955a444cf0360f30e6c22aead376375a53d86c,0
emitted-qbe-sha256,compiler-source,native-b3,0,e3c117159ad344a29b9907c3e8955a444cf0360f30e6c22aead376375a53d86c,0
emitted-qbe-size,compiler-source,native-b1,0,379112,0
