metric,case,candidate,iteration,value,status
bootstrap-total,compiler-source,recovery-b0,0,4.477778,0
build-snapshot,compiler-source,recovery-b0,0,0.0947,0
build-decode,compiler-source,recovery-b0,0,0.202403,0
build-emit,compiler-source,recovery-b0,0,2.626786,0
build-qbe,compiler-source,recovery-b0,0,0.314002,0
build-link,compiler-source,recovery-b0,0,0.686925,0
bootstrap-total,compiler-source,bootstrap-b0,0,17.15812,0
build-compiler,compiler-source,bootstrap-b0,0,16.693062,0
build-qbe,compiler-source,bootstrap-b0,0,0.086384,0
build-link,compiler-source,bootstrap-b0,0,0.363189,0
bootstrap-total,compiler-source,bootstrap-b1,0,0.981699,0
build-compiler,compiler-source,bootstrap-b1,0,0.521825,0
build-qbe,compiler-source,bootstrap-b1,0,0.085505,0
build-link,compiler-source,bootstrap-b1,0,0.361482,0
bootstrap-total,compiler-source,bootstrap-b2,0,0.977512,0
build-compiler,compiler-source,bootstrap-b2,0,0.533767,0
build-qbe,compiler-source,bootstrap-b2,0,0.083096,0
build-link,compiler-source,bootstrap-b2,0,0.347999,0
normalized-executable-sha256,compiler-source,native-b1-b2,0,7ae2f8a3aec551d0dfae778b71fba9f207d168afac33e323d98467fdbfd844fe,0
normalized-executable-size,compiler-source,native-b1-b2,0,202088,0
application-build-total,compiler-source,native-b1-build,-2,0.590204,0
application-build-total,compiler-source,external-b1-recipe,-2,0.569867,0
application-build-total,compiler-source,external-b2-recipe,-2,0.564364,0
application-build-total,compiler-source,native-b2-build,-2,0.591527,0
application-build-total,compiler-source,native-b2-build,-1,0.582306,0
application-build-total,compiler-source,external-b2-recipe,-1,0.576289,0
application-build-total,compiler-source,external-b1-recipe,-1,0.564894,0
application-build-total,compiler-source,native-b1-build,-1,0.581427,0
application-build-total,compiler-source,native-b1-build,0,0.588063,0
application-build-total,compiler-source,external-b1-recipe,0,0.568138,0
application-build-total,compiler-source,external-b2-recipe,0,0.579943,0
application-build-total,compiler-source,native-b2-build,0,0.593641,0
application-build-total,compiler-source,native-b2-build,1,0.586603,0
application-build-total,compiler-source,external-b2-recipe,1,0.559608,0
application-build-total,compiler-source,external-b1-recipe,1,0.564303,0
application-build-total,compiler-source,native-b1-build,1,0.585352,0
application-build-total,compiler-source,native-b1-build,2,0.59216,0
application-build-total,compiler-source,external-b1-recipe,2,0.577538,0
application-build-total,compiler-source,external-b2-recipe,2,0.565268,0
application-build-total,compiler-source,native-b2-build,2,0.590277,0
application-build-total,compiler-source,native-b2-build,3,0.581096,0
application-build-total,compiler-source,external-b2-recipe,3,0.875136,0
