metric,case,candidate,iteration,value,status
compiler-build-total,compiler-source,native-b1-to-b2,-2,0.580088,0
compiler-build-total,compiler-source,native-b2-to-b3,-2,0.878123,0
compiler-build-total,compiler-source,native-b3-to-b4,-2,0.582166,0
compiler-build-total,compiler-source,native-b3-to-b4,-1,0.598264,0
compiler-build-total,compiler-source,native-b2-to-b3,-1,0.576649,0
compiler-build-total,compiler-source,native-b1-to-b2,-1,0.589039,0
compiler-build-total,compiler-source,native-b1-to-b2,0,0.579261,0
compiler-build-total,compiler-source,native-b2-to-b3,0,0.591719,0
compiler-build-total,compiler-source,native-b3-to-b4,0,0.578889,0
compiler-build-total,compiler-source,native-b3-to-b4,1,0.689204,0
compiler-build-total,compiler-source,native-b2-to-b3,1,0.579036,0
compiler-build-total,compiler-source,native-b1-to-b2,1,0.578636,0
compiler-build-total,compiler-source,native-b1-to-b2,2,0.574861,0
compiler-build-total,compiler-source,native-b2-to-b3,2,0.596513,0
compiler-build-total,compiler-source,native-b3-to-b4,2,0.593496,0
compiler-build-total,compiler-source,native-b3-to-b4,3,0.578645,0
compiler-build-total,compiler-source,native-b2-to-b3,3,0.582967,0
compiler-build-total,compiler-source,native-b1-to-b2,3,0.586501,0
compiler-build-total,compiler-source,native-b1-to-b2,4,0.577406,0
compiler-build-total,compiler-source,native-b2-to-b3,4,0.585245,0
compiler-build-total,compiler-source,native-b3-to-b4,4,0.591583,0
compiler-build-total,compiler-source,native-b3-to-b4,5,0.587965,0
compiler-build-total,compiler-source,native-b2-to-b3,5,0.585474,0
compiler-build-total,compiler-source,native-b1-to-b2,5,0.587523,0
compiler-build-total,compiler-source,native-b1-to-b2,6,0.583876,0
compiler-build-total,compiler-source,native-b2-to-b3,6,0.581979,0
compiler-build-total,compiler-source,native-b3-to-b4,6,0.572338,0
compiler-build-peak-rss,compiler-source,native-b1-to-b2,-2,36454400,0
compiler-build-peak-rss,compiler-source,native-b2-to-b3,-2,36864000,0
compiler-build-peak-rss,compiler-source,native-b3-to-b4,-2,36225024,0
compiler-build-peak-rss,compiler-source,native-b3-to-b4,-1,36569088,0
compiler-build-peak-rss,compiler-source,native-b2-to-b3,-1,36438016,0
compiler-build-peak-rss,compiler-source,native-b1-to-b2,-1,36601856,0
compiler-build-peak-rss,compiler-source,native-b1-to-b2,0,36175872,0
compiler-build-peak-rss,compiler-source,native-b2-to-b3,0,36519936,0
compiler-build-peak-rss,compiler-source,native-b3-to-b4,0,36519936,0
compiler-build-peak-rss,compiler-source,native-b3-to-b4,1,36503552,0
compiler-build-peak-rss,compiler-source,native-b2-to-b3,1,36405248,0
compiler-build-peak-rss,compiler-source,native-b1-to-b2,1,36864000,0
compiler-build-peak-rss,compiler-source,native-b1-to-b2,2,36667392,0
compiler-build-peak-rss,compiler-source,native-b2-to-b3,2,36421632,0
compiler-build-peak-rss,compiler-source,native-b3-to-b4,2,36388864,0
compiler-size-gate6b-baseline,compiler-source,native-generated,0,166824,0
compiler-size-raw,compiler-source,native-b1-seed,0,202080,0
compiler-size-stripped,compiler-source,native-b1-seed,0,166824,0
compiler-sha256,compiler-source,native-b1-seed,0,b5c64cedf4b36ecd78ea0e5aeb7867771f49156aebba1469eb4fd19770d10ff7,0
compiler-size-raw,compiler-source,native-b2,0,202088,0
compiler-size-stripped,compiler-source,native-b2,0,166824,0
compiler-sha256,compiler-source,native-b2,0,5cd01b87aba0d85cf3b1bb5f6e88905f8ab2d951f9a16342549d5ed98f8176ef,0
compiler-size-raw,compiler-source,native-b3,0,202088,0
compiler-size-stripped,compiler-source,native-b3,0,166824,0
compiler-sha256,compiler-source,native-b3,0,5cd01b87aba0d85cf3b1bb5f6e88905f8ab2d951f9a16342549d5ed98f8176ef,0
compiler-size-raw,compiler-source,native-b4,0,202088,0
compiler-size-stripped,compiler-source,native-b4,0,166824,0
compiler-sha256,compiler-source,native-b4,0,5cd01b87aba0d85cf3b1bb5f6e88905f8ab2d951f9a16342549d5ed98f8176ef,0
emitted-qbe-size,compiler-source,native-fixed-point,0,412513,0
emitted-qbe-sha256,compiler-source,native-fixed-point,0,87b14e4be3ed3eeb299c8848e09c393d135046a770834a9993b578a3ac03abac,0
