metric,case,candidate,iteration,value,status
compiler-build-total,compiler-source,native-b1-to-b2,-2,0.224435166,0
compiler-build-total,compiler-source,external-b1-to-b2,-2,0.225814167,0
compiler-build-total,compiler-source,native-b2-to-b3,-2,0.228032916,0
compiler-build-total,compiler-source,external-b2-to-b3,-2,0.221796375,0
compiler-build-total,compiler-source,native-b3-to-b4,-2,0.225752042,0
compiler-build-total,compiler-source,external-b3-to-b4,-2,0.241393375,0
compiler-build-total,compiler-source,external-b3-to-b4,-1,0.228475959,0
compiler-build-total,compiler-source,native-b3-to-b4,-1,0.220357458,0
compiler-build-total,compiler-source,external-b2-to-b3,-1,0.230707,0
compiler-build-total,compiler-source,native-b2-to-b3,-1,0.227973666,0
compiler-build-total,compiler-source,external-b1-to-b2,-1,0.246711042,0
compiler-build-total,compiler-source,native-b1-to-b2,-1,0.231207458,0
compiler-build-total,compiler-source,native-b1-to-b2,0,0.229858208,0
compiler-build-total,compiler-source,external-b1-to-b2,0,0.23742075,0
compiler-build-total,compiler-source,native-b2-to-b3,0,0.233069417,0
compiler-build-total,compiler-source,external-b2-to-b3,0,0.227939625,0
compiler-build-total,compiler-source,native-b3-to-b4,0,0.224467917,0
compiler-build-total,compiler-source,external-b3-to-b4,0,0.229652208,0
compiler-build-total,compiler-source,external-b3-to-b4,1,0.231719542,0
compiler-build-total,compiler-source,native-b3-to-b4,1,0.2259945,0
compiler-build-total,compiler-source,external-b2-to-b3,1,0.224671875,0
compiler-build-total,compiler-source,native-b2-to-b3,1,0.226195083,0
compiler-build-total,compiler-source,external-b1-to-b2,1,0.249855334,0
compiler-build-total,compiler-source,native-b1-to-b2,1,0.2242235,0
compiler-build-total,compiler-source,native-b1-to-b2,2,0.223541833,0
compiler-build-total,compiler-source,external-b1-to-b2,2,0.224651042,0
compiler-build-total,compiler-source,native-b2-to-b3,2,0.225438333,0
compiler-build-total,compiler-source,external-b2-to-b3,2,0.22181675,0
compiler-build-total,compiler-source,native-b3-to-b4,2,0.225320333,0
compiler-build-total,compiler-source,external-b3-to-b4,2,0.232728541,0
compiler-build-total,compiler-source,external-b3-to-b4,3,0.229874042,0
compiler-build-total,compiler-source,native-b3-to-b4,3,0.227167751,0
compiler-build-total,compiler-source,external-b2-to-b3,3,0.224310833,0
compiler-build-total,compiler-source,native-b2-to-b3,3,0.221674708,0
compiler-build-total,compiler-source,external-b1-to-b2,3,0.22350825,0
compiler-build-total,compiler-source,native-b1-to-b2,3,0.222153583,0
compiler-build-total,compiler-source,native-b1-to-b2,4,0.2267765,0
compiler-build-total,compiler-source,external-b1-to-b2,4,0.228732959,0
compiler-build-total,compiler-source,native-b2-to-b3,4,0.220309333,0
compiler-build-total,compiler-source,external-b2-to-b3,4,0.22238175,0
