metric,case,candidate,iteration,value,status
application-build-total,file-root,native,-2,0.14009,0
application-build-total,file-root,go-optimized,-2,0.226541,0
application-build-total,file-root,go-optimized,-1,0.216433,0
application-build-total,file-root,native,-1,0.093312,0
application-build-total,file-root,native,0,0.119182,0
application-build-total,file-root,go-optimized,0,0.207297,0
application-build-total,file-root,go-optimized,1,0.227387,0
application-build-total,file-root,native,1,0.102623,0
application-build-total,file-root,native,2,0.121774,0
application-build-total,file-root,go-optimized,2,0.226329,0
application-build-total,file-root,go-optimized,3,0.209923,0
application-build-total,file-root,native,3,0.098023,0
application-build-total,file-root,native,4,0.123796,0
application-build-total,file-root,go-optimized,4,0.213203,0
application-build-total,file-root,go-optimized,5,0.213718,0
application-build-total,file-root,native,5,0.117782,0
application-build-total,file-root,native,6,0.096977,0
application-build-total,file-root,go-optimized,6,0.226239,0
application-build-peak-rss,file-root,native,-2,35635200,0
application-build-peak-rss,file-root,go-optimized,-2,70729728,0
application-build-peak-rss,file-root,go-optimized,-1,69517312,0
application-build-peak-rss,file-root,native,-1,35799040,0
application-build-peak-rss,file-root,native,0,35782656,0
application-build-peak-rss,file-root,go-optimized,0,68255744,0
application-build-peak-rss,file-root,go-optimized,1,69615616,0
application-build-peak-rss,file-root,native,1,35897344,0
application-build-peak-rss,file-root,native,2,36208640,0
application-build-peak-rss,file-root,go-optimized,2,69713920,0
application-build-peak-rss,file-root,go-optimized,3,69320704,0
application-build-peak-rss,file-root,native,3,35995648,0
application-build-peak-rss,file-root,native,4,35586048,0
application-build-peak-rss,file-root,go-optimized,4,68993024,0
application-build-peak-rss,file-root,go-optimized,5,69042176,0
application-build-peak-rss,file-root,native,5,36061184,0
application-build-peak-rss,file-root,native,6,35667968,0
application-build-peak-rss,file-root,go-optimized,6,71352320,0
application-runtime,file-root,native,-2,0.016965,0
application-runtime,file-root,go-optimized,-2,0.021812,0
application-runtime,file-root,go-optimized,-1,0.018303,0
application-runtime,file-root,native,-1,0.020847,0
application-runtime,file-root,native,0,0.021148,0
application-runtime,file-root,go-optimized,0,0.018994,0
application-runtime,file-root,go-optimized,1,0.019747,0
application-runtime,file-root,native,1,0.0219,0
application-runtime,file-root,native,2,0.018834,0
application-runtime,file-root,go-optimized,2,0.014525,0
application-runtime,file-root,go-optimized,3,0.015482,0
application-runtime,file-root,native,3,0.017253,0
application-runtime,file-root,native,4,0.020219,0
application-runtime,file-root,go-optimized,4,0.020912,0
application-runtime,file-root,go-optimized,5,0.017457,0
application-runtime,file-root,native,5,0.017841,0
application-runtime,file-root,native,6,0.017462,0
application-runtime,file-root,go-optimized,6,0.018781,0
application-runtime,file-root,go-optimized,7,0.018966,0
application-runtime,file-root,native,7,0.021831,0
application-runtime,file-root,native,8,0.022511,0
application-runtime,file-root,go-optimized,8,0.019547,0
application-runtime,file-root,go-optimized,9,0.018838,0
application-runtime,file-root,native,9,0.02297,0
application-runtime,file-root,native,10,0.022642,0
application-runtime,file-root,go-optimized,10,0.018315,0
application-runtime,file-root,go-optimized,11,0.019013,0
application-runtime,file-root,native,11,0.031822,0
application-runtime,file-root,native,12,0.021405,0
application-runtime,file-root,go-optimized,12,0.018846,0
application-runtime,file-root,go-optimized,13,0.020227,0
application-runtime,file-root,native,13,0.021654,0
application-runtime,file-root,native,14,0.021039,0
application-runtime,file-root,go-optimized,14,0.019056,0
application-runtime,file-root,go-optimized,15,0.023592,0
application-runtime,file-root,native,15,0.022806,0
application-runtime,file-root,native,16,0.021643,0
application-runtime,file-root,go-optimized,16,0.020209,0
application-runtime,file-root,go-optimized,17,0.02101,0
application-runtime,file-root,native,17,0.021097,0
application-runtime,file-root,native,18,0.021174,0
application-runtime,file-root,go-optimized,18,0.018395,0
application-runtime,file-root,go-optimized,19,0.019047,0
