metric,case,candidate,iteration,value,status
compiler-build-total,compiler-source,multi-file,-2,0.727817,0
compiler-build-total,compiler-source,temporary-flat,-2,0.707895,0
compiler-build-total,compiler-source,temporary-flat,-1,0.712227,0
compiler-build-total,compiler-source,multi-file,-1,0.718812,0
compiler-build-total,compiler-source,multi-file,0,0.72238,0
compiler-build-total,compiler-source,temporary-flat,0,0.711011,0
compiler-build-total,compiler-source,temporary-flat,1,0.709866,0
compiler-build-total,compiler-source,multi-file,1,0.726448,0
compiler-build-total,compiler-source,multi-file,2,0.712012,0
compiler-build-total,compiler-source,temporary-flat,2,0.743917,0
compiler-build-total,compiler-source,temporary-flat,3,0.725413,0
compiler-build-total,compiler-source,multi-file,3,0.710206,0
compiler-build-total,compiler-source,multi-file,4,0.71093,0
compiler-build-total,compiler-source,temporary-flat,4,0.71686,0
compiler-build-total,compiler-source,temporary-flat,5,0.714688,0
compiler-build-total,compiler-source,multi-file,5,0.727004,0
compiler-build-total,compiler-source,multi-file,6,0.70883,0
compiler-build-total,compiler-source,temporary-flat,6,0.708936,0
compiler-build-peak-rss,compiler-source,multi-file,-2,36519936,0
compiler-build-peak-rss,compiler-source,temporary-flat,-2,36962304,0
compiler-build-peak-rss,compiler-source,temporary-flat,-1,36700160,0
compiler-build-peak-rss,compiler-source,multi-file,-1,36732928,0
compiler-build-peak-rss,compiler-source,multi-file,0,36716544,0
compiler-build-peak-rss,compiler-source,temporary-flat,0,36798464,0
compiler-build-peak-rss,compiler-source,temporary-flat,1,36782080,0
compiler-build-peak-rss,compiler-source,multi-file,1,36585472,0
compiler-build-peak-rss,compiler-source,multi-file,2,36782080,0
compiler-build-peak-rss,compiler-source,temporary-flat,2,36651008,0
compiler-build-peak-rss,compiler-source,temporary-flat,3,36831232,0
compiler-build-peak-rss,compiler-source,multi-file,3,37208064,0
compiler-build-peak-rss,compiler-source,multi-file,4,36880384,0
compiler-build-peak-rss,compiler-source,temporary-flat,4,36749312,0
compiler-build-peak-rss,compiler-source,temporary-flat,5,36519936,0
compiler-build-peak-rss,compiler-source,multi-file,5,36601856,0
compiler-build-peak-rss,compiler-source,multi-file,6,36634624,0
compiler-build-peak-rss,compiler-source,temporary-flat,6,36667392,0
compiler-build-baseline-seconds,compiler-source,gate6c-b1,0,0.585709,0
compiler-build-baseline-rss,compiler-source,gate6c-b1,0,36667392,0
compiler-build-relative-limit-percent,compiler-source,multi-over-flat,0,10,0
compiler-size-absolute-limit,compiler-source,registered,0,208530,0
compiler-size-relative-limit-percent,compiler-source,multi-over-flat,0,5,0
application-sha256-expected,file-root,gate6e-darwin,0,413d97fd8a3f26e1086795b1fd5306ad5817613e7080ddba410eb8264c0a67b9,0
compiler-size-raw,compiler-source,multi-file-b4,0,244696,0
compiler-size-stripped,compiler-source,multi-file-b4,0,199992,0
compiler-size-raw,compiler-source,temporary-flat,0,244728,0
compiler-size-stripped,compiler-source,temporary-flat,0,199992,0
compiler-source-sha256,source,entry,0,d6cbf5100e2d76f6d04ff48a597de11fea8abd952f9c8e212f1d6f71de30c9ce,0
compiler-source-sha256,source,storage,0,d4c77fec9e5c5e8580cb0b5ee71fbd2c9c714555cbd4fd1457fcd44cc6db1f9d,0
compiler-source-sha256,source,path,0,6347003851071b73cb8dbf38622fcc7cf3be6abf81ea253b9aad081fb057510a,0
compiler-source-sha256,source,temporary-flat,0,df46782b9ef321eb302ec1886f7ea5733b197638ed9565cf3e5e65449cecbe23,0
compiler-sha256,compiler-source,multi-file-b2,0,2b63bd297e2e049f51c54b59299385aabf05d93ff218c701a5c6a54307358e12,0
compiler-sha256,compiler-source,multi-file-b3,0,2b63bd297e2e049f51c54b59299385aabf05d93ff218c701a5c6a54307358e12,0
compiler-sha256,compiler-source,multi-file-b4,0,2b63bd297e2e049f51c54b59299385aabf05d93ff218c701a5c6a54307358e12,0
compiler-sha256,compiler-source,temporary-flat,0,c95cd3438c2265348104ae1fada6e80be515b941e0508ed3c856a414da9fb314,0
application-sha256,file-root,multi-file-b4,0,413d97fd8a3f26e1086795b1fd5306ad5817613e7080ddba410eb8264c0a67b9,0
emitted-qbe-sha256,compiler-source,multi-file,0,626bcdfb28c6517c50b86851edf76f4ab5b0d8ada7d28e73209ff10e193bae67,0
emitted-qbe-sha256,compiler-source,temporary-flat,0,75869d86aff5964e908bad6fd6808d454b3c0aca6b55e9c261cd0783242c39fe,0
