metric,case,candidate,iteration,value,status
compiler-emit-qbe-total,compiler-source,baseline,-2,0.163327,0
compiler-emit-qbe-total,compiler-source,candidate,-2,0.110371,0
compiler-emit-qbe-total,compiler-source,candidate,-1,0.104009,0
compiler-emit-qbe-total,compiler-source,baseline,-1,0.15323,0
compiler-emit-qbe-total,compiler-source,baseline,0,0.148538,0
compiler-emit-qbe-total,compiler-source,candidate,0,0.105062,0
compiler-emit-qbe-total,compiler-source,candidate,1,0.105383,0
compiler-emit-qbe-total,compiler-source,baseline,1,0.152138,0
compiler-emit-qbe-total,compiler-source,baseline,2,0.148562,0
compiler-emit-qbe-total,compiler-source,candidate,2,0.104768,0
compiler-emit-qbe-total,compiler-source,candidate,3,0.103206,0
compiler-emit-qbe-total,compiler-source,baseline,3,0.152194,0
compiler-emit-qbe-total,compiler-source,baseline,4,0.152379,0
compiler-emit-qbe-total,compiler-source,candidate,4,0.104911,0
compiler-emit-qbe-total,compiler-source,candidate,5,0.104333,0
compiler-emit-qbe-total,compiler-source,baseline,5,0.149903,0
compiler-emit-qbe-total,compiler-source,baseline,6,0.151819,0
compiler-emit-qbe-total,compiler-source,candidate,6,0.10669,0
compiler-emit-qbe-total,compiler-source,candidate,7,0.104355,0
compiler-emit-qbe-total,compiler-source,baseline,7,0.153431,0
compiler-emit-qbe-total,compiler-source,baseline,8,0.148394,0
compiler-emit-qbe-total,compiler-source,candidate,8,0.109651,0
compiler-emit-qbe-total,compiler-source,candidate,9,0.105787,0
compiler-emit-qbe-total,compiler-source,baseline,9,0.150545,0
compiler-emit-qbe-total,compiler-source,baseline,10,0.154965,0
compiler-emit-qbe-total,compiler-source,candidate,10,0.1078,0
compiler-build-total,compiler-source,baseline,-2,0.721727,0
compiler-build-total,compiler-source,candidate,-2,0.682843,0
compiler-build-total,compiler-source,candidate,-1,0.667429,0
compiler-build-total,compiler-source,baseline,-1,0.709164,0
compiler-build-total,compiler-source,baseline,0,0.718322,0
compiler-build-total,compiler-source,candidate,0,0.677568,0
compiler-build-total,compiler-source,candidate,1,0.67478,0
compiler-build-total,compiler-source,baseline,1,0.722776,0
compiler-build-total,compiler-source,baseline,2,0.71742,0
compiler-build-total,compiler-source,candidate,2,0.688911,0
compiler-build-total,compiler-source,candidate,3,0.67183,0
compiler-build-total,compiler-source,baseline,3,1.067921,0
compiler-build-total,compiler-source,baseline,4,0.723521,0
compiler-build-total,compiler-source,candidate,4,0.683389,0
compiler-build-total,compiler-source,candidate,5,0.677865,0
compiler-build-total,compiler-source,baseline,5,0.723371,0
compiler-build-total,compiler-source,baseline,6,0.719938,0
compiler-build-total,compiler-source,candidate,6,0.675764,0
compiler-build-total,compiler-source,candidate,7,0.66962,0
compiler-build-total,compiler-source,baseline,7,0.718733,0
compiler-build-total,compiler-source,baseline,8,0.720368,0
