metric,case,candidate,iteration,value,status
compiler-emit-qbe-total,compiler-source,baseline,-2,0.135617,0
compiler-emit-qbe-total,compiler-source,candidate,-2,0.101153,0
compiler-emit-qbe-total,compiler-source,candidate,-1,0.099787,0
compiler-emit-qbe-total,compiler-source,baseline,-1,0.113792,0
compiler-emit-qbe-total,compiler-source,baseline,0,0.11645,0
compiler-emit-qbe-total,compiler-source,candidate,0,0.098518,0
compiler-emit-qbe-total,compiler-source,candidate,1,0.100419,0
compiler-emit-qbe-total,compiler-source,baseline,1,0.105139,0
compiler-emit-qbe-total,compiler-source,baseline,2,0.106292,0
compiler-emit-qbe-total,compiler-source,candidate,2,0.102292,0
compiler-emit-qbe-total,compiler-source,candidate,3,0.100499,0
compiler-emit-qbe-total,compiler-source,baseline,3,0.105654,0
compiler-emit-qbe-total,compiler-source,baseline,4,0.108674,0
compiler-emit-qbe-total,compiler-source,candidate,4,0.100148,0
compiler-emit-qbe-total,compiler-source,candidate,5,0.101733,0
compiler-emit-qbe-total,compiler-source,baseline,5,0.115244,0
compiler-emit-qbe-total,compiler-source,baseline,6,0.121623,0
compiler-emit-qbe-total,compiler-source,candidate,6,0.10666,0
compiler-emit-qbe-total,compiler-source,candidate,7,0.106109,0
compiler-emit-qbe-total,compiler-source,baseline,7,0.113257,0
compiler-emit-qbe-total,compiler-source,baseline,8,0.118365,0
compiler-emit-qbe-total,compiler-source,candidate,8,0.101362,0
compiler-emit-qbe-total,compiler-source,candidate,9,0.104775,0
compiler-emit-qbe-total,compiler-source,baseline,9,0.115887,0
compiler-emit-qbe-total,compiler-source,baseline,10,0.107499,0
compiler-emit-qbe-total,compiler-source,candidate,10,0.113387,0
compiler-build-total,compiler-source,baseline,-2,0.685875,0
compiler-build-total,compiler-source,candidate,-2,0.697721,0
compiler-build-total,compiler-source,candidate,-1,0.684323,0
compiler-build-total,compiler-source,baseline,-1,0.671519,0
compiler-build-total,compiler-source,baseline,0,0.675573,0
compiler-build-total,compiler-source,candidate,0,0.675093,0
compiler-build-total,compiler-source,candidate,1,0.687986,0
compiler-build-total,compiler-source,baseline,1,0.681065,0
compiler-build-total,compiler-source,baseline,2,0.671763,0
compiler-build-total,compiler-source,candidate,2,0.680946,0
compiler-build-total,compiler-source,candidate,3,0.690095,0
compiler-build-total,compiler-source,baseline,3,0.671372,0
compiler-build-total,compiler-source,baseline,4,0.673903,0
compiler-build-total,compiler-source,candidate,4,0.685834,0
compiler-build-total,compiler-source,candidate,5,0.675708,0
compiler-build-total,compiler-source,baseline,5,0.667273,0
compiler-build-total,compiler-source,baseline,6,0.680932,0
compiler-build-total,compiler-source,candidate,6,0.676273,0
compiler-build-total,compiler-source,candidate,7,0.679238,0
compiler-build-total,compiler-source,baseline,7,0.672411,0
compiler-build-total,compiler-source,baseline,8,0.671464,0
compiler-build-total,compiler-source,candidate,8,0.806926,0
compiler-build-total,compiler-source,candidate,9,0.684724,0
compiler-build-total,compiler-source,baseline,9,0.685489,0
compiler-build-total,compiler-source,baseline,10,0.691661,0
compiler-build-total,compiler-source,candidate,10,0.675435,0
compiler-check-total,scale-1024-modules,baseline,-2,0.11738,0
compiler-check-total,scale-1024-modules,candidate,-2,0.062006,0
compiler-check-total,scale-1024-modules,candidate,-1,0.062268,0
compiler-check-total,scale-1024-modules,baseline,-1,0.102956,0
compiler-check-total,scale-1024-modules,baseline,0,0.103986,0
compiler-check-total,scale-1024-modules,candidate,0,0.068557,0
compiler-check-total,scale-1024-modules,candidate,1,0.061744,0
compiler-check-total,scale-1024-modules,baseline,1,0.113746,0
compiler-check-total,scale-1024-modules,baseline,2,0.108142,0
compiler-check-total,scale-1024-modules,candidate,2,0.057826,0
compiler-check-total,scale-1024-modules,candidate,3,0.056672,0
compiler-check-total,scale-1024-modules,baseline,3,0.100445,0
compiler-check-total,scale-1024-modules,baseline,4,0.10601,0
compiler-check-total,scale-1024-modules,candidate,4,0.068362,0
compiler-check-total,scale-1024-modules,candidate,5,0.062218,0
compiler-check-total,scale-1024-modules,baseline,5,0.11055,0
compiler-check-total,scale-1024-modules,baseline,6,0.119093,0
compiler-check-total,scale-1024-modules,candidate,6,0.06153,0
compiler-check-total,scale-1024-modules,candidate,7,0.056613,0
compiler-check-total,scale-1024-modules,baseline,7,0.103552,0
compiler-check-total,scale-1024-modules,baseline,8,0.10273,0
compiler-check-total,scale-1024-modules,candidate,8,0.06537,0
compiler-check-total,scale-1024-modules,candidate,9,0.059922,0
compiler-check-total,scale-1024-modules,baseline,9,0.104353,0
compiler-check-total,scale-1024-modules,baseline,10,0.114673,0
compiler-check-total,scale-1024-modules,candidate,10,0.059808,0
compiler-emit-qbe-total,scale-1024-modules,baseline,-2,0.127475,0
compiler-emit-qbe-total,scale-1024-modules,candidate,-2,0.06796,0
compiler-emit-qbe-total,scale-1024-modules,candidate,-1,0.067911,0
