metric,case,candidate,iteration,value,status
compiler-emit-qbe-total,compiler-source,baseline,-2,0.112382,0
compiler-emit-qbe-total,compiler-source,candidate,-2,0.107457,0
compiler-emit-qbe-total,compiler-source,candidate,-1,0.109747,0
compiler-emit-qbe-total,compiler-source,baseline,-1,0.101819,0
compiler-emit-qbe-total,compiler-source,baseline,0,0.105609,0
compiler-emit-qbe-total,compiler-source,candidate,0,0.113938,0
compiler-emit-qbe-total,compiler-source,candidate,1,0.122445,0
compiler-emit-qbe-total,compiler-source,baseline,1,0.105571,0
compiler-emit-qbe-total,compiler-source,baseline,2,0.116244,0
compiler-emit-qbe-total,compiler-source,candidate,2,0.114104,0
compiler-emit-qbe-total,compiler-source,candidate,3,0.10935,0
compiler-emit-qbe-total,compiler-source,baseline,3,0.106084,0
compiler-emit-qbe-total,compiler-source,baseline,4,0.105956,0
compiler-emit-qbe-total,compiler-source,candidate,4,0.114657,0
compiler-emit-qbe-total,compiler-source,candidate,5,0.111559,0
compiler-emit-qbe-total,compiler-source,baseline,5,0.106252,0
compiler-emit-qbe-total,compiler-source,baseline,6,0.105826,0
compiler-emit-qbe-total,compiler-source,candidate,6,0.11592,0
compiler-emit-qbe-total,compiler-source,candidate,7,0.115222,0
compiler-emit-qbe-total,compiler-source,baseline,7,0.106925,0
compiler-emit-qbe-total,compiler-source,baseline,8,0.113045,0
compiler-emit-qbe-total,compiler-source,candidate,8,0.111635,0
compiler-emit-qbe-total,compiler-source,candidate,9,0.110205,0
compiler-emit-qbe-total,compiler-source,baseline,9,0.10248,0
compiler-emit-qbe-total,compiler-source,baseline,10,0.101275,0
compiler-emit-qbe-total,compiler-source,candidate,10,0.110123,0
compiler-build-total,compiler-source,baseline,-2,0.692775,0
compiler-build-total,compiler-source,candidate,-2,0.716067,0
compiler-build-total,compiler-source,candidate,-1,0.718599,0
compiler-build-total,compiler-source,baseline,-1,0.720881,0
compiler-build-total,compiler-source,baseline,0,0.693183,0
compiler-build-total,compiler-source,candidate,0,0.726512,0
compiler-build-total,compiler-source,candidate,1,0.757524,0
compiler-build-total,compiler-source,baseline,1,0.69798,0
compiler-build-total,compiler-source,baseline,2,0.706523,0
compiler-build-total,compiler-source,candidate,2,0.721253,0
compiler-build-total,compiler-source,candidate,3,0.723483,0
compiler-build-total,compiler-source,baseline,3,0.695417,0
compiler-build-total,compiler-source,baseline,4,0.69387,0
compiler-build-total,compiler-source,candidate,4,0.725597,0
compiler-build-total,compiler-source,candidate,5,0.723525,0
compiler-build-total,compiler-source,baseline,5,0.685437,0
compiler-build-total,compiler-source,baseline,6,0.701077,0
compiler-build-total,compiler-source,candidate,6,0.746192,0
compiler-build-total,compiler-source,candidate,7,0.726816,0
compiler-build-total,compiler-source,baseline,7,0.721648,0
compiler-build-total,compiler-source,baseline,8,0.702904,0
compiler-build-total,compiler-source,candidate,8,0.731184,0
compiler-build-total,compiler-source,candidate,9,0.732814,0
compiler-build-total,compiler-source,baseline,9,0.677565,0
compiler-build-total,compiler-source,baseline,10,0.757844,0
compiler-build-total,compiler-source,candidate,10,0.744819,0
application-build-total,float-kernel,native-candidate,-2,0.132502,0
application-build-total,float-kernel,go-optimized,-2,0.809509,0
application-build-total,float-kernel,go-optimized,-1,0.186044,0
application-build-total,float-kernel,native-candidate,-1,0.095486,0
application-build-total,float-kernel,native-candidate,0,0.145445,0
application-build-total,float-kernel,go-optimized,0,0.199625,0
application-build-total,float-kernel,go-optimized,1,0.176374,0
application-build-total,float-kernel,native-candidate,1,0.097855,0
application-build-total,float-kernel,native-candidate,2,0.141802,0
application-build-total,float-kernel,go-optimized,2,0.183994,0
application-build-total,float-kernel,go-optimized,3,0.173164,0
application-build-total,float-kernel,native-candidate,3,0.107871,0
application-build-total,float-kernel,native-candidate,4,0.14301,0
application-build-total,float-kernel,go-optimized,4,0.199055,0
application-build-total,float-kernel,go-optimized,5,0.173171,0
application-build-total,float-kernel,native-candidate,5,0.094753,0
application-build-total,float-kernel,native-candidate,6,0.138506,0
application-build-total,float-kernel,go-optimized,6,0.197017,0
application-build-total,float-kernel,go-optimized,7,0.173879,0
application-build-total,float-kernel,native-candidate,7,0.100281,0
application-build-total,float-kernel,native-candidate,8,0.132561,0
application-build-total,float-kernel,go-optimized,8,0.204167,0
application-build-total,float-kernel,go-optimized,9,0.175054,0
application-build-total,float-kernel,native-candidate,9,0.102755,0
application-build-total,float-kernel,native-candidate,10,0.099796,0
application-build-total,float-kernel,go-optimized,10,0.191509,0
compiler-emit-qbe-peak-rss,compiler-source,baseline,-2,21872640,0
compiler-emit-qbe-peak-rss,compiler-source,candidate,-2,23232512,0
compiler-emit-qbe-peak-rss,compiler-source,candidate,-1,23232512,0
compiler-emit-qbe-peak-rss,compiler-source,baseline,-1,21872640,0
compiler-emit-qbe-peak-rss,compiler-source,baseline,0,21905408,0
compiler-emit-qbe-peak-rss,compiler-source,candidate,0,23216128,0
compiler-emit-qbe-peak-rss,compiler-source,candidate,1,23216128,0
compiler-emit-qbe-peak-rss,compiler-source,baseline,1,21823488,0
compiler-emit-qbe-peak-rss,compiler-source,baseline,2,21823488,0
compiler-emit-qbe-peak-rss,compiler-source,candidate,2,23232512,0
compiler-emit-qbe-peak-rss,compiler-source,candidate,3,23216128,0
compiler-emit-qbe-peak-rss,compiler-source,baseline,3,21872640,0
compiler-emit-qbe-peak-rss,compiler-source,baseline,4,21872640,0
compiler-emit-qbe-peak-rss,compiler-source,candidate,4,23216128,0
compiler-emit-qbe-peak-rss,compiler-source,candidate,5,23232512,0
compiler-emit-qbe-peak-rss,compiler-source,baseline,5,21856256,0
compiler-emit-qbe-peak-rss,compiler-source,baseline,6,21839872,0
compiler-emit-qbe-peak-rss,compiler-source,candidate,6,23232512,0
compiler-emit-qbe-peak-rss,compiler-source,candidate,7,23183360,0
compiler-emit-qbe-peak-rss,compiler-source,baseline,7,21823488,0
compiler-emit-qbe-peak-rss,compiler-source,baseline,8,21839872,0
compiler-emit-qbe-peak-rss,compiler-source,candidate,8,23216128,0
compiler-emit-qbe-peak-rss,compiler-source,candidate,9,23216128,0
compiler-emit-qbe-peak-rss,compiler-source,baseline,9,21905408,0
compiler-emit-qbe-peak-rss,compiler-source,baseline,10,21856256,0
compiler-emit-qbe-peak-rss,compiler-source,candidate,10,23248896,0
compiler-build-peak-rss,compiler-source,baseline,-2,36880384,0
compiler-build-peak-rss,compiler-source,candidate,-2,36765696,0
compiler-build-peak-rss,compiler-source,candidate,-1,36814848,0
compiler-build-peak-rss,compiler-source,baseline,-1,36569088,0
