metric,case,candidate,iteration,value,status
compiler-emit-qbe-total,compiler-source,baseline,-2,0.111241,0
compiler-emit-qbe-total,compiler-source,candidate,-2,0.115284,0
compiler-emit-qbe-total,compiler-source,candidate,-1,0.111562,0
compiler-emit-qbe-total,compiler-source,baseline,-1,0.111632,0
compiler-emit-qbe-total,compiler-source,baseline,0,0.110858,0
compiler-emit-qbe-total,compiler-source,candidate,0,0.134113,0
compiler-emit-qbe-total,compiler-source,candidate,1,0.111746,0
compiler-emit-qbe-total,compiler-source,baseline,1,0.109962,0
compiler-emit-qbe-total,compiler-source,baseline,2,0.108562,0
compiler-emit-qbe-total,compiler-source,candidate,2,0.113035,0
compiler-emit-qbe-total,compiler-source,candidate,3,0.118406,0
compiler-emit-qbe-total,compiler-source,baseline,3,0.116747,0
compiler-emit-qbe-total,compiler-source,baseline,4,0.111145,0
compiler-emit-qbe-total,compiler-source,candidate,4,0.117507,0
compiler-emit-qbe-total,compiler-source,candidate,5,0.113444,0
compiler-emit-qbe-total,compiler-source,baseline,5,0.117049,0
compiler-emit-qbe-total,compiler-source,baseline,6,0.115731,0
compiler-emit-qbe-total,compiler-source,candidate,6,0.11191,0
compiler-emit-qbe-total,compiler-source,candidate,7,0.112864,0
compiler-emit-qbe-total,compiler-source,baseline,7,0.121756,0
compiler-emit-qbe-total,compiler-source,baseline,8,0.113144,0
compiler-emit-qbe-total,compiler-source,candidate,8,0.113492,0
compiler-emit-qbe-total,compiler-source,candidate,9,0.111164,0
compiler-emit-qbe-total,compiler-source,baseline,9,0.109458,0
compiler-emit-qbe-total,compiler-source,baseline,10,0.111834,0
compiler-emit-qbe-total,compiler-source,candidate,10,0.114994,0
compiler-build-total,compiler-source,baseline,-2,0.74014,0
compiler-build-total,compiler-source,candidate,-2,0.738529,0
compiler-build-total,compiler-source,candidate,-1,0.730988,0
compiler-build-total,compiler-source,baseline,-1,0.744788,0
compiler-build-total,compiler-source,baseline,0,0.778842,0
compiler-build-total,compiler-source,candidate,0,0.774261,0
compiler-build-total,compiler-source,candidate,1,0.734891,0
compiler-build-total,compiler-source,baseline,1,0.745122,0
compiler-build-total,compiler-source,baseline,2,0.909479,0
compiler-build-total,compiler-source,candidate,2,0.826837,0
compiler-build-total,compiler-source,candidate,3,0.741491,0
