metric,case,candidate,iteration,value,status
compiler-emit-qbe-total,compiler-source,gate6j-baseline,-2,0.109789,0
compiler-emit-qbe-total,compiler-source,gate6k-candidate,-2,0.117805,0
compiler-emit-qbe-total,compiler-source,gate6k-candidate,-1,0.117148,0
compiler-emit-qbe-total,compiler-source,gate6j-baseline,-1,0.100695,0
compiler-emit-qbe-total,compiler-source,gate6j-baseline,0,0.103594,0
compiler-emit-qbe-total,compiler-source,gate6k-candidate,0,0.117118,0
compiler-emit-qbe-total,compiler-source,gate6k-candidate,1,0.116659,0
compiler-emit-qbe-total,compiler-source,gate6j-baseline,1,0.102058,0
compiler-emit-qbe-total,compiler-source,gate6j-baseline,2,0.10164,0
compiler-emit-qbe-total,compiler-source,gate6k-candidate,2,0.114971,0
compiler-emit-qbe-total,compiler-source,gate6k-candidate,3,0.115392,0
compiler-emit-qbe-total,compiler-source,gate6j-baseline,3,0.107434,0
compiler-emit-qbe-total,compiler-source,gate6j-baseline,4,0.104591,0
compiler-emit-qbe-total,compiler-source,gate6k-candidate,4,0.116336,0
compiler-emit-qbe-total,compiler-source,gate6k-candidate,5,0.125082,0
compiler-emit-qbe-total,compiler-source,gate6j-baseline,5,0.108467,0
compiler-emit-qbe-total,compiler-source,gate6j-baseline,6,0.105179,0
compiler-emit-qbe-total,compiler-source,gate6k-candidate,6,0.139813,0
compiler-emit-qbe-total,compiler-source,gate6k-candidate,7,0.117643,0
compiler-emit-qbe-total,compiler-source,gate6j-baseline,7,0.103847,0
compiler-emit-qbe-total,compiler-source,gate6j-baseline,8,0.120073,0
compiler-emit-qbe-total,compiler-source,gate6k-candidate,8,0.120003,0
compiler-emit-qbe-total,compiler-source,gate6k-candidate,9,0.121218,0
compiler-emit-qbe-total,compiler-source,gate6j-baseline,9,0.106811,0
compiler-emit-qbe-total,compiler-source,gate6j-baseline,10,0.109381,0
compiler-emit-qbe-total,compiler-source,gate6k-candidate,10,0.12879,0
compiler-build-total,compiler-source,baseline,-2,0.716398,0
compiler-build-total,compiler-source,candidate,-2,0.835516,0
compiler-build-total,compiler-source,candidate,-1,0.802477,0
compiler-build-total,compiler-source,baseline,-1,0.707205,0
compiler-build-total,compiler-source,baseline,0,0.711298,0
compiler-build-total,compiler-source,candidate,0,0.797367,0
compiler-build-total,compiler-source,candidate,1,0.810142,0
compiler-build-total,compiler-source,baseline,1,0.714333,0
compiler-build-total,compiler-source,baseline,2,0.704511,0
compiler-build-total,compiler-source,candidate,2,0.804808,0
compiler-build-total,compiler-source,candidate,3,0.788612,0
compiler-build-total,compiler-source,baseline,3,0.720438,0
compiler-build-total,compiler-source,baseline,4,0.722149,0
compiler-build-total,compiler-source,candidate,4,0.79779,0
compiler-build-total,compiler-source,candidate,5,0.791763,0
compiler-build-total,compiler-source,baseline,5,0.718206,0
compiler-build-total,compiler-source,baseline,6,0.720101,0
compiler-build-total,compiler-source,candidate,6,0.856462,0
compiler-build-total,compiler-source,candidate,7,0.830825,0
compiler-build-total,compiler-source,baseline,7,0.773663,0
compiler-build-total,compiler-source,baseline,8,0.71591,0
compiler-build-total,compiler-source,candidate,8,0.806129,0
compiler-build-total,compiler-source,candidate,9,0.816114,0
compiler-build-total,compiler-source,baseline,9,0.703647,0
compiler-build-total,compiler-source,baseline,10,0.721976,0
compiler-build-total,compiler-source,candidate,10,0.831819,0
compiler-check-total,scale-native-input,file-root-native,-2,0.102571,0
compiler-check-total,scale-native-input,configured-native,-2,0.062063,0
compiler-check-total,scale-native-input,configured-native,-1,0.061511,0
compiler-check-total,scale-native-input,file-root-native,-1,0.055043,0
compiler-check-total,scale-native-input,file-root-native,0,0.059763,0
compiler-check-total,scale-native-input,configured-native,0,0.062485,0
compiler-check-total,scale-native-input,configured-native,1,0.061627,0
compiler-check-total,scale-native-input,file-root-native,1,0.054613,0
compiler-check-total,scale-native-input,file-root-native,2,0.058722,0
compiler-check-total,scale-native-input,configured-native,2,0.06557,0
compiler-check-total,scale-native-input,configured-native,3,0.066426,0
compiler-check-total,scale-native-input,file-root-native,3,0.059101,0
compiler-check-total,scale-native-input,file-root-native,4,0.059924,0
compiler-check-total,scale-native-input,configured-native,4,0.062291,0
compiler-check-total,scale-native-input,configured-native,5,0.063474,0
compiler-check-total,scale-native-input,file-root-native,5,0.055371,0
compiler-check-total,scale-native-input,file-root-native,6,0.059901,0
compiler-check-total,scale-native-input,configured-native,6,0.071306,0
compiler-check-total,scale-native-input,configured-native,7,0.069079,0
compiler-check-total,scale-native-input,file-root-native,7,0.061374,0
compiler-check-total,scale-native-input,file-root-native,8,0.054964,0
compiler-check-total,scale-native-input,configured-native,8,0.059583,0
compiler-check-total,scale-native-input,configured-native,9,0.061401,0
compiler-check-total,scale-native-input,file-root-native,9,0.056181,0
compiler-check-total,scale-native-input,file-root-native,10,0.055163,0
compiler-check-total,scale-native-input,configured-native,10,0.060805,0
compiler-check-total,scale-configured-check,configured-native,-2,0.065693,0
compiler-check-total,scale-configured-check,configured-go,-2,0.134876,0
compiler-check-total,scale-configured-check,configured-go,-1,0.077271,0
compiler-check-total,scale-configured-check,configured-native,-1,0.067634,0
compiler-check-total,scale-configured-check,configured-native,0,0.060701,0
compiler-check-total,scale-configured-check,configured-go,0,0.061315,0
