stage,iteration,elapsed_seconds,peak_rss_bytes
b1-b2,1,0.94,35880960
b1-b2,2,0.95,35864576
b1-b2,3,0.92,36192256
b1-b2,4,0.95,36077568
b1-b2,5,0.92,36110336
b1-b2,6,0.91,35946496
b1-b2,7,0.95,36192256
b2-b3,1,0.91,35995648
b2-b3,2,0.91,36077568
b2-b3,3,0.91,36061184
b2-b3,4,0.90,36241408
b2-b3,5,0.90,36208640
b2-b3,6,0.96,36126720
b2-b3,7,0.92,36225024
b3-b4,1,0.90,35962880
b3-b4,2,0.91,35913728
b3-b4,3,0.93,35995648
b3-b4,4,0.90,36274176
b3-b4,5,0.94,36012032
b3-b4,6,0.92,36192256
b3-b4,7,0.90,35864576
