stage,iteration,elapsed_seconds,peak_rss_bytes
b1-b2,1,1.08,36044800
b2-b3,1,1.07,36306944
b3-b4,1,1.09,35831808
b1-b2,2,1.18,35930112
b2-b3,2,1.13,35979264
b3-b4,2,1.09,36306944
b1-b2,3,1.24,35930112
b2-b3,3,1.13,36175872
b3-b4,3,1.08,35930112
b1-b2,4,1.10,35880960
b2-b3,4,1.16,36306944
b3-b4,4,1.15,35848192
b1-b2,5,1.19,36012032
b2-b3,5,1.16,36356096
b3-b4,5,1.04,36061184
b1-b2,6,1.02,36306944
b2-b3,6,0.99,36143104
b3-b4,6,1.02,36192256
b1-b2,7,1.04,35864576
b2-b3,7,1.01,36175872
b3-b4,7,1.00,36143104
