elapsed_seconds,rss_bytes,completed_phases
0.01,2347008,0
0.27,2347008,0
0.53,2347008,0
0.78,2347008,1
1.04,2347008,1
1.30,2347008,1
1.56,2347008,2
1.82,2347008,2
2.08,2347008,2
2.34,2347008,3
2.60,2347008,3
2.85,2347008,3
3.11,2347008,4
3.37,2347008,4
3.63,2347008,5
3.89,2347008,5
4.15,2347008,5
4.41,2347008,6
4.67,2347008,6
4.92,2347008,6
5.18,2347008,7
5.44,2347008,7
5.70,2347008,7
5.96,2347008,8
6.22,2347008,8
6.48,2347008,8
6.73,2347008,9
6.99,2347008,9
7.25,2347008,10
7.51,2347008,10
7.77,2347008,10
8.03,2347008,11
8.29,2347008,11
8.55,2347008,11
8.80,2347008,12
9.06,2347008,12
9.32,2347008,12
9.58,2347008,13
9.84,2347008,13
10.10,2347008,13
10.36,2347008,14
10.62,2347008,14
10.87,2347008,15
11.13,2347008,15
11.39,2347008,15
11.65,2347008,16
11.91,2347008,16
12.17,2347008,16
12.43,2347008,17
12.69,2347008,17
12.94,2347008,17
13.20,2347008,18
13.46,2347008,18
13.72,2347008,18
13.98,2347008,19
14.24,2347008,19
14.50,2347008,19
14.76,2347008,20
15.01,2347008,20
15.27,2347008,21
15.53,2347008,21
15.79,2347008,21
16.05,2347008,22
16.31,2347008,22
16.57,2347008,22
16.83,2347008,23
17.09,2347008,23
17.34,2347008,23
17.60,2347008,24
17.86,2347008,24
18.12,2347008,24
18.38,2347008,25
18.64,2347008,25
18.90,2347008,26
19.16,2347008,26
19.41,2347008,26
19.67,2347008,27
19.93,2347008,27
20.19,2347008,27
20.45,2347008,28
20.71,2347008,28
20.97,2347008,28
21.23,2347008,29
21.48,2347008,29
21.74,2347008,29
22.00,2347008,30
22.26,2347008,30
22.52,2347008,30
22.78,2347008,31
23.04,2347008,31
23.30,2347008,32
23.56,2347008,32
23.81,2347008,32
24.07,2347008,33
24.33,2347008,33
24.59,2347008,33
24.85,2347008,34
25.11,2347008,34
25.37,2347008,34
25.62,2347008,35
25.88,2347008,35
26.14,2347008,35
26.40,2347008,36
26.66,2347008,36
26.92,2347008,36
27.18,2347008,37
27.44,2347008,37
27.70,2347008,38
27.95,2347008,38
28.21,2347008,38
28.47,2347008,39
28.73,2347008,39
28.99,2347008,39
29.25,2347008,40
29.51,2347008,40
29.77,2347008,40
30.02,2347008,41
30.28,2347008,41
30.54,2347008,41
30.80,2347008,42
31.06,2347008,42
31.32,2347008,42
31.58,2347008,43
31.84,2347008,43
32.09,2347008,44
32.35,2347008,44
32.61,2347008,44
32.87,2347008,45
33.13,2347008,45
33.39,2347008,45
33.65,2347008,46
33.91,2347008,46
34.16,2347008,46
34.42,2347008,47
34.68,2347008,47
34.94,2347008,47
35.20,2347008,48
35.46,2347008,48
35.72,2347008,49
35.98,2347008,49
36.24,2347008,49
36.49,2347008,50
36.75,2347008,50
37.01,2347008,50
37.27,2347008,51
37.53,2347008,51
37.79,2347008,51
38.05,2347008,52
38.30,2347008,52
38.56,2347008,52
38.82,2347008,53
39.08,2347008,53
39.34,2347008,53
39.60,2347008,54
39.86,2347008,54
40.11,2347008,55
40.37,2347008,55
40.63,2347008,55
40.89,2347008,56
41.15,2347008,56
41.41,2347008,56
41.67,2347008,57
41.93,2347008,57
42.18,2347008,57
42.44,2347008,58
42.70,2347008,58
42.96,2347008,58
43.22,2347008,59
43.48,2347008,59
43.74,2347008,59
