stage,iteration,elapsed_seconds,peak_rss_bytes
b1-b2,1,1.13,36126720
b2-b3,1,1.12,36241408
b3-b4,1,1.21,36421632
b1-b2,2,1.05,36257792
b2-b3,2,1.20,35880960
b3-b4,2,1.18,36225024
b1-b2,3,1.15,36012032
b2-b3,3,1.17,36061184
b3-b4,3,1.06,36012032
b1-b2,4,1.13,35897344
b2-b3,4,1.15,36175872
b3-b4,4,1.14,36028416
b1-b2,5,1.17,36159488
b2-b3,5,1.16,36274176
b3-b4,5,1.12,36356096
b1-b2,6,1.14,35897344
b2-b3,6,1.22,36323328
b3-b4,6,1.17,36126720
b1-b2,7,1.12,36159488
b2-b3,7,1.11,36126720
b3-b4,7,1.18,36159488
