stage,iteration,elapsed_seconds,peak_rss_bytes
b1-b2,1,0.38,20619264
b2-b3,1,0.38,20692992
b3-b4,1,0.38,20692992
b1-b2,2,0.38,20619264
b2-b3,2,0.38,20680704
b3-b4,2,0.38,20692992
b1-b2,3,0.39,20619264
b2-b3,3,0.38,20619264
b3-b4,3,0.39,20692992
b1-b2,4,0.39,20619264
b2-b3,4,0.39,20692992
b3-b4,4,0.41,20680704
b1-b2,5,0.47,20619264
b2-b3,5,0.39,20676608
b3-b4,5,0.44,20684800
b1-b2,6,0.38,20615168
b2-b3,6,0.38,20692992
b3-b4,6,0.38,20692992
b1-b2,7,0.39,20611072
b2-b3,7,0.38,20692992
b3-b4,7,0.39,20676608
