phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes	artifact_bytes	artifact_sha256	program_status	program_stderr_empty	program_stdout_exact
warmup	1	0	1	spectral-norm	typerb-native	pass	0			0.20822454699998616	0.054235	78217216	18840	9208c525db0a46a855c8c0faee29d89d860b925d210fd4515fbfe2350a1837ee	0	true	true
warmup	1	0	2	spectral-norm	typerb-go	pass	0			4.049621770000044	10.207844	388136960	2809866	22efae32326aa0922f0ad607d4c783c9f0c6a0fccccb213d60cb8b0b95834db4	0	true	true
warmup	2	0	1	spectral-norm	typerb-go	pass	0			0.4621615419999898	0.356834	158941184	2809898	bd2734ef10ad70b6626f0f265d71f5b41b9587bc41bd8a87f52c065c995d99be	0	true	true
warmup	2	0	2	spectral-norm	typerb-native	pass	0			0.19648409299998093	0.052969	78409728	18840	9208c525db0a46a855c8c0faee29d89d860b925d210fd4515fbfe2350a1837ee	0	true	true
retained	3	1	1	spectral-norm	typerb-native	pass	0			0.2002172679999603	0.055753	78155776	18840	9208c525db0a46a855c8c0faee29d89d860b925d210fd4515fbfe2350a1837ee	0	true	true
retained	3	1	2	spectral-norm	typerb-go	pass	0			0.48438515800000914	0.352178	160149504	2809898	5870c3fe8ef5456dbc573acdc6829fe5d7dcbaa359bd68d0014777d6dfe4b194	0	true	true
retained	4	2	1	spectral-norm	typerb-go	pass	0			0.5346126030000278	0.360528	161026048	2809898	5c0a4649305ff1da7fec98b823f3214b8a435fae3af4baeeb1d54e1867c72381	0	true	true
retained	4	2	2	spectral-norm	typerb-native	pass	0			0.22175431699997716	0.056363	78401536	18840	9208c525db0a46a855c8c0faee29d89d860b925d210fd4515fbfe2350a1837ee	0	true	true
retained	5	3	1	spectral-norm	typerb-native	pass	0			0.22619371700000102	0.055558	78221312	18840	9208c525db0a46a855c8c0faee29d89d860b925d210fd4515fbfe2350a1837ee	0	true	true
retained	5	3	2	spectral-norm	typerb-go	pass	0			0.5051144660000091	0.368376	161796096	2809898	f8464c49b22f7d87aaef79ee7c7060eb5c03284600ab1364c86441d894738b44	0	true	true
retained	6	4	1	spectral-norm	typerb-go	pass	0			0.5044734520000134	0.36302	160534528	2809898	a233177ef909bcea1f8e8c588c6faa43c79eff8aa7a581a4d6bf76377f4aaac4	0	true	true
retained	6	4	2	spectral-norm	typerb-native	pass	0			0.20363302399999839	0.054968	78155776	18840	9208c525db0a46a855c8c0faee29d89d860b925d210fd4515fbfe2350a1837ee	0	true	true
retained	7	5	1	spectral-norm	typerb-native	pass	0			0.21072206499997037	0.054427	78204928	18840	9208c525db0a46a855c8c0faee29d89d860b925d210fd4515fbfe2350a1837ee	0	true	true
retained	7	5	2	spectral-norm	typerb-go	pass	0			0.4751506200000222	0.352088	160489472	2809898	3ba7ece96ec4be5f88f79677935afea1ede98cf50d2ebd7b3c144f2ceacd4a0f	0	true	true
retained	8	6	1	spectral-norm	typerb-go	pass	0			0.4822047960000191	0.345607	161329152	2809826	e49efc9a1284897cb431b29ab15c78dff5a0cc29fde2ffa36be667c541afd037	0	true	true
retained	8	6	2	spectral-norm	typerb-native	pass	0			0.21143998499996997	0.054742	78454784	18840	9208c525db0a46a855c8c0faee29d89d860b925d210fd4515fbfe2350a1837ee	0	true	true
retained	9	7	1	spectral-norm	typerb-native	pass	0			0.20924082999999882	0.055635	78417920	18840	9208c525db0a46a855c8c0faee29d89d860b925d210fd4515fbfe2350a1837ee	0	true	true
retained	9	7	2	spectral-norm	typerb-go	pass	0			0.46814955799999325	0.34899	161030144	2809898	2305bdc63fea2160f3b9b8c54cd5d1c26fcc3d177513abaa868b1453a2ef6c3c	0	true	true
retained	10	8	1	spectral-norm	typerb-go	pass	0			0.4666201769999816	0.349471	158707712	2809898	2ccc996e34523593d55f492d45bf5571c584a967344cfc5420d666f6f5195fb0	0	true	true
retained	10	8	2	spectral-norm	typerb-native	pass	0			0.19548661799996125	0.052225	78233600	18840	9208c525db0a46a855c8c0faee29d89d860b925d210fd4515fbfe2350a1837ee	0	true	true
retained	11	9	1	spectral-norm	typerb-native	pass	0			0.20291290200003687	0.054415	78221312	18840	9208c525db0a46a855c8c0faee29d89d860b925d210fd4515fbfe2350a1837ee	0	true	true
retained	11	9	2	spectral-norm	typerb-go	pass	0			0.4787232959999983	0.349826	160137216	2809898	e4e46754912dfe289689bc4c580df09915a83ba8cf8155d3ffb526e35e361fe5	0	true	true
retained	12	10	1	spectral-norm	typerb-go	pass	0			0.48011291999995365	0.349625	159428608	2809898	99ec5859b7c3889315a06ec965764dbc87fd0a9ce45a79dce3066d128f0cd075	0	true	true
retained	12	10	2	spectral-norm	typerb-native	pass	0			0.2121637530000271	0.054204	78475264	18840	9208c525db0a46a855c8c0faee29d89d860b925d210fd4515fbfe2350a1837ee	0	true	true
retained	13	11	1	spectral-norm	typerb-native	pass	0			0.21921613099999604	0.055292	78430208	18840	9208c525db0a46a855c8c0faee29d89d860b925d210fd4515fbfe2350a1837ee	0	true	true
retained	13	11	2	spectral-norm	typerb-go	pass	0			0.5567000369999846	0.364026	161243136	2809898	8cf9e60cfe1ae466e665c1ca9359814b9318d83c6e835138351b883ccf35ab6a	0	true	true
