phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	one-core	typerb-native	pass	0			193.268731161	193.269052	524288
warmup	1	0	2	fannkuch-redux	one-core	typerb-go	pass	0			45.97414622899987	45.969165	3264512
warmup	1	0	3	fannkuch-redux	one-core	c	pass	0			27.898887812000112	27.897622	524288
warmup	1	0	4	fannkuch-redux	one-core	cpp	pass	0			24.950760444000025	24.949245	688128
warmup	1	0	5	fannkuch-redux	one-core	go	pass	0			24.707323610999993	24.687016	2719744
warmup	1	0	6	fannkuch-redux	one-core	rust	pass	0			24.866641308999988	24.865213	1191936
warmup	1	0	7	fannkuch-redux	one-core	java	pass	0			24.488143176999984	24.426372	49278976
warmup	2	0	1	fannkuch-redux	one-core	typerb-go	pass	0			46.42884072300012	46.422965	3022848
warmup	2	0	2	fannkuch-redux	one-core	c	pass	0			27.41170166400002	27.409286	651264
warmup	2	0	3	fannkuch-redux	one-core	cpp	pass	0			24.978121726999916	24.976355	663552
warmup	2	0	4	fannkuch-redux	one-core	go	pass	0			24.605362769000067	24.594968	2646016
warmup	2	0	5	fannkuch-redux	one-core	rust	pass	0			24.86198605100003	24.860185	1220608
warmup	2	0	6	fannkuch-redux	one-core	java	pass	0			24.5482645579998	24.505808	49274880
warmup	2	0	7	fannkuch-redux	one-core	typerb-native	pass	0			193.33352803899993	193.335003	524288
retained	3	1	1	fannkuch-redux	one-core	c	pass	0			27.896914639999977	27.895652	524288
retained	3	1	2	fannkuch-redux	one-core	cpp	pass	0			24.97836373500013	24.975351	692224
retained	3	1	3	fannkuch-redux	one-core	go	pass	0			24.602054576000228	24.593088	2650112
retained	3	1	4	fannkuch-redux	one-core	rust	pass	0			24.871377010999822	24.867902	1212416
retained	3	1	5	fannkuch-redux	one-core	java	pass	0			24.215227209000204	24.164579	49541120
retained	3	1	6	fannkuch-redux	one-core	typerb-native	pass	0			193.29355702300018	193.295672	524288
retained	3	1	7	fannkuch-redux	one-core	typerb-go	pass	0			46.064976388000105	46.060103	3084288
retained	4	2	1	fannkuch-redux	one-core	cpp	pass	0			24.975548333000006	24.973949	679936
retained	4	2	2	fannkuch-redux	one-core	go	pass	0			24.925361866000003	24.912129	2715648
retained	4	2	3	fannkuch-redux	one-core	rust	pass	0			24.866183252000155	24.86472	1204224
retained	4	2	4	fannkuch-redux	one-core	java	pass	0			24.206876366000415	24.16286	47763456
retained	4	2	5	fannkuch-redux	one-core	typerb-native	pass	0			193.35158353899988	193.353437	524288
retained	4	2	6	fannkuch-redux	one-core	typerb-go	pass	0			46.297517706000235	46.257857	3018752
retained	4	2	7	fannkuch-redux	one-core	c	pass	0			27.40653165499998	27.405097	503808
retained	5	3	1	fannkuch-redux	one-core	go	pass	0			24.594228758999634	24.589946	2637824
retained	5	3	2	fannkuch-redux	one-core	rust	pass	0			24.865834264000114	24.864295	1204224
retained	5	3	3	fannkuch-redux	one-core	java	pass	0			24.607808507999835	24.567066	49610752
retained	5	3	4	fannkuch-redux	one-core	typerb-native	pass	0			193.32660479399965	193.32556	503808
retained	5	3	5	fannkuch-redux	one-core	typerb-go	pass	0			46.16932579200011	46.16278	3022848
retained	5	3	6	fannkuch-redux	one-core	c	pass	0			27.899444926999877	27.897297	524288
retained	5	3	7	fannkuch-redux	one-core	cpp	pass	0			24.972955517000173	24.971568	692224
retained	6	4	1	fannkuch-redux	one-core	rust	pass	0			24.875638809000066	24.872342	1191936
retained	6	4	2	fannkuch-redux	one-core	java	pass	0			24.613112954999906	24.566339	49594368
retained	6	4	3	fannkuch-redux	one-core	typerb-native	pass	0			193.32475208699998	193.326416	524288
retained	6	4	4	fannkuch-redux	one-core	typerb-go	pass	0			45.87139933799972	45.866653	3248128
retained	6	4	5	fannkuch-redux	one-core	c	pass	0			27.40708148099975	27.40461	524288
retained	6	4	6	fannkuch-redux	one-core	cpp	pass	0			24.975528569999824	24.974279	671744
retained	6	4	7	fannkuch-redux	one-core	go	pass	0			24.63446439800009	24.618972	2650112
retained	7	5	1	fannkuch-redux	one-core	java	pass	0			24.599836732000313	24.554239	49618944
retained	7	5	2	fannkuch-redux	one-core	typerb-native	pass	0			193.34593214999995	193.347638	524288
retained	7	5	3	fannkuch-redux	one-core	typerb-go	pass	0			45.89156273400022	45.885805	3018752
retained	7	5	4	fannkuch-redux	one-core	c	pass	0			27.481488936000005	27.479867	524288
retained	7	5	5	fannkuch-redux	one-core	cpp	pass	0			24.959354582999822	24.956769	688128
retained	7	5	6	fannkuch-redux	one-core	go	pass	0			24.649500536000232	24.639553	2768896
retained	7	5	7	fannkuch-redux	one-core	rust	pass	0			24.87060047199975	24.867514	1212416
retained	8	6	1	fannkuch-redux	one-core	typerb-native	pass	0			193.52785326100002	193.529439	524288
retained	8	6	2	fannkuch-redux	one-core	typerb-go	pass	0			45.80987511100011	45.805949	3252224
retained	8	6	3	fannkuch-redux	one-core	c	pass	0			27.892496462000054	27.890976	647168
retained	8	6	4	fannkuch-redux	one-core	cpp	pass	0			24.97244856999987	24.970932	663552
retained	8	6	5	fannkuch-redux	one-core	go	pass	0			24.59354565099966	24.583631	2715648
retained	8	6	6	fannkuch-redux	one-core	rust	pass	0			24.86783468699923	24.866237	1204224
retained	8	6	7	fannkuch-redux	one-core	java	pass	0			24.610899425999378	24.572482	49815552
retained	9	7	1	fannkuch-redux	one-core	typerb-go	pass	0			46.00885658000061	46.00137	3256320
retained	9	7	2	fannkuch-redux	one-core	c	pass	0			27.896263321000333	27.893878	524288
retained	9	7	3	fannkuch-redux	one-core	cpp	pass	0			24.979066408000108	24.977631	770048
retained	9	7	4	fannkuch-redux	one-core	go	pass	0			24.58944388100008	24.585004	2609152
retained	9	7	5	fannkuch-redux	one-core	rust	pass	0			24.86892872699991	24.867125	1204224
retained	9	7	6	fannkuch-redux	one-core	java	pass	0			24.720184906999748	24.680981	49750016
retained	9	7	7	fannkuch-redux	one-core	typerb-native	pass	0			194.28710595399934	194.289775	524288
retained	10	8	1	fannkuch-redux	one-core	c	pass	0			27.403817012000218	27.402606	524288
retained	10	8	2	fannkuch-redux	one-core	cpp	pass	0			24.955806676000066	24.95363	684032
