phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	one-core	typerb-native	pass	0			28.893972932999986	28.890344	442368
warmup	1	0	2	n-body	one-core	typerb-go	pass	0			6.171992332999935	6.163918	3260416
warmup	1	0	3	n-body	one-core	c	pass	0			2.9763612040001135	2.973501	524288
warmup	1	0	4	n-body	one-core	cpp	pass	0			2.736889490000067	2.734547	692224
warmup	1	0	5	n-body	one-core	go	pass	0			3.5992356439999185	3.592911	2625536
warmup	1	0	6	n-body	one-core	rust	pass	0			3.537511192000011	3.535009	983040
warmup	1	0	7	n-body	one-core	java	pass	0			5.0369618719998925	4.978474	48742400
warmup	2	0	1	n-body	one-core	typerb-go	pass	0			6.173393509000107	6.165368	3268608
warmup	2	0	2	n-body	one-core	c	pass	0			2.9755037390000325	2.973311	524288
warmup	2	0	3	n-body	one-core	cpp	pass	0			2.731867899000008	2.729503	684032
warmup	2	0	4	n-body	one-core	go	pass	0			3.599932695000007	3.59371	2621440
warmup	2	0	5	n-body	one-core	rust	pass	0			3.500120263999861	3.497422	937984
warmup	2	0	6	n-body	one-core	java	pass	0			5.022977331999982	4.96308	48762880
warmup	2	0	7	n-body	one-core	typerb-native	pass	0			28.88924321000013	28.883753	524288
retained	3	1	1	n-body	one-core	c	pass	0			2.9766660190000493	2.974154	524288
retained	3	1	2	n-body	one-core	cpp	pass	0			2.7421866730001057	2.738334	651264
retained	3	1	3	n-body	one-core	go	pass	0			3.5991767699999855	3.592993	2641920
retained	3	1	4	n-body	one-core	rust	pass	0			3.5055837390000306	3.502855	933888
retained	3	1	5	n-body	one-core	java	pass	0			5.0884574649999195	5.030931	48754688
retained	3	1	6	n-body	one-core	typerb-native	pass	0			28.87666099000012	28.871594	524288
retained	3	1	7	n-body	one-core	typerb-go	pass	0			6.171097006000082	6.163485	3002368
retained	4	2	1	n-body	one-core	cpp	pass	0			2.7368246759999693	2.734408	692224
retained	4	2	2	n-body	one-core	go	pass	0			3.5982926959998167	3.59134	2629632
retained	4	2	3	n-body	one-core	rust	pass	0			3.5335227569999006	3.530881	925696
retained	4	2	4	n-body	one-core	java	pass	0			5.053195669999923	4.995624	49029120
retained	4	2	5	n-body	one-core	typerb-native	pass	0			28.88743164099992	28.881833	524288
retained	4	2	6	n-body	one-core	typerb-go	pass	0			6.171122000999958	6.164538	3264512
retained	4	2	7	n-body	one-core	c	pass	0			2.9758376800000406	2.973507	524288
retained	5	3	1	n-body	one-core	go	pass	0			3.5997561229999064	3.593446	2613248
retained	5	3	2	n-body	one-core	rust	pass	0			3.507543940000005	3.504756	950272
retained	5	3	3	n-body	one-core	java	pass	0			5.093750312000111	5.017596	39895040
retained	5	3	4	n-body	one-core	typerb-native	pass	0			28.91586888100005	28.911671	524288
retained	5	3	5	n-body	one-core	typerb-go	pass	0			6.175679434000131	6.167129	3018752
retained	5	3	6	n-body	one-core	c	pass	0			2.9754951160000473	2.973157	524288
retained	5	3	7	n-body	one-core	cpp	pass	0			2.7297048150001046	2.727352	684032
retained	6	4	1	n-body	one-core	rust	pass	0			3.5032472610000696	3.500596	937984
retained	6	4	2	n-body	one-core	java	pass	0			5.078639673999987	5.018602	48672768
retained	6	4	3	n-body	one-core	typerb-native	pass	0			28.892961367999987	28.888867	524288
retained	6	4	4	n-body	one-core	typerb-go	pass	0			6.17209066700002	6.164977	3055616
retained	6	4	5	n-body	one-core	c	pass	0			2.976105404000009	2.973676	524288
retained	6	4	6	n-body	one-core	cpp	pass	0			2.7330298110000513	2.729479	663552
retained	6	4	7	n-body	one-core	go	pass	0			3.599675738000087	3.593878	2605056
retained	7	5	1	n-body	one-core	java	pass	0			5.0279364390000865	4.968479	48693248
retained	7	5	2	n-body	one-core	typerb-native	pass	0			28.89921932900006	28.895138	524288
retained	7	5	3	n-body	one-core	typerb-go	pass	0			6.1739149830000315	6.167019	3264512
retained	7	5	4	n-body	one-core	c	pass	0			2.976368943000125	2.973464	659456
retained	7	5	5	n-body	one-core	cpp	pass	0			2.7425844760000473	2.740207	679936
retained	7	5	6	n-body	one-core	go	pass	0			3.5995212590000847	3.59345	2641920
retained	7	5	7	n-body	one-core	rust	pass	0			3.532294546000003	3.529328	974848
retained	8	6	1	n-body	one-core	typerb-native	pass	0			28.872207774000117	28.867205	524288
