stage,candidate,iteration,elapsed_seconds,elapsed_status,peak_rss_bytes,rss_status,observer_status
adjacent-build,b2-b3,-2,1.001458350,0,61337600,0,0
adjacent-build,b3-b4,-2,0.997034683,0,61329408,0,0
adjacent-build,b3-b4,-1,1.007152177,0,61272064,0,0
adjacent-build,b2-b3,-1,0.985490898,0,61267968,0,0
adjacent-build,b2-b3,1,0.999818705,0,61186048,0,0
adjacent-build,b3-b4,1,1.020200579,0,61235200,0,0
adjacent-build,b3-b4,2,1.009818778,0,60993536,0,0
adjacent-build,b2-b3,2,1.070266075,0,61390848,0,0
adjacent-build,b2-b3,3,1.044910571,0,61272064,0,0
adjacent-build,b3-b4,3,1.022048721,0,61149184,0,0
adjacent-build,b3-b4,4,1.059909037,0,61206528,0,0
adjacent-build,b2-b3,4,1.045129844,0,61104128,0,0
adjacent-build,b2-b3,5,1.073987987,0,61239296,0,0
adjacent-build,b3-b4,5,1.056262533,0,61210624,0,0
adjacent-build,b3-b4,6,1.067129247,0,61313024,0,0
adjacent-build,b2-b3,6,1.136002694,0,61366272,0,0
adjacent-build,b2-b3,7,1.097468405,0,61374464,0,0
adjacent-build,b3-b4,7,1.098287918,0,61136896,0,0
compiler-build,native,-2,1.096422755,0,61165568,0,0
compiler-build,external,-2,1.088012155,0,61181952,0,0
compiler-build,external,-1,1.095541274,0,61153280,0,0
compiler-build,native,-1,1.046511482,0,61222912,0,0
compiler-build,native,1,0.997951112,0,61280256,0,0
compiler-build,external,1,1.039622748,0,61325312,0,0
compiler-build,external,2,1.029567867,0,61304832,0,0
compiler-build,native,2,1.066768679,0,61173760,0,0
compiler-build,native,3,1.037252805,0,61337600,0,0
compiler-build,external,3,1.003199246,0,61145088,0,0
compiler-build,external,4,1.010878260,0,61304832,0,0
compiler-build,native,4,1.003886739,0,61009920,0,0
compiler-build,native,5,1.003991913,0,61370368,0,0
compiler-build,external,5,1.016299359,0,61272064,0,0
compiler-build,external,6,1.004241895,0,61231104,0,0
compiler-build,native,6,1.011470606,0,61304832,0,0
compiler-build,native,7,1.189596721,0,61272064,0,0
compiler-build,external,7,1.011697077,0,61145088,0,0
application-build,native,-2,0.043950585,0,60829696,0,0
application-build,go,-2,0.196242593,0,74813440,0,0
application-build,go,-1,0.187738204,0,77160448,0,0
application-build,native,-1,0.042631371,0,60522496,0,0
application-build,native,1,0.043324790,0,60731392,0,0
application-build,go,1,0.187373396,0,76865536,0,0
application-build,go,2,0.184358233,0,74944512,0,0
application-build,native,2,0.041675675,0,60686336,0,0
application-build,native,3,0.041873054,0,60690432,0,0
application-build,go,3,0.181853046,0,74858496,0,0
application-build,go,4,0.180921293,0,77148160,0,0
application-build,native,4,0.041818591,0,60784640,0,0
application-build,native,5,0.041606631,0,60653568,0,0
application-build,go,5,0.186705993,0,77004800,0,0
application-build,go,6,0.183464813,0,77156352,0,0
application-build,native,6,0.041328821,0,60682240,0,0
application-build,native,7,0.043720557,0,60723200,0,0
application-build,go,7,0.189928634,0,75005952,0,0
application-build,go,8,0.188740003,0,74870784,0,0
application-build,native,8,0.041963901,0,60710912,0,0
application-build,native,9,0.042082070,0,60817408,0,0
application-build,go,9,0.193524700,0,74780672,0,0
application-build,go,10,0.205844907,0,77406208,0,0
application-build,native,10,0.042205486,0,60788736,0,0
application-build,native,11,0.042430797,0,60735488,0,0
application-build,go,11,0.188248735,0,77099008,0,0
application-runtime,native,-2,0.001017968,0,1617920,0,0
application-runtime,go,-2,0.002053695,0,6176768,0,0
application-runtime,go,-1,0.002060975,0,4067328,0,0
application-runtime,native,-1,0.000895894,0,1617920,0,0
application-runtime,native,1,0.000861172,0,1646592,0,0
application-runtime,go,1,0.001906653,0,6234112,0,0
application-runtime,go,2,0.001742414,0,4067328,0,0
application-runtime,native,2,0.000883897,0,1617920,0,0
application-runtime,native,3,0.000886470,0,1609728,0,0
application-runtime,go,3,0.001937809,0,6225920,0,0
application-runtime,go,4,0.001801863,0,6205440,0,0
application-runtime,native,4,0.000939089,0,1609728,0,0
application-runtime,native,5,0.000933401,0,1605632,0,0
application-runtime,go,5,0.001853512,0,6234112,0,0
application-runtime,go,6,0.001851720,0,6168576,0,0
application-runtime,native,6,0.000944167,0,1617920,0,0
application-runtime,native,7,0.001027033,0,1617920,0,0
application-runtime,go,7,0.001832640,0,6184960,0,0
application-runtime,go,8,0.001911400,0,4071424,0,0
application-runtime,native,8,0.000915824,0,1646592,0,0
application-runtime,native,9,0.000861122,0,1646592,0,0
application-runtime,go,9,0.001930028,0,4067328,0,0
application-runtime,go,10,0.001977439,0,6254592,0,0
application-runtime,native,10,0.000891878,0,1679360,0,0
application-runtime,native,11,0.000884618,0,1617920,0,0
application-runtime,go,11,0.001909421,0,6172672,0,0
