phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	baseline	pass	0			1.0900401239999837	1.088485	438272
warmup	1	0	2	fannkuch-redux	candidate	pass	0			1.0356354189999877	1.033872	401408
warmup	2	0	1	fannkuch-redux	candidate	pass	0			1.0303213489999905	1.028424	413696
warmup	2	0	2	fannkuch-redux	baseline	pass	0			1.0909174689999759	1.088756	425984
retained	3	1	1	fannkuch-redux	baseline	pass	0			1.0875744800000007	1.0849	417792
retained	3	1	2	fannkuch-redux	candidate	pass	0			1.0381708310000022	1.036474	413696
retained	4	2	1	fannkuch-redux	candidate	pass	0			1.0390689429999895	1.036808	434176
retained	4	2	2	fannkuch-redux	baseline	pass	0			1.0871909730000198	1.085326	425984
retained	5	3	1	fannkuch-redux	baseline	pass	0			1.0861962410000103	1.084441	430080
retained	5	3	2	fannkuch-redux	candidate	pass	0			1.031149809999988	1.028761	409600
retained	6	4	1	fannkuch-redux	candidate	pass	0			1.036511015000002	1.034625	425984
retained	6	4	2	fannkuch-redux	baseline	pass	0			1.0874496360000023	1.085045	421888
retained	7	5	1	fannkuch-redux	baseline	pass	0			1.0926544259999957	1.090493	438272
retained	7	5	2	fannkuch-redux	candidate	pass	0			1.0382033219999869	1.036333	430080
retained	8	6	1	fannkuch-redux	candidate	pass	0			1.0361584270000037	1.034068	524288
retained	8	6	2	fannkuch-redux	baseline	pass	0			1.0980140800000129	1.095887	524288
retained	9	7	1	fannkuch-redux	baseline	pass	0			1.0902196739999965	1.088426	430080
retained	9	7	2	fannkuch-redux	candidate	pass	0			1.0305463120000127	1.028784	438272
retained	10	8	1	fannkuch-redux	candidate	pass	0			1.0305110249999814	1.028718	438272
retained	10	8	2	fannkuch-redux	baseline	pass	0			1.0863022389999912	1.084435	524288
retained	11	9	1	fannkuch-redux	baseline	pass	0			1.0921988640000109	1.090139	524288
retained	11	9	2	fannkuch-redux	candidate	pass	0			1.0386500970000156	1.036743	524288
retained	12	10	1	fannkuch-redux	candidate	pass	0			1.0389834879999853	1.036852	524288
retained	12	10	2	fannkuch-redux	baseline	pass	0			1.0872453849999886	1.085299	524288
retained	13	11	1	fannkuch-redux	baseline	pass	0			1.087861303000011	1.085858	524288
retained	13	11	2	fannkuch-redux	candidate	pass	0			1.0365170340000134	1.034512	524288
