phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	baseline	pass	0			0.578447892000014	0.576475	524288
warmup	1	0	2	n-body	candidate	pass	0			0.5348149969999838	0.532382	524288
warmup	2	0	1	n-body	candidate	pass	0			0.5327136629999814	0.530604	524288
warmup	2	0	2	n-body	baseline	pass	0			0.5781032280000034	0.576033	524288
retained	3	1	1	n-body	baseline	pass	0			0.5787042590000055	0.576711	524288
retained	3	1	2	n-body	candidate	pass	0			0.5329370930000152	0.530937	524288
retained	4	2	1	n-body	candidate	pass	0			0.533208529999996	0.531088	524288
retained	4	2	2	n-body	baseline	pass	0			0.5789261130000227	0.576555	524288
retained	5	3	1	n-body	baseline	pass	0			0.5794721780000032	0.577492	524288
retained	5	3	2	n-body	candidate	pass	0			0.5319156799999973	0.53002	524288
retained	6	4	1	n-body	candidate	pass	0			0.5347724609999887	0.531831	524288
retained	6	4	2	n-body	baseline	pass	0			0.5787045249999778	0.576624	524288
retained	7	5	1	n-body	baseline	pass	0			0.5792086069999982	0.577028	524288
retained	7	5	2	n-body	candidate	pass	0			0.5329080630000362	0.530291	524288
retained	8	6	1	n-body	candidate	pass	0			0.5332909740000105	0.530568	524288
retained	8	6	2	n-body	baseline	pass	0			0.5798920810000254	0.577784	524288
retained	9	7	1	n-body	baseline	pass	0			0.5784773510000036	0.576613	524288
retained	9	7	2	n-body	candidate	pass	0			0.5328364019999867	0.530726	524288
retained	10	8	1	n-body	candidate	pass	0			0.5330054390000214	0.531053	524288
retained	10	8	2	n-body	baseline	pass	0			0.5778684040000144	0.575651	524288
retained	11	9	1	n-body	baseline	pass	0			0.5791656349999812	0.577183	524288
retained	11	9	2	n-body	candidate	pass	0			0.5336118030000421	0.530332	524288
retained	12	10	1	n-body	candidate	pass	0			0.5323046609999551	0.530153	524288
retained	12	10	2	n-body	baseline	pass	0			0.5811351890000083	0.578791	524288
retained	13	11	1	n-body	baseline	pass	0			0.5785951959999807	0.57656	524288
retained	13	11	2	n-body	candidate	pass	0			0.5333534950000285	0.531172	524288
