phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	baseline	pass	0			10.922266521999973	10.920868	1191936
warmup	1	0	2	spectral-norm	candidate	pass	0			10.319325563999996	10.31774	1200128
warmup	2	0	1	spectral-norm	candidate	pass	0			10.319759653000006	10.316983	1200128
warmup	2	0	2	spectral-norm	baseline	pass	0			10.922522309999977	10.919537	1368064
retained	3	1	1	spectral-norm	baseline	pass	0			10.924571446000016	10.922694	1204224
retained	3	1	2	spectral-norm	candidate	pass	0			10.31823258999998	10.316235	1204224
retained	4	2	1	spectral-norm	candidate	pass	0			10.318138884000007	10.315891	1191936
retained	4	2	2	spectral-norm	baseline	pass	0			10.926346434000038	10.9235	1191936
retained	5	3	1	spectral-norm	baseline	pass	0			10.92289195699999	10.92122	1200128
retained	5	3	2	spectral-norm	candidate	pass	0			10.318027177000033	10.315969	1204224
retained	6	4	1	spectral-norm	candidate	pass	0			10.31893887000001	10.317201	1191936
retained	6	4	2	spectral-norm	baseline	pass	0			10.91852970299999	10.916745	1200128
retained	7	5	1	spectral-norm	baseline	pass	0			10.927323892999993	10.925428	1204224
retained	7	5	2	spectral-norm	candidate	pass	0			10.321029647999978	10.318198	1200128
retained	8	6	1	spectral-norm	candidate	pass	0			10.318236789000025	10.316057	1204224
retained	8	6	2	spectral-norm	baseline	pass	0			10.920638297000039	10.918526	1191936
retained	9	7	1	spectral-norm	baseline	pass	0			10.924136027999964	10.921955	1212416
retained	9	7	2	spectral-norm	candidate	pass	0			10.32012984000005	10.316724	1191936
retained	10	8	1	spectral-norm	candidate	pass	0			10.321020773999976	10.317705	1196032
retained	10	8	2	spectral-norm	baseline	pass	0			10.919208187000038	10.91725	1200128
retained	11	9	1	spectral-norm	baseline	pass	0			10.920641758999977	10.918203	1200128
retained	11	9	2	spectral-norm	candidate	pass	0			10.319432192000022	10.31769	1196032
retained	12	10	1	spectral-norm	candidate	pass	0			10.317441531999975	10.315079	1208320
retained	12	10	2	spectral-norm	baseline	pass	0			10.92540403999999	10.922487	1191936
retained	13	11	1	spectral-norm	baseline	pass	0			10.925328851000017	10.923054	1216512
retained	13	11	2	spectral-norm	candidate	pass	0			10.31820940700004	10.316241	1191936
