phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	baseline	pass	0			1.0868573590000778	1.084925	417792
warmup	1	0	2	fannkuch-redux	candidate	pass	0			1.0876375370000915	1.085628	430080
warmup	2	0	1	fannkuch-redux	candidate	pass	0			1.087199880000071	1.085199	413696
warmup	2	0	2	fannkuch-redux	baseline	pass	0			1.0869827060000716	1.084925	417792
retained	3	1	1	fannkuch-redux	baseline	pass	0			1.090121351000107	1.088473	413696
retained	3	1	2	fannkuch-redux	candidate	pass	0			1.0919611649999297	1.089618	442368
retained	4	2	1	fannkuch-redux	candidate	pass	0			1.091871545999993	1.089936	421888
retained	4	2	2	fannkuch-redux	baseline	pass	0			1.0861192239999582	1.084257	434176
retained	5	3	1	fannkuch-redux	baseline	pass	0			1.0883878550000645	1.0866	421888
retained	5	3	2	fannkuch-redux	candidate	pass	0			1.0942684819999613	1.091671	430080
retained	6	4	1	fannkuch-redux	candidate	pass	0			1.0892554240001573	1.086182	425984
retained	6	4	2	fannkuch-redux	baseline	pass	0			1.0873208859998158	1.085343	425984
retained	7	5	1	fannkuch-redux	baseline	pass	0			1.091711110999995	1.089953	417792
retained	7	5	2	fannkuch-redux	candidate	pass	0			1.0866779059999772	1.084686	524288
retained	8	6	1	fannkuch-redux	candidate	pass	0			1.090656197000044	1.08867	442368
retained	8	6	2	fannkuch-redux	baseline	pass	0			1.0913922619999994	1.089443	524288
retained	9	7	1	fannkuch-redux	baseline	pass	0			1.0904107839999142	1.088448	438272
retained	9	7	2	fannkuch-redux	candidate	pass	0			1.0867981249998593	1.084838	524288
retained	10	8	1	fannkuch-redux	candidate	pass	0			1.086033660000112	1.084091	434176
retained	10	8	2	fannkuch-redux	baseline	pass	0			1.0870799899998929	1.085153	524288
retained	11	9	1	fannkuch-redux	baseline	pass	0			1.0915255969998725	1.089775	524288
retained	11	9	2	fannkuch-redux	candidate	pass	0			1.0864577610000197	1.08468	524288
retained	12	10	1	fannkuch-redux	candidate	pass	0			1.0874572230000012	1.085423	438272
retained	12	10	2	fannkuch-redux	baseline	pass	0			1.087575920999825	1.08464	524288
retained	13	11	1	fannkuch-redux	baseline	pass	0			1.0858709950000502	1.084253	524288
retained	13	11	2	fannkuch-redux	candidate	pass	0			1.0857951279999725	1.084046	524288
