phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	baseline	pass	0			0.5828266599999097	0.58061	442368
warmup	1	0	2	n-body	candidate	pass	0			0.5779474109999683	0.575958	524288
warmup	2	0	1	n-body	candidate	pass	0			0.579416578000064	0.577749	524288
warmup	2	0	2	n-body	baseline	pass	0			0.5828773190000902	0.580606	524288
retained	3	1	1	n-body	baseline	pass	0			0.5832452899999225	0.581025	524288
retained	3	1	2	n-body	candidate	pass	0			0.5798381499998868	0.578074	524288
retained	4	2	1	n-body	candidate	pass	0			0.5800874909998583	0.578185	524288
retained	4	2	2	n-body	baseline	pass	0			0.581677086000127	0.579938	524288
retained	5	3	1	n-body	baseline	pass	0			0.5807839569999942	0.578768	524288
retained	5	3	2	n-body	candidate	pass	0			0.5784853930001645	0.576221	524288
retained	6	4	1	n-body	candidate	pass	0			0.5805114399997819	0.578742	524288
retained	6	4	2	n-body	baseline	pass	0			0.5822034549998989	0.58016	524288
retained	7	5	1	n-body	baseline	pass	0			0.5833035460000247	0.58122	524288
retained	7	5	2	n-body	candidate	pass	0			0.5792213199999878	0.576868	524288
retained	8	6	1	n-body	candidate	pass	0			0.5794563960000687	0.576946	524288
retained	8	6	2	n-body	baseline	pass	0			0.5808316640000157	0.578761	524288
retained	9	7	1	n-body	baseline	pass	0			0.582711462999896	0.58081	524288
retained	9	7	2	n-body	candidate	pass	0			0.5789634420000311	0.576969	524288
retained	10	8	1	n-body	candidate	pass	0			0.5784093060001396	0.576219	524288
retained	10	8	2	n-body	baseline	pass	0			0.5807852340001318	0.578792	524288
retained	11	9	1	n-body	baseline	pass	0			0.5813997079999353	0.579055	524288
retained	11	9	2	n-body	candidate	pass	0			0.5793752289998793	0.576976	524288
retained	12	10	1	n-body	candidate	pass	0			0.5797655720000421	0.577745	524288
retained	12	10	2	n-body	baseline	pass	0			0.5823822080001264	0.580265	524288
retained	13	11	1	n-body	baseline	pass	0			0.5809495599999082	0.57916	524288
retained	13	11	2	n-body	candidate	pass	0			0.5773312789999636	0.575686	524288
