phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	baseline	pass	0			13.77468411399991	13.772001	1200128
warmup	1	0	2	spectral-norm	candidate	pass	0			10.919225222000023	10.91683	1191936
warmup	2	0	1	spectral-norm	candidate	pass	0			10.92398963300002	10.92552	1191936
warmup	2	0	2	spectral-norm	baseline	pass	0			13.75723241300011	13.755111	1216512
retained	3	1	1	spectral-norm	baseline	pass	0			13.756372974999977	13.754731	1200128
retained	3	1	2	spectral-norm	candidate	pass	0			10.921775891999914	10.920329	1200128
retained	4	2	1	spectral-norm	candidate	pass	0			10.923042936999991	10.919054	1196032
retained	4	2	2	spectral-norm	baseline	pass	0			13.757116416000144	13.755509	1208320
retained	5	3	1	spectral-norm	baseline	pass	0			13.76112328299996	13.758617	1204224
retained	5	3	2	spectral-norm	candidate	pass	0			10.918323983000164	10.916627	1253376
retained	6	4	1	spectral-norm	candidate	pass	0			10.922692891999986	10.920511	1212416
retained	6	4	2	spectral-norm	baseline	pass	0			13.758505959000104	13.756914	1200128
retained	7	5	1	spectral-norm	baseline	pass	0			13.772803789999898	13.770232	1204224
retained	7	5	2	spectral-norm	candidate	pass	0			10.923397402000091	10.921185	1232896
retained	8	6	1	spectral-norm	candidate	pass	0			10.92455350199998	10.922827	1191936
retained	8	6	2	spectral-norm	baseline	pass	0			13.75960708699995	13.757811	1200128
retained	9	7	1	spectral-norm	baseline	pass	0			13.755755794999914	13.754164	1363968
retained	9	7	2	spectral-norm	candidate	pass	0			10.92273833000013	10.919876	1363968
retained	10	8	1	spectral-norm	candidate	pass	0			10.92128369199986	10.919489	1216512
retained	10	8	2	spectral-norm	baseline	pass	0			13.757509262000212	13.755858	1200128
retained	11	9	1	spectral-norm	baseline	pass	0			13.760711171999901	13.758909	1273856
retained	11	9	2	spectral-norm	candidate	pass	0			10.920740444999865	10.918231	1363968
retained	12	10	1	spectral-norm	candidate	pass	0			10.925854452000067	10.922277	1363968
retained	12	10	2	spectral-norm	baseline	pass	0			13.75648109000008	13.754816	1216512
retained	13	11	1	spectral-norm	baseline	pass	0			13.758484205000059	13.756519	1196032
retained	13	11	2	spectral-norm	candidate	pass	0			10.917778915000099	10.916001	1191936
