phase,round,order,role,stage,elapsed_seconds,peak_rss_bytes,status
warmup,1,1,baseline,b2-b3,1.61,41058304,0
warmup,1,2,candidate,b2-b3,1.40,41205760,0
warmup,1,1,baseline,b3-b4,1.54,41222144,0
warmup,1,2,candidate,b3-b4,1.32,41091072,0
warmup,2,1,candidate,b2-b3,1.45,41058304,0
warmup,2,2,baseline,b2-b3,1.54,40894464,0
warmup,2,1,candidate,b3-b4,1.51,41123840,0
warmup,2,2,baseline,b3-b4,1.66,40992768,0
retained,1,1,baseline,b2-b3,1.60,41156608,0
retained,1,2,candidate,b2-b3,1.46,40779776,0
retained,1,1,baseline,b3-b4,1.36,41271296,0
retained,1,2,candidate,b3-b4,1.28,41172992,0
retained,2,1,candidate,b2-b3,1.30,41058304,0
retained,2,2,baseline,b2-b3,1.40,40976384,0
retained,2,1,candidate,b3-b4,1.36,41320448,0
retained,2,2,baseline,b3-b4,1.48,41189376,0
retained,3,1,baseline,b2-b3,1.38,41058304,0
retained,3,2,candidate,b2-b3,1.29,40976384,0
retained,3,1,baseline,b3-b4,1.44,41205760,0
retained,3,2,candidate,b3-b4,1.38,41172992,0
retained,4,1,candidate,b2-b3,1.35,41091072,0
retained,4,2,baseline,b2-b3,1.53,41140224,0
retained,4,1,candidate,b3-b4,1.35,41123840,0
retained,4,2,baseline,b3-b4,1.37,40812544,0
retained,5,1,baseline,b2-b3,1.45,41271296,0
retained,5,2,candidate,b2-b3,1.38,41074688,0
retained,5,1,baseline,b3-b4,1.35,40927232,0
retained,5,2,candidate,b3-b4,1.29,41041920,0
retained,6,1,candidate,b2-b3,1.30,41058304,0
retained,6,2,baseline,b2-b3,1.40,41041920,0
retained,6,1,candidate,b3-b4,1.36,41205760,0
retained,6,2,baseline,b3-b4,1.38,41041920,0
retained,7,1,baseline,b2-b3,1.37,41304064,0
retained,7,2,candidate,b2-b3,1.31,41140224,0
retained,7,1,baseline,b3-b4,1.38,41222144,0
retained,7,2,candidate,b3-b4,1.27,41172992,0
