phase,round,order,role,stage,elapsed_seconds,peak_rss_bytes,status
warmup,1,1,baseline,b2-b3,1.02,64577536,0
warmup,1,2,candidate,b2-b3,0.88,64393216,0
warmup,1,1,baseline,b3-b4,1.02,64360448,0
warmup,1,2,candidate,b3-b4,0.88,64278528,0
warmup,2,1,candidate,b2-b3,0.88,64241664,0
warmup,2,2,baseline,b2-b3,1.02,64380928,0
warmup,2,1,candidate,b3-b4,0.88,64278528,0
warmup,2,2,baseline,b3-b4,1.06,64380928,0
retained,1,1,baseline,b2-b3,1.05,64491520,0
retained,1,2,candidate,b2-b3,0.91,64323584,0
retained,1,1,baseline,b3-b4,1.07,64380928,0
retained,1,2,candidate,b3-b4,0.91,64405504,0
retained,2,1,candidate,b2-b3,0.87,64335872,0
retained,2,2,baseline,b2-b3,1.02,64249856,0
retained,2,1,candidate,b3-b4,0.89,64458752,0
retained,2,2,baseline,b3-b4,1.03,64385024,0
retained,3,1,baseline,b2-b3,1.01,64471040,0
retained,3,2,candidate,b2-b3,0.88,64438272,0
retained,3,1,baseline,b3-b4,1.03,64360448,0
retained,3,2,candidate,b3-b4,0.91,64385024,0
retained,4,1,candidate,b2-b3,0.87,64413696,0
retained,4,2,baseline,b2-b3,1.05,64253952,0
retained,4,1,candidate,b3-b4,0.90,64516096,0
retained,4,2,baseline,b3-b4,1.02,64299008,0
retained,5,1,baseline,b2-b3,1.02,64385024,0
retained,5,2,candidate,b2-b3,0.88,64376832,0
retained,5,1,baseline,b3-b4,1.02,64253952,0
retained,5,2,candidate,b3-b4,0.89,64307200,0
retained,6,1,candidate,b2-b3,0.88,64434176,0
retained,6,2,baseline,b2-b3,1.03,64356352,0
retained,6,1,candidate,b3-b4,0.89,64274432,0
retained,6,2,baseline,b3-b4,1.03,64380928,0
retained,7,1,baseline,b2-b3,1.01,64618496,0
retained,7,2,candidate,b2-b3,0.89,64282624,0
retained,7,1,baseline,b3-b4,1.03,64380928,0
retained,7,2,candidate,b3-b4,0.89,64278528,0
