phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes	artifact_bytes	artifact_sha256	program_status	program_stderr_empty	program_stdout_exact
warmup	1	0	1	fannkuch-redux	typerb-native	pass	0			0.20149405999995906	0.054465	78057472	19272	09ae23032b994f320ce60cb0c5a0b48df263679509d6b4535575a5d016d0f949	0	true	true
warmup	1	0	2	fannkuch-redux	typerb-go	pass	0			3.777427308999904	9.863329	407531520	2808836	bb49c0443220e880adfb94df76a5f9b9664a7754947cec600ffaacf0f1033103	0	true	true
warmup	2	0	1	fannkuch-redux	typerb-go	pass	0			0.43490747299983923	0.333474	157745152	2808836	81d742765c3190d2111dee05da884175ab3c05296cd2b6d9d65ea04e2c545ae3	0	true	true
warmup	2	0	2	fannkuch-redux	typerb-native	pass	0			0.19483004599987908	0.055384	78094336	19272	09ae23032b994f320ce60cb0c5a0b48df263679509d6b4535575a5d016d0f949	0	true	true
retained	3	1	1	fannkuch-redux	typerb-native	pass	0			0.19578081700001349	0.055438	78303232	19272	09ae23032b994f320ce60cb0c5a0b48df263679509d6b4535575a5d016d0f949	0	true	true
retained	3	1	2	fannkuch-redux	typerb-go	pass	0			0.44419015499988745	0.339063	160354304	2808692	af7762f0497fffc9cf9d2d8bbd29e6f0d064d898e1fc60425509096d3685fad6	0	true	true
retained	4	2	1	fannkuch-redux	typerb-go	pass	0			0.45376604699981726	0.346069	160608256	2808692	6b2fd862db170fa649f9cce943b488967f71400c9f14143ee76fea26140bb7be	0	true	true
retained	4	2	2	fannkuch-redux	typerb-native	pass	0			0.19406915800004754	0.055255	78569472	19272	09ae23032b994f320ce60cb0c5a0b48df263679509d6b4535575a5d016d0f949	0	true	true
retained	5	3	1	fannkuch-redux	typerb-native	pass	0			0.1950988060000327	0.055499	78032896	19272	09ae23032b994f320ce60cb0c5a0b48df263679509d6b4535575a5d016d0f949	0	true	true
retained	5	3	2	fannkuch-redux	typerb-go	pass	0			0.4526095619999069	0.346048	160710656	2808692	6aebae5374d1ab06b4493769b792235e7527e8f59e11b3b487a2fb5570200fb2	0	true	true
retained	6	4	1	fannkuch-redux	typerb-go	pass	0			0.44958440899995367	0.341763	159551488	2808836	c6ba01a83843215e4e3682f2c8764dc052c5c3c6a4308ff1f578a35f3eeba297	0	true	true
retained	6	4	2	fannkuch-redux	typerb-native	pass	0			0.20323389099985434	0.054868	78094336	19272	09ae23032b994f320ce60cb0c5a0b48df263679509d6b4535575a5d016d0f949	0	true	true
retained	7	5	1	fannkuch-redux	typerb-native	pass	0			0.20365782399994714	0.056499	78376960	19272	09ae23032b994f320ce60cb0c5a0b48df263679509d6b4535575a5d016d0f949	0	true	true
retained	7	5	2	fannkuch-redux	typerb-go	pass	0			0.4858061429999907	0.353974	158666752	2808836	7ac9dab0983867dfe811dc07d2504bef29d6ac5d5e0b2a97f3f7a94d27983a67	0	true	true
retained	8	6	1	fannkuch-redux	typerb-go	pass	0			0.47386059300015404	0.340328	160530432	2808692	26ef7f4fe6514c0df5684106a5ff2589a05c143580c42674427dce166067e63a	0	true	true
retained	8	6	2	fannkuch-redux	typerb-native	pass	0			0.1955124439998599	0.055581	78360576	19272	09ae23032b994f320ce60cb0c5a0b48df263679509d6b4535575a5d016d0f949	0	true	true
retained	9	7	1	fannkuch-redux	typerb-native	pass	0			0.19470972099998107	0.055194	78106624	19272	09ae23032b994f320ce60cb0c5a0b48df263679509d6b4535575a5d016d0f949	0	true	true
retained	9	7	2	fannkuch-redux	typerb-go	pass	0			0.4453361309999764	0.341126	160112640	2808692	6712bb27db763250921bbc8834e00d63c1782f46fbf2ef0bcba77cfc279fdd86	0	true	true
retained	10	8	1	fannkuch-redux	typerb-go	pass	0			0.4448299069999848	0.348978	159150080	2808692	74352e71d7b297db8d09b0bd4cb4b50166a375f730310d1ccf956db842863116	0	true	true
retained	10	8	2	fannkuch-redux	typerb-native	pass	0			0.19803762800006552	0.054807	78086144	19272	09ae23032b994f320ce60cb0c5a0b48df263679509d6b4535575a5d016d0f949	0	true	true
retained	11	9	1	fannkuch-redux	typerb-native	pass	0			0.1929006150000987	0.054673	78118912	19272	09ae23032b994f320ce60cb0c5a0b48df263679509d6b4535575a5d016d0f949	0	true	true
retained	11	9	2	fannkuch-redux	typerb-go	pass	0			0.47589573200002633	0.343713	160092160	2808692	bddb92cff39e784c72a382935bc94be95d322a85acd1ee572b0f3eb9370ea043	0	true	true
retained	12	10	1	fannkuch-redux	typerb-go	pass	0			0.4669440109998959	0.343156	159182848	2808692	c0cac7a39dff3d7201d7a999f8014532ada443ad9f011f5008e8578810151b1a	0	true	true
retained	12	10	2	fannkuch-redux	typerb-native	pass	0			0.1903555490000599	0.054347	78127104	19272	09ae23032b994f320ce60cb0c5a0b48df263679509d6b4535575a5d016d0f949	0	true	true
retained	13	11	1	fannkuch-redux	typerb-native	pass	0			0.19221138400007476	0.054601	78102528	19272	09ae23032b994f320ce60cb0c5a0b48df263679509d6b4535575a5d016d0f949	0	true	true
retained	13	11	2	fannkuch-redux	typerb-go	pass	0			0.4468660600000476	0.34051	159154176	2808836	73b69b68efce8cb90c388ec921347376f9fdc803b2279206738d686cc686445a	0	true	true
