phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes	artifact_bytes	artifact_sha256	program_status	program_stderr_empty	program_stdout_exact
warmup	1	0	1	n-body	typerb-native	pass	0			0.20037392200001136	0.071426	78319616	24032	35ca470f09f396deb0641c7242a70050c923bd0a13b406682204db46c5763fa7	0	true	true
warmup	1	0	2	n-body	typerb-go	pass	0			4.123545457999995	10.840933	398938112	2815314	f1b4daecee0486901314802b165f16d7defd1a2aa1efb3741ffbcadd27034198	0	true	true
warmup	2	0	1	n-body	typerb-go	pass	0			0.9118179569999825	0.414946	163827712	2815362	c2b2bacbc4f6be876f11cb2fe16cb26624779803b260143459f06da877855592	0	true	true
warmup	2	0	2	n-body	typerb-native	pass	0			0.1825382639999873	0.070369	78495744	24032	35ca470f09f396deb0641c7242a70050c923bd0a13b406682204db46c5763fa7	0	true	true
retained	3	1	1	n-body	typerb-native	pass	0			0.18918934899997453	0.070661	78307328	24032	35ca470f09f396deb0641c7242a70050c923bd0a13b406682204db46c5763fa7	0	true	true
retained	3	1	2	n-body	typerb-go	pass	0			0.455214605000009	0.402358	160882688	2815314	ba45be1de786d7bfb6c0d98ddcbd70ecc9bb56f9c84a8b7552193e2c7ee4c19f	0	true	true
retained	4	2	1	n-body	typerb-go	pass	0			0.44918065799998885	0.399289	161812480	2815314	a18123815c2e0260f70c20b54064232dc0dd5e2744121660195a81f4e3232e86	0	true	true
retained	4	2	2	n-body	typerb-native	pass	0			0.18929219800000396	0.070607	78438400	24032	35ca470f09f396deb0641c7242a70050c923bd0a13b406682204db46c5763fa7	0	true	true
retained	5	3	1	n-body	typerb-native	pass	0			0.1867100940000057	0.071011	78491648	24032	35ca470f09f396deb0641c7242a70050c923bd0a13b406682204db46c5763fa7	0	true	true
retained	5	3	2	n-body	typerb-go	pass	0			0.4539197100000081	0.393898	163205120	2815362	3740a43c2a7103cf1794ef7a750252a22540b4171027133e5596913227818b6b	0	true	true
retained	6	4	1	n-body	typerb-go	pass	0			0.4193337300000053	0.39136	161947648	2815362	d9ae93f4f4226f169c7604f8b55343032dac01404c56926c2f3566f67a66e49a	0	true	true
retained	6	4	2	n-body	typerb-native	pass	0			0.18063757499999156	0.070854	78512128	24032	35ca470f09f396deb0641c7242a70050c923bd0a13b406682204db46c5763fa7	0	true	true
retained	7	5	1	n-body	typerb-native	pass	0			0.19491601900000433	0.070957	78266368	24032	35ca470f09f396deb0641c7242a70050c923bd0a13b406682204db46c5763fa7	0	true	true
retained	7	5	2	n-body	typerb-go	pass	0			0.4636282900000026	0.388971	163151872	2815362	dfc48824da7219b5259cb6124c07a228100b6c16d68161667d875987ebc7a62f	0	true	true
retained	8	6	1	n-body	typerb-go	pass	0			0.4477930939999908	0.389324	162091008	2815362	2664af2655183ac15c976cff47fa5fb8a8c9cbf8e08a2abf7e0b889e4cfd59f5	0	true	true
retained	8	6	2	n-body	typerb-native	pass	0			0.1974616699999956	0.071155	78499840	24032	35ca470f09f396deb0641c7242a70050c923bd0a13b406682204db46c5763fa7	0	true	true
retained	9	7	1	n-body	typerb-native	pass	0			0.19904684499999803	0.071972	78499840	24032	35ca470f09f396deb0641c7242a70050c923bd0a13b406682204db46c5763fa7	0	true	true
retained	9	7	2	n-body	typerb-go	pass	0			0.46595779500000845	0.40687	162365440	2815362	5333a9bab69f17cf34609975eaa1b47f462844ef69876d4cdbb2476811bac165	0	true	true
retained	10	8	1	n-body	typerb-go	pass	0			0.4472614299999975	0.395828	163037184	2815362	ebf04c73979efea2806ad101c3257612b94c092ccd3ae9630c393f18fc68c2fa	0	true	true
retained	10	8	2	n-body	typerb-native	pass	0			0.18872558999999	0.070906	78254080	24032	35ca470f09f396deb0641c7242a70050c923bd0a13b406682204db46c5763fa7	0	true	true
retained	11	9	1	n-body	typerb-native	pass	0			0.19035959799998636	0.069983	78491648	24032	35ca470f09f396deb0641c7242a70050c923bd0a13b406682204db46c5763fa7	0	true	true
retained	11	9	2	n-body	typerb-go	pass	0			0.443994876000005	0.411601	162095104	2815314	04002871f19ebf3b56686b0d713dc8e28246bcd2d88fa1e7e467b27d1beb74db	0	true	true
retained	12	10	1	n-body	typerb-go	pass	0			0.43488838000001806	0.404582	161460224	2815362	88e16f1a0037960aee854f106460473fe230683111a16e99c3ec94341732e1fe	0	true	true
retained	12	10	2	n-body	typerb-native	pass	0			0.19219854899998268	0.071196	78286848	24032	35ca470f09f396deb0641c7242a70050c923bd0a13b406682204db46c5763fa7	0	true	true
retained	13	11	1	n-body	typerb-native	pass	0			0.19321369400000776	0.07177	78495744	24032	35ca470f09f396deb0641c7242a70050c923bd0a13b406682204db46c5763fa7	0	true	true
retained	13	11	2	n-body	typerb-go	pass	0			0.4657506640000122	0.412186	162582528	2815362	216f836d0b62004c2d72d5dc76de2085b312c3aefa0ef479e67248f3d45fb49d	0	true	true
