phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes	artifact_bytes	artifact_sha256	program_status	program_stderr_empty	program_stdout_exact
warmup	1	0	1	spectral-norm	typerb-native	pass	0			0.16407473000003847	0.055556	78270464	19888	b6176567ebb482884ffede52cce7878ba67f4484f7f1060de34eeda1f572cf22	0	true	true
warmup	1	0	2	spectral-norm	typerb-go	pass	0			3.857855203999975	10.091633	385511424	2809866	83a25d5e19ed3ec4e6f7f349c78f9a10d58e4e03011bf7121678a9b1cf9c7ee4	0	true	true
warmup	2	0	1	spectral-norm	typerb-go	pass	0			0.4747454920000109	0.360526	158519296	2809898	27bf258cd93c8ff55897cad27a6c00b2875a259d2a3d3574ecc9936904b2cc99	0	true	true
warmup	2	0	2	spectral-norm	typerb-native	pass	0			0.15913515200008987	0.055688	78323712	19888	b6176567ebb482884ffede52cce7878ba67f4484f7f1060de34eeda1f572cf22	0	true	true
retained	3	1	1	spectral-norm	typerb-native	pass	0			0.1597392960001116	0.055241	78077952	19888	b6176567ebb482884ffede52cce7878ba67f4484f7f1060de34eeda1f572cf22	0	true	true
retained	3	1	2	spectral-norm	typerb-go	pass	0			0.45007416400005695	0.361344	159678464	2809898	e12c8fa72380a89f41eae0a39108abb1ced4afc1b08f6ded7a2af9a5fc6e3876	0	true	true
retained	4	2	1	spectral-norm	typerb-go	pass	0			0.42016947600006915	0.358105	161140736	2809898	1c09db7954159c8f8585574a06d16d52b37d937bcb06604e89bdab248b60fb48	0	true	true
retained	4	2	2	spectral-norm	typerb-native	pass	0			0.1615811300000587	0.056008	78266368	19888	b6176567ebb482884ffede52cce7878ba67f4484f7f1060de34eeda1f572cf22	0	true	true
retained	5	3	1	spectral-norm	typerb-native	pass	0			0.15891872800000328	0.055659	78524416	19888	b6176567ebb482884ffede52cce7878ba67f4484f7f1060de34eeda1f572cf22	0	true	true
retained	5	3	2	spectral-norm	typerb-go	pass	0			0.39762285200004044	0.352506	160215040	2809898	a80c935c8a38fcc010364b24ebace4139a332de6fe15fb1db4fbd19a5281a600	0	true	true
retained	6	4	1	spectral-norm	typerb-go	pass	0			0.39837349800006905	0.354312	161034240	2809866	bf8d57340236932171d77223db12e3f38080d977d65f49c5d790e5019189df0c	0	true	true
retained	6	4	2	spectral-norm	typerb-native	pass	0			0.1572254239999893	0.0555	78581760	19888	b6176567ebb482884ffede52cce7878ba67f4484f7f1060de34eeda1f572cf22	0	true	true
retained	7	5	1	spectral-norm	typerb-native	pass	0			0.16251493200002187	0.056068	78336000	19888	b6176567ebb482884ffede52cce7878ba67f4484f7f1060de34eeda1f572cf22	0	true	true
retained	7	5	2	spectral-norm	typerb-go	pass	0			0.4124422439999762	0.353016	160919552	2809898	51733e525dd4f4a49c32f251bd6ac7bc8085fc93e5704e6260783777b8c61caa	0	true	true
retained	8	6	1	spectral-norm	typerb-go	pass	0			0.3927102160000686	0.349992	159977472	2809898	4297fc965750a9b38bf1a1456b6e1e830ebd45bcc604b6de78436e063b0f107f	0	true	true
retained	8	6	2	spectral-norm	typerb-native	pass	0			0.15891130299996803	0.056746	78336000	19888	b6176567ebb482884ffede52cce7878ba67f4484f7f1060de34eeda1f572cf22	0	true	true
retained	9	7	1	spectral-norm	typerb-native	pass	0			0.2940035670000043	0.056755	78266368	19888	b6176567ebb482884ffede52cce7878ba67f4484f7f1060de34eeda1f572cf22	0	true	true
retained	9	7	2	spectral-norm	typerb-go	pass	0			0.44131131199992524	0.346138	160395264	2809898	6d9c90fe0b85270d4985ad7a3f51e1501d73e757dc024321e309aa237bf762db	0	true	true
retained	10	8	1	spectral-norm	typerb-go	pass	0			0.5013131729999714	0.359337	160980992	2809898	6d8b8ba543178fff5b1b597c8d970271d6cbc9291b1a661c9ff7cb57bb57a8c0	0	true	true
retained	10	8	2	spectral-norm	typerb-native	pass	0			0.16054656400001477	0.055291	78348288	19888	b6176567ebb482884ffede52cce7878ba67f4484f7f1060de34eeda1f572cf22	0	true	true
retained	11	9	1	spectral-norm	typerb-native	pass	0			0.16025738300004377	0.055834	78258176	19888	b6176567ebb482884ffede52cce7878ba67f4484f7f1060de34eeda1f572cf22	0	true	true
retained	11	9	2	spectral-norm	typerb-go	pass	0			0.4300002410000161	0.356927	160571392	2809898	52867d9eee7affb969beca8402221ca1fabb41063ecceb5e57ddac2f6a93f18c	0	true	true
retained	12	10	1	spectral-norm	typerb-go	pass	0			0.39699418800000785	0.345541	160792576	2809898	33aec6a8e97e2dfce4bfd2a44693400d7b45bc8f32d8ae14c05d2957a4c52288	0	true	true
retained	12	10	2	spectral-norm	typerb-native	pass	0			0.1601515349999545	0.055886	78352384	19888	b6176567ebb482884ffede52cce7878ba67f4484f7f1060de34eeda1f572cf22	0	true	true
retained	13	11	1	spectral-norm	typerb-native	pass	0			0.17537930100002086	0.055978	78266368	19888	b6176567ebb482884ffede52cce7878ba67f4484f7f1060de34eeda1f572cf22	0	true	true
retained	13	11	2	spectral-norm	typerb-go	pass	0			0.45279210800003966	0.348993	159641600	2809898	72c92affde8c466a2679473eafea83646da7edfd532e0484c590350e91b80548	0	true	true
