phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	four-core	typerb-native	pass	0			110.45421690900002	110.456575	524288
warmup	1	0	2	fannkuch-redux	four-core	typerb-go	pass	0			45.860283611999876	45.948918	3989504
warmup	1	0	3	fannkuch-redux	four-core	c	pass	0			27.406284228000004	27.405079	524288
warmup	1	0	4	fannkuch-redux	four-core	cpp	pass	0			24.947726932000478	24.946736	679936
warmup	1	0	5	fannkuch-redux	four-core	go	pass	0			24.65986603700003	24.705628	3760128
warmup	1	0	6	fannkuch-redux	four-core	rust	pass	0			6.3130910240006415	24.823627	1986560
warmup	1	0	7	fannkuch-redux	four-core	java	pass	0			23.96518695299983	23.963356	52170752
warmup	2	0	1	fannkuch-redux	four-core	typerb-go	pass	0			46.272593150999455	46.356778	4018176
warmup	2	0	2	fannkuch-redux	four-core	c	pass	0			27.47232056899975	27.469209	524288
warmup	2	0	3	fannkuch-redux	four-core	cpp	pass	0			24.988461086000825	24.987557	671744
warmup	2	0	4	fannkuch-redux	four-core	go	pass	0			24.692783057999804	24.734153	3837952
warmup	2	0	5	fannkuch-redux	four-core	rust	pass	0			6.310592386999815	24.825423	1986560
warmup	2	0	6	fannkuch-redux	four-core	java	pass	0			23.977237582999805	23.970096	51523584
warmup	2	0	7	fannkuch-redux	four-core	typerb-native	pass	0			110.5153743840001	110.512909	524288
retained	3	1	1	fannkuch-redux	four-core	c	pass	0			27.407554771999457	27.406633	524288
retained	3	1	2	fannkuch-redux	four-core	cpp	pass	0			24.959670939000716	24.958099	671744
retained	3	1	3	fannkuch-redux	four-core	go	pass	0			24.666760819000046	24.708398	3682304
retained	3	1	4	fannkuch-redux	four-core	rust	pass	0			6.307353537999916	24.825629	1994752
retained	3	1	5	fannkuch-redux	four-core	java	pass	0			23.96453605900024	23.964422	51855360
retained	3	1	6	fannkuch-redux	four-core	typerb-native	pass	0			110.49423927899988	110.494156	524288
retained	3	1	7	fannkuch-redux	four-core	typerb-go	pass	0			45.95974874100011	46.056974	3809280
retained	4	2	1	fannkuch-redux	four-core	cpp	pass	0			24.979175526999825	24.978306	671744
retained	4	2	2	fannkuch-redux	four-core	go	pass	0			24.65736786299931	24.69947	3842048
retained	4	2	3	fannkuch-redux	four-core	rust	pass	0			6.3136300649994155	24.822381	1986560
retained	4	2	4	fannkuch-redux	four-core	java	pass	0			23.89534737899976	23.899691	52133888
retained	4	2	5	fannkuch-redux	four-core	typerb-native	pass	0			110.45898299100008	110.458909	524288
retained	4	2	6	fannkuch-redux	four-core	typerb-go	pass	0			45.88011400800042	45.967108	4153344
retained	4	2	7	fannkuch-redux	four-core	c	pass	0			27.48301980100041	27.482302	524288
retained	5	3	1	fannkuch-redux	four-core	go	pass	0			24.600821535999785	24.643105	3698688
retained	5	3	2	fannkuch-redux	four-core	rust	pass	0			6.304128370999933	24.824665	1974272
retained	5	3	3	fannkuch-redux	four-core	java	pass	0			23.98191257899998	23.977151	51986432
retained	5	3	4	fannkuch-redux	four-core	typerb-native	pass	0			110.43853306500023	110.439115	524288
retained	5	3	5	fannkuch-redux	four-core	typerb-go	pass	0			45.86806207800055	45.948419	4100096
retained	5	3	6	fannkuch-redux	four-core	c	pass	0			27.405122062999908	27.404327	524288
retained	5	3	7	fannkuch-redux	four-core	cpp	pass	0			24.979877179999676	24.978289	688128
retained	6	4	1	fannkuch-redux	four-core	rust	pass	0			6.306344361999436	24.82415	1990656
retained	6	4	2	fannkuch-redux	four-core	java	pass	0			23.97530236500006	23.974026	52043776
retained	6	4	3	fannkuch-redux	four-core	typerb-native	pass	0			110.5045772780004	110.504179	524288
retained	6	4	4	fannkuch-redux	four-core	typerb-go	pass	0			45.81944123300036	45.937429	4075520
retained	6	4	5	fannkuch-redux	four-core	c	pass	0			27.28487871500056	27.283548	524288
retained	6	4	6	fannkuch-redux	four-core	cpp	pass	0			24.97891856499973	24.977519	671744
retained	6	4	7	fannkuch-redux	four-core	go	pass	0			24.67015918800007	24.740183	3907584
retained	7	5	1	fannkuch-redux	four-core	java	pass	0			23.97957107900038	23.983958	51974144
retained	7	5	2	fannkuch-redux	four-core	typerb-native	pass	0			110.43744060800054	110.438092	524288
retained	7	5	3	fannkuch-redux	four-core	typerb-go	pass	0			46.12298972799999	46.224883	3780608
retained	7	5	4	fannkuch-redux	four-core	c	pass	0			27.472660365999218	27.470616	524288
retained	7	5	5	fannkuch-redux	four-core	cpp	pass	0			24.964225291999355	24.963324	684032
retained	7	5	6	fannkuch-redux	four-core	go	pass	0			24.8035141069995	24.856513	3665920
retained	7	5	7	fannkuch-redux	four-core	rust	pass	0			6.330071966000105	24.819317	1990656
retained	8	6	1	fannkuch-redux	four-core	typerb-native	pass	0			110.51427287200022	110.516689	524288
retained	8	6	2	fannkuch-redux	four-core	typerb-go	pass	0			45.76686960799998	45.871207	3887104
retained	8	6	3	fannkuch-redux	four-core	c	pass	0			27.890726376999737	27.889307	524288
retained	8	6	4	fannkuch-redux	four-core	cpp	pass	0			24.978766593999353	24.977373	684032
retained	8	6	5	fannkuch-redux	four-core	go	pass	0			24.663558459999877	24.711413	3895296
retained	8	6	6	fannkuch-redux	four-core	rust	pass	0			6.3087421989994255	24.823373	1990656
retained	8	6	7	fannkuch-redux	four-core	java	pass	0			23.989418721999755	23.990883	51957760
retained	9	7	1	fannkuch-redux	four-core	typerb-go	pass	0			45.87120301599953	45.959186	4050944
retained	9	7	2	fannkuch-redux	four-core	c	pass	0			27.40236800399998	27.401127	524288
retained	9	7	3	fannkuch-redux	four-core	cpp	pass	0			24.976425640000343	24.975194	688128
retained	9	7	4	fannkuch-redux	four-core	go	pass	0			24.684835748000296	24.728813	3715072
retained	9	7	5	fannkuch-redux	four-core	rust	pass	0			6.302401120000468	24.819495	1994752
retained	9	7	6	fannkuch-redux	four-core	java	pass	0			23.97502087400062	23.976953	51707904
retained	9	7	7	fannkuch-redux	four-core	typerb-native	pass	0			110.44476037799996	110.444608	524288
retained	10	8	1	fannkuch-redux	four-core	c	pass	0			27.400864528000056	27.399449	524288
retained	10	8	2	fannkuch-redux	four-core	cpp	pass	0			24.98241863400017	24.980246	688128
retained	10	8	3	fannkuch-redux	four-core	go	pass	0			24.6713017510001	24.717916	3850240
retained	10	8	4	fannkuch-redux	four-core	rust	pass	0			6.3175147840001955	24.825777	1990656
retained	10	8	5	fannkuch-redux	four-core	java	pass	0			23.97181995399933	23.974277	51720192
retained	10	8	6	fannkuch-redux	four-core	typerb-native	pass	0			110.42641057000037	110.426629	524288
retained	10	8	7	fannkuch-redux	four-core	typerb-go	pass	0			46.304658487999404	46.407558	4091904
retained	11	9	1	fannkuch-redux	four-core	cpp	pass	0			24.97990985999968	24.977542	688128
retained	11	9	2	fannkuch-redux	four-core	go	pass	0			24.646537798999816	24.690636	3743744
retained	11	9	3	fannkuch-redux	four-core	rust	pass	0			6.310376569000255	24.813102	2002944
retained	11	9	4	fannkuch-redux	four-core	java	pass	0			23.973971600999903	23.974271	51818496
retained	11	9	5	fannkuch-redux	four-core	typerb-native	pass	0			110.44628543399995	110.448593	524288
retained	11	9	6	fannkuch-redux	four-core	typerb-go	pass	0			45.86679662300048	45.950345	4104192
retained	11	9	7	fannkuch-redux	four-core	c	pass	0			27.47777582100025	27.476513	524288
retained	12	10	1	fannkuch-redux	four-core	go	pass	0			24.866981500000293	24.920921	3682304
retained	12	10	2	fannkuch-redux	four-core	rust	pass	0			6.309180713000387	24.826748	1986560
retained	12	10	3	fannkuch-redux	four-core	java	pass	0			24.59878041799948	24.600297	51544064
retained	12	10	4	fannkuch-redux	four-core	typerb-native	pass	0			110.47921213799964	110.477908	524288
retained	12	10	5	fannkuch-redux	four-core	typerb-go	pass	0			46.17787487900023	46.276179	3964928
retained	12	10	6	fannkuch-redux	four-core	c	pass	0			27.31422872999974	27.311709	524288
retained	12	10	7	fannkuch-redux	four-core	cpp	pass	0			24.945263866999994	24.944165	679936
retained	13	11	1	fannkuch-redux	four-core	rust	pass	0			6.312527047999538	24.813968	1990656
retained	13	11	2	fannkuch-redux	four-core	java	pass	0			23.969553758000075	23.970921	52195328
retained	13	11	3	fannkuch-redux	four-core	typerb-native	pass	0			110.43371751799987	110.428865	524288
retained	13	11	4	fannkuch-redux	four-core	typerb-go	pass	0			46.10769006499959	46.218462	3960832
retained	13	11	5	fannkuch-redux	four-core	c	pass	0			27.895002768000268	27.892735	524288
retained	13	11	6	fannkuch-redux	four-core	cpp	pass	0			25.001308521999817	24.993506	688128
retained	13	11	7	fannkuch-redux	four-core	go	pass	0			24.910243252999862	24.96128	3686400
