phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	four-core	typerb-native	pass	0			18.571539878000067	18.570235	524288
warmup	1	0	2	n-body	four-core	typerb-go	pass	0			6.171992530000011	6.18707	3768320
warmup	1	0	3	n-body	four-core	c	pass	0			2.976504701000067	2.973861	708608
warmup	1	0	4	n-body	four-core	cpp	pass	0			2.7308031090000213	2.728502	692224
warmup	1	0	5	n-body	four-core	go	pass	0			3.5984215769999537	3.603974	3686400
warmup	1	0	6	n-body	four-core	rust	pass	0			3.5017471749999913	3.499264	1212416
warmup	1	0	7	n-body	four-core	java	pass	0			5.010614787999998	4.97441	51310592
warmup	2	0	1	n-body	four-core	typerb-go	pass	0			6.178238932999989	6.184086	3817472
warmup	2	0	2	n-body	four-core	c	pass	0			2.9753977960000384	2.973495	700416
warmup	2	0	3	n-body	four-core	cpp	pass	0			2.738155474999985	2.73617	696320
warmup	2	0	4	n-body	four-core	go	pass	0			3.602614537000022	3.604531	3645440
warmup	2	0	5	n-body	four-core	rust	pass	0			3.524271037999938	3.521784	1216512
warmup	2	0	6	n-body	four-core	java	pass	0			4.96442277899996	4.934404	51081216
warmup	2	0	7	n-body	four-core	typerb-native	pass	0			18.582455453999955	18.581166	524288
retained	3	1	1	n-body	four-core	c	pass	0			2.9758787660000507	2.973795	692224
retained	3	1	2	n-body	four-core	cpp	pass	0			2.7418746270000156	2.739573	692224
retained	3	1	3	n-body	four-core	go	pass	0			3.598619740999993	3.604157	3682304
retained	3	1	4	n-body	four-core	rust	pass	0			3.5276888129999406	3.525395	1212416
retained	3	1	5	n-body	four-core	java	pass	0			4.956385963999992	4.930797	51052544
retained	3	1	6	n-body	four-core	typerb-native	pass	0			18.593872147999946	18.592415	524288
retained	3	1	7	n-body	four-core	typerb-go	pass	0			6.1745411750000585	6.185206	3772416
retained	4	2	1	n-body	four-core	cpp	pass	0			2.7326343740000993	2.730412	880640
retained	4	2	2	n-body	four-core	go	pass	0			3.596992777999958	3.604097	3706880
retained	4	2	3	n-body	four-core	rust	pass	0			3.5231890930001555	3.520904	974848
