phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	four-core	typerb-native	pass	0			8.379222011000138	8.376986	1220608
warmup	1	0	2	spectral-norm	four-core	typerb-go	pass	0			5.636136916999931	5.647207	7995392
warmup	1	0	3	spectral-norm	four-core	c	pass	0			1.7881408100001863	1.785691	696320
warmup	1	0	4	spectral-norm	four-core	cpp	pass	0			1.839385780999919	1.83685	946176
warmup	1	0	5	spectral-norm	four-core	go	pass	0			3.219033121999928	3.222544	4722688
warmup	1	0	6	spectral-norm	four-core	rust	pass	0			0.4602105430001302	1.801454	2228224
warmup	1	0	7	spectral-norm	four-core	java	pass	0			1.918528789999982	1.882684	52281344
warmup	2	0	1	spectral-norm	four-core	typerb-go	pass	0			5.635431936000032	5.645421	8433664
warmup	2	0	2	spectral-norm	four-core	c	pass	0			1.7881980519998706	1.785712	946176
warmup	2	0	3	spectral-norm	four-core	cpp	pass	0			1.839241050000055	1.836933	950272
warmup	2	0	4	spectral-norm	four-core	go	pass	0			3.2189810480001597	3.222325	4730880
warmup	2	0	5	spectral-norm	four-core	rust	pass	0			0.4593153920000077	1.801791	2232320
warmup	2	0	6	spectral-norm	four-core	java	pass	0			1.913151758999902	1.881145	50999296
warmup	2	0	7	spectral-norm	four-core	typerb-native	pass	0			8.322942084000033	8.32028	1212416
retained	3	1	1	spectral-norm	four-core	c	pass	0			1.787783877000038	1.785486	696320
retained	3	1	2	spectral-norm	four-core	cpp	pass	0			1.838773399000047	1.836588	1212416
retained	3	1	3	spectral-norm	four-core	go	pass	0			3.218872663999946	3.221264	4526080
retained	3	1	4	spectral-norm	four-core	rust	pass	0			0.45767636899995523	1.801118	2228224
retained	3	1	5	spectral-norm	four-core	java	pass	0			1.9202818830001434	1.884307	52310016
retained	3	1	6	spectral-norm	four-core	typerb-native	pass	0			8.322565559000168	8.320277	1216512
retained	3	1	7	spectral-norm	four-core	typerb-go	pass	0			5.633869159999904	5.641706	7974912
retained	4	2	1	spectral-norm	four-core	cpp	pass	0			1.8387654709999879	1.836752	954368
retained	4	2	2	spectral-norm	four-core	go	pass	0			3.2179429069999514	3.219734	4722688
retained	4	2	3	spectral-norm	four-core	rust	pass	0			0.4635876570000619	1.802466	2228224
retained	4	2	4	spectral-norm	four-core	java	pass	0			1.9065408929998284	1.878088	52051968
retained	4	2	5	spectral-norm	four-core	typerb-native	pass	0			8.327574145000199	8.323845	1216512
retained	4	2	6	spectral-norm	four-core	typerb-go	pass	0			5.634625687999915	5.641005	7733248
retained	4	2	7	spectral-norm	four-core	c	pass	0			1.7875369549999505	1.785262	958464
retained	5	3	1	spectral-norm	four-core	go	pass	0			3.2182927499998186	3.221463	4722688
retained	5	3	2	spectral-norm	four-core	rust	pass	0			0.46050889000002826	1.801449	2215936
retained	5	3	3	spectral-norm	four-core	java	pass	0			1.9144187350000266	1.87909	52289536
retained	5	3	4	spectral-norm	four-core	typerb-native	pass	0			8.323704985999939	8.321238	1212416
retained	5	3	5	spectral-norm	four-core	typerb-go	pass	0			5.6347681280001325	5.643945	7987200
retained	5	3	6	spectral-norm	four-core	c	pass	0			1.7877557550000347	1.785313	946176
retained	5	3	7	spectral-norm	four-core	cpp	pass	0			1.8387166170000455	1.836734	950272
retained	6	4	1	spectral-norm	four-core	rust	pass	0			0.46628724099991814	1.802562	2224128
retained	6	4	2	spectral-norm	four-core	java	pass	0			1.934963653000068	1.899948	52039680
retained	6	4	3	spectral-norm	four-core	typerb-native	pass	0			8.325542632999941	8.323377	1212416
retained	6	4	4	spectral-norm	four-core	typerb-go	pass	0			5.634352924000041	5.642561	8241152
retained	6	4	5	spectral-norm	four-core	c	pass	0			1.7876620829999865	1.785419	950272
retained	6	4	6	spectral-norm	four-core	cpp	pass	0			1.838943651999898	1.836513	929792
retained	6	4	7	spectral-norm	four-core	go	pass	0			3.2180676930001937	3.222421	4780032
retained	7	5	1	spectral-norm	four-core	java	pass	0			1.9111844439999004	1.877164	52293632
retained	7	5	2	spectral-norm	four-core	typerb-native	pass	0			8.324570070999926	8.321535	1216512
retained	7	5	3	spectral-norm	four-core	typerb-go	pass	0			5.636845196000195	5.646074	7835648
retained	7	5	4	spectral-norm	four-core	c	pass	0			1.787863600000037	1.785535	700416
retained	7	5	5	spectral-norm	four-core	cpp	pass	0			1.8390165379998962	1.836595	946176
retained	7	5	6	spectral-norm	four-core	go	pass	0			3.218721129999949	3.220725	4472832
retained	7	5	7	spectral-norm	four-core	rust	pass	0			0.45933992100003707	1.800947	2220032
retained	8	6	1	spectral-norm	four-core	typerb-native	pass	0			8.324143307999975	8.321903	1204224
retained	8	6	2	spectral-norm	four-core	typerb-go	pass	0			5.634267291000015	5.641002	7716864
retained	8	6	3	spectral-norm	four-core	c	pass	0			1.7881603979999454	1.785477	942080
retained	8	6	4	spectral-norm	four-core	cpp	pass	0			1.838743789000091	1.836536	937984
retained	8	6	5	spectral-norm	four-core	go	pass	0			3.21780279099994	3.220959	4816896
retained	8	6	6	spectral-norm	four-core	rust	pass	0			0.4609905390000222	1.80161	2215936
retained	8	6	7	spectral-norm	four-core	java	pass	0			1.9143342630000006	1.878229	51761152
retained	9	7	1	spectral-norm	four-core	typerb-go	pass	0			5.634965254999997	5.644163	8056832
retained	9	7	2	spectral-norm	four-core	c	pass	0			1.7879205219999221	1.785418	696320
retained	9	7	3	spectral-norm	four-core	cpp	pass	0			1.8386591610001233	1.83652	933888
retained	9	7	4	spectral-norm	four-core	go	pass	0			3.2185050340001453	3.221928	4538368
retained	9	7	5	spectral-norm	four-core	rust	pass	0			0.45945386700009294	1.800955	2228224
retained	9	7	6	spectral-norm	four-core	java	pass	0			1.9089876319999348	1.876559	52293632
retained	9	7	7	spectral-norm	four-core	typerb-native	pass	0			8.324575262000053	8.321916	1216512
retained	10	8	1	spectral-norm	four-core	c	pass	0			1.787710921000098	1.785304	950272
retained	10	8	2	spectral-norm	four-core	cpp	pass	0			1.839381961000072	1.837044	946176
retained	10	8	3	spectral-norm	four-core	go	pass	0			3.2184705660001782	3.220029	4358144
retained	10	8	4	spectral-norm	four-core	rust	pass	0			0.46212654900000416	1.801842	2228224
retained	10	8	5	spectral-norm	four-core	java	pass	0			1.9205844600001	1.885899	52318208
retained	10	8	6	spectral-norm	four-core	typerb-native	pass	0			8.324378411999987	8.321478	1200128
retained	10	8	7	spectral-norm	four-core	typerb-go	pass	0			5.635907769000141	5.647379	7815168
retained	11	9	1	spectral-norm	four-core	cpp	pass	0			1.8392525770000248	1.837085	950272
retained	11	9	2	spectral-norm	four-core	go	pass	0			3.218169560999968	3.222328	4722688
retained	11	9	3	spectral-norm	four-core	rust	pass	0			0.4654288380002072	1.802229	2220032
retained	11	9	4	spectral-norm	four-core	java	pass	0			1.916484146999892	1.886124	52486144
retained	11	9	5	spectral-norm	four-core	typerb-native	pass	0			8.324868039999956	8.322506	1212416
retained	11	9	6	spectral-norm	four-core	typerb-go	pass	0			5.636041228000067	5.644	8241152
retained	11	9	7	spectral-norm	four-core	c	pass	0			1.787606979999964	1.785315	950272
retained	12	10	1	spectral-norm	four-core	go	pass	0			3.2185157569999774	3.222296	4722688
retained	12	10	2	spectral-norm	four-core	rust	pass	0			0.46045179799989455	1.801547	2228224
retained	12	10	3	spectral-norm	four-core	java	pass	0			1.9130676339998445	1.880473	52047872
retained	12	10	4	spectral-norm	four-core	typerb-native	pass	0			8.323708614999987	8.321411	1208320
retained	12	10	5	spectral-norm	four-core	typerb-go	pass	0			5.634619738999845	5.64134	7725056
retained	12	10	6	spectral-norm	four-core	c	pass	0			1.788081780000084	1.785524	942080
retained	12	10	7	spectral-norm	four-core	cpp	pass	0			1.8394103370001176	1.837044	933888
retained	13	11	1	spectral-norm	four-core	rust	pass	0			0.463760597999908	1.801606	2228224
retained	13	11	2	spectral-norm	four-core	java	pass	0			1.9139590630002203	1.88224	51806208
retained	13	11	3	spectral-norm	four-core	typerb-native	pass	0			8.321668841000019	8.319356	1216512
retained	13	11	4	spectral-norm	four-core	typerb-go	pass	0			5.638031413999897	5.647776	8249344
retained	13	11	5	spectral-norm	four-core	c	pass	0			1.788111095999966	1.785503	954368
retained	13	11	6	spectral-norm	four-core	cpp	pass	0			1.8395458740001231	1.837178	950272
retained	13	11	7	spectral-norm	four-core	go	pass	0			3.2193880239999544	3.222344	4468736
