phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	one-core	typerb-native	pass	0			8.322604540999919	8.31961	1359872
warmup	1	0	2	spectral-norm	one-core	typerb-go	pass	0			5.637372397000036	5.630133	6909952
warmup	1	0	3	spectral-norm	one-core	c	pass	0			1.787849597999866	1.785454	692224
warmup	1	0	4	spectral-norm	one-core	cpp	pass	0			1.8394375089999357	1.836735	950272
warmup	1	0	5	spectral-norm	one-core	go	pass	0			3.2193709440000475	3.212766	3670016
warmup	1	0	6	spectral-norm	one-core	rust	pass	0			1.798643168999888	1.795087	1437696
warmup	1	0	7	spectral-norm	one-core	java	pass	0			1.9572652669999115	1.890575	49799168
warmup	2	0	1	spectral-norm	one-core	typerb-go	pass	0			5.638435824999988	5.630908	7278592
warmup	2	0	2	spectral-norm	one-core	c	pass	0			1.7885860290000437	1.785529	692224
warmup	2	0	3	spectral-norm	one-core	cpp	pass	0			1.8401566530001219	1.836961	929792
warmup	2	0	4	spectral-norm	one-core	go	pass	0			3.222274580999965	3.213257	3907584
warmup	2	0	5	spectral-norm	one-core	rust	pass	0			1.7997765479999543	1.796067	1458176
warmup	2	0	6	spectral-norm	one-core	java	pass	0			1.946595048999825	1.885638	49803264
warmup	2	0	7	spectral-norm	one-core	typerb-native	pass	0			8.3248759600001	8.320969	1220608
retained	3	1	1	spectral-norm	one-core	c	pass	0			1.7881969169998229	1.785474	696320
retained	3	1	2	spectral-norm	one-core	cpp	pass	0			1.8391726779998407	1.83653	958464
retained	3	1	3	spectral-norm	one-core	go	pass	0			3.2192534380001234	3.212852	3919872
retained	3	1	4	spectral-norm	one-core	rust	pass	0			1.797803371999862	1.794579	1433600
retained	3	1	5	spectral-norm	one-core	java	pass	0			1.9472582589999092	1.886319	49799168
retained	3	1	6	spectral-norm	one-core	typerb-native	pass	0			8.324039608000021	8.321104	1216512
retained	3	1	7	spectral-norm	one-core	typerb-go	pass	0			5.636291511000081	5.629882	7188480
retained	4	2	1	spectral-norm	one-core	cpp	pass	0			1.840901163999888	1.836971	954368
retained	4	2	2	spectral-norm	one-core	go	pass	0			3.219144002000121	3.212822	3944448
retained	4	2	3	spectral-norm	one-core	rust	pass	0			1.7973489239998344	1.794137	1449984
retained	4	2	4	spectral-norm	one-core	java	pass	0			1.9416027509998912	1.884617	49819648
retained	4	2	5	spectral-norm	one-core	typerb-native	pass	0			8.323012916999915	8.320297	1376256
retained	4	2	6	spectral-norm	one-core	typerb-go	pass	0			5.637846368999817	5.63037	7266304
retained	4	2	7	spectral-norm	one-core	c	pass	0			1.7880799160000151	1.785443	700416
retained	5	3	1	spectral-norm	one-core	go	pass	0			3.218884032999995	3.21257	3936256
retained	5	3	2	spectral-norm	one-core	rust	pass	0			1.7973765220001496	1.794347	1437696
retained	5	3	3	spectral-norm	one-core	java	pass	0			1.9382834589998765	1.882242	49799168
retained	5	3	4	spectral-norm	one-core	typerb-native	pass	0			8.32229528400012	8.319547	1224704
retained	5	3	5	spectral-norm	one-core	typerb-go	pass	0			5.637179728000092	5.630635	7204864
retained	5	3	6	spectral-norm	one-core	c	pass	0			1.7879594999999426	1.785551	696320
retained	5	3	7	spectral-norm	one-core	cpp	pass	0			1.839288821000082	1.836623	933888
