phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	four-core	typerb-native	pass	0			100.73258466400057	100.723828	524288
warmup	1	0	2	fannkuch-redux	four-core	typerb-go	pass	0			45.923545773000114	46.026507	3645440
warmup	1	0	3	fannkuch-redux	four-core	c	pass	0			27.28689305199987	27.282846	524288
warmup	1	0	4	fannkuch-redux	four-core	cpp	pass	0			24.95798013000058	24.953084	786432
warmup	1	0	5	fannkuch-redux	four-core	go	pass	0			24.705389822999678	24.756894	3690496
warmup	1	0	6	fannkuch-redux	four-core	rust	pass	0			6.352906977999737	24.825089	1994752
warmup	1	0	7	fannkuch-redux	four-core	java	pass	0			23.990364094000142	23.990636	51957760
warmup	2	0	1	fannkuch-redux	four-core	typerb-go	pass	0			46.11708494499999	46.231263	4038656
warmup	2	0	2	fannkuch-redux	four-core	c	pass	0			27.294974022999668	27.290322	524288
warmup	2	0	3	fannkuch-redux	four-core	cpp	pass	0			24.98682594500042	24.983326	671744
warmup	2	0	4	fannkuch-redux	four-core	go	pass	0			24.629112456999792	24.682293	3534848
warmup	2	0	5	fannkuch-redux	four-core	rust	pass	0			6.329065388999879	24.826059	1982464
warmup	2	0	6	fannkuch-redux	four-core	java	pass	0			23.982250781999937	23.985687	51658752
warmup	2	0	7	fannkuch-redux	four-core	typerb-native	pass	0			100.73793030099932	100.730358	524288
retained	3	1	1	fannkuch-redux	four-core	c	pass	0			27.2877126960002	27.283216	524288
retained	3	1	2	fannkuch-redux	four-core	cpp	pass	0			24.980100002000654	24.976152	954368
retained	3	1	3	fannkuch-redux	four-core	go	pass	0			24.62713077799981	24.683234	3596288
retained	3	1	4	fannkuch-redux	four-core	rust	pass	0			6.308882301000267	24.82405	1990656
retained	3	1	5	fannkuch-redux	four-core	java	pass	0			23.972368243000346	23.977414	51896320
retained	3	1	6	fannkuch-redux	four-core	typerb-native	pass	0			100.73734053299995	100.728433	524288
retained	3	1	7	fannkuch-redux	four-core	typerb-go	pass	0			46.36273977499968	46.469719	4075520
retained	4	2	1	fannkuch-redux	four-core	cpp	pass	0			24.964829958000337	24.960903	684032
retained	4	2	2	fannkuch-redux	four-core	go	pass	0			24.61135512599958	24.664937	3690496
retained	4	2	3	fannkuch-redux	four-core	rust	pass	0			6.312014110000746	24.826735	1990656
retained	4	2	4	fannkuch-redux	four-core	java	pass	0			23.983544073999838	23.982743	51765248
retained	4	2	5	fannkuch-redux	four-core	typerb-native	pass	0			100.73338054499982	100.724438	524288
retained	4	2	6	fannkuch-redux	four-core	typerb-go	pass	0			45.81711848799932	45.941851	3878912
retained	4	2	7	fannkuch-redux	four-core	c	pass	0			27.293559812999774	27.290145	524288
retained	5	3	1	fannkuch-redux	four-core	go	pass	0			24.62639307599966	24.68205	3686400
retained	5	3	2	fannkuch-redux	four-core	rust	pass	0			6.307731593999961	24.825047	1986560
retained	5	3	3	fannkuch-redux	four-core	java	pass	0			23.975776428000245	23.97348	51888128
retained	5	3	4	fannkuch-redux	four-core	typerb-native	pass	0			100.74947617999987	100.740199	524288
retained	5	3	5	fannkuch-redux	four-core	typerb-go	pass	0			46.28548272399985	46.404177	4001792
retained	5	3	6	fannkuch-redux	four-core	c	pass	0			27.48354048500005	27.47986	524288
retained	5	3	7	fannkuch-redux	four-core	cpp	pass	0			24.956535569999687	24.95235	675840
retained	6	4	1	fannkuch-redux	four-core	rust	pass	0			6.309379172000263	24.826924	1982464
retained	6	4	2	fannkuch-redux	four-core	java	pass	0			24.00152095700014	23.992681	51572736
retained	6	4	3	fannkuch-redux	four-core	typerb-native	pass	0			100.74880750300053	100.741116	524288
retained	6	4	4	fannkuch-redux	four-core	typerb-go	pass	0			46.437297395000314	46.556827	4108288
retained	6	4	5	fannkuch-redux	four-core	c	pass	0			27.404231605999485	27.399342	524288
retained	6	4	6	fannkuch-redux	four-core	cpp	pass	0			24.952861935999863	24.949155	684032
retained	6	4	7	fannkuch-redux	four-core	go	pass	0			24.659001019999778	24.71389	3350528
retained	7	5	1	fannkuch-redux	four-core	java	pass	0			23.917241897000167	23.91442	51990528
retained	7	5	2	fannkuch-redux	four-core	typerb-native	pass	0			100.72979687299994	100.720875	524288
retained	7	5	3	fannkuch-redux	four-core	typerb-go	pass	0			46.06046701000014	46.180641	4141056
retained	7	5	4	fannkuch-redux	four-core	c	pass	0			27.484695126000588	27.481359	524288
retained	7	5	5	fannkuch-redux	four-core	cpp	pass	0			24.99029790700024	24.986755	782336
retained	7	5	6	fannkuch-redux	four-core	go	pass	0			24.637893979000182	24.702478	3399680
retained	7	5	7	fannkuch-redux	four-core	rust	pass	0			6.301527431000068	24.821338	1994752
retained	8	6	1	fannkuch-redux	four-core	typerb-native	pass	0			100.74673839999923	100.737368	524288
retained	8	6	2	fannkuch-redux	four-core	typerb-go	pass	0			45.66700986200067	45.782619	3870720
retained	8	6	3	fannkuch-redux	four-core	c	pass	0			27.478392275999795	27.474422	524288
retained	8	6	4	fannkuch-redux	four-core	cpp	pass	0			24.98395901799995	24.980141	671744
retained	8	6	5	fannkuch-redux	four-core	go	pass	0			24.930899795000187	24.981702	3534848
retained	8	6	6	fannkuch-redux	four-core	rust	pass	0			6.331986877999952	24.820065	1986560
retained	8	6	7	fannkuch-redux	four-core	java	pass	0			24.028850970999883	24.030359	51974144
retained	9	7	1	fannkuch-redux	four-core	typerb-go	pass	0			45.964860572999896	46.087653	4046848
retained	9	7	2	fannkuch-redux	four-core	c	pass	0			27.482954957000402	27.478339	524288
retained	9	7	3	fannkuch-redux	four-core	cpp	pass	0			24.95888274399931	24.955286	688128
retained	9	7	4	fannkuch-redux	four-core	go	pass	0			24.639734733000296	24.688041	3481600
retained	9	7	5	fannkuch-redux	four-core	rust	pass	0			6.3079801320000115	24.827367	1724416
retained	9	7	6	fannkuch-redux	four-core	java	pass	0			24.613349682000262	24.613424	51793920
retained	9	7	7	fannkuch-redux	four-core	typerb-native	pass	0			100.75778522499968	100.7475	524288
retained	10	8	1	fannkuch-redux	four-core	c	pass	0			27.31761224100046	27.314004	659456
retained	10	8	2	fannkuch-redux	four-core	cpp	pass	0			24.949308591999397	24.945682	679936
retained	10	8	3	fannkuch-redux	four-core	go	pass	0			24.605372732999967	24.667046	3715072
retained	10	8	4	fannkuch-redux	four-core	rust	pass	0			6.319665502000134	24.823253	1994752
retained	10	8	5	fannkuch-redux	four-core	java	pass	0			23.9820894759996	23.983908	51707904
retained	10	8	6	fannkuch-redux	four-core	typerb-native	pass	0			100.75086934599949	100.740984	524288
retained	10	8	7	fannkuch-redux	four-core	typerb-go	pass	0			45.80474709400005	45.913419	4001792
retained	11	9	1	fannkuch-redux	four-core	cpp	pass	0			24.98043141999915	24.976806	688128
retained	11	9	2	fannkuch-redux	four-core	go	pass	0			24.596849434999967	24.656747	3420160
retained	11	9	3	fannkuch-redux	four-core	rust	pass	0			6.315545628000109	24.822001	1990656
retained	11	9	4	fannkuch-redux	four-core	java	pass	0			23.978095718000077	23.974581	51712000
retained	11	9	5	fannkuch-redux	four-core	typerb-native	pass	0			100.732425315	100.72281	524288
retained	11	9	6	fannkuch-redux	four-core	typerb-go	pass	0			45.86111552799957	45.964613	3805184
retained	11	9	7	fannkuch-redux	four-core	c	pass	0			27.2908589030003	27.287201	524288
retained	12	10	1	fannkuch-redux	four-core	go	pass	0			24.953404238000076	25.010868	3489792
retained	12	10	2	fannkuch-redux	four-core	rust	pass	0			6.303794596000444	24.821499	1986560
retained	12	10	3	fannkuch-redux	four-core	java	pass	0			23.981343552999533	23.983093	51712000
retained	12	10	4	fannkuch-redux	four-core	typerb-native	pass	0			100.73770712399983	100.728772	524288
retained	12	10	5	fannkuch-redux	four-core	typerb-go	pass	0			46.26010847900034	46.367551	3858432
retained	12	10	6	fannkuch-redux	four-core	c	pass	0			27.291144859999804	27.287314	524288
retained	12	10	7	fannkuch-redux	four-core	cpp	pass	0			24.953359009999986	24.949144	675840
retained	13	11	1	fannkuch-redux	four-core	rust	pass	0			6.324591726000108	24.820927	1986560
retained	13	11	2	fannkuch-redux	four-core	java	pass	0			23.991516274999412	23.984922	52178944
retained	13	11	3	fannkuch-redux	four-core	typerb-native	pass	0			100.73906790300043	100.729128	524288
retained	13	11	4	fannkuch-redux	four-core	typerb-go	pass	0			46.1686551089997	46.284629	4153344
retained	13	11	5	fannkuch-redux	four-core	c	pass	0			27.485221994000312	27.476829	786432
retained	13	11	6	fannkuch-redux	four-core	cpp	pass	0			24.95172848399943	24.948339	688128
retained	13	11	7	fannkuch-redux	four-core	go	pass	0			24.607932361000167	24.674905	3694592
