phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	one-core	typerb-native	pass	0			100.74688859399998	100.735874	524288
warmup	1	0	2	fannkuch-redux	one-core	typerb-go	pass	0			46.13747162100003	46.130569	3215360
warmup	1	0	3	fannkuch-redux	one-core	c	pass	0			27.904535876000068	27.89967	659456
warmup	1	0	4	fannkuch-redux	one-core	cpp	pass	0			24.982863689000055	24.978689	679936
warmup	1	0	5	fannkuch-redux	one-core	go	pass	0			24.662896401000012	24.645449	2654208
warmup	1	0	6	fannkuch-redux	one-core	rust	pass	0			24.87005160600006	24.865921	1212416
warmup	1	0	7	fannkuch-redux	one-core	java	pass	0			24.61933597899997	24.571638	49790976
warmup	2	0	1	fannkuch-redux	one-core	typerb-go	pass	0			46.04811483499998	46.040374	3010560
warmup	2	0	2	fannkuch-redux	one-core	c	pass	0			27.490082076000135	27.48499	524288
warmup	2	0	3	fannkuch-redux	one-core	cpp	pass	0			24.95588533099999	24.952023	692224
warmup	2	0	4	fannkuch-redux	one-core	go	pass	0			24.61745810100001	24.607014	2654208
warmup	2	0	5	fannkuch-redux	one-core	rust	pass	0			24.838453340000115	24.834521	1204224
warmup	2	0	6	fannkuch-redux	one-core	java	pass	0			24.485372909000034	24.444652	49545216
warmup	2	0	7	fannkuch-redux	one-core	typerb-native	pass	0			100.75912237900002	100.748999	524288
retained	3	1	1	fannkuch-redux	one-core	c	pass	0			27.290017054999907	27.285021	524288
retained	3	1	2	fannkuch-redux	one-core	cpp	pass	0			24.962398033	24.958665	692224
retained	3	1	3	fannkuch-redux	one-core	go	pass	0			24.606058694000012	24.596181	2637824
retained	3	1	4	fannkuch-redux	one-core	rust	pass	0			24.88197323700001	24.877014	1204224
retained	3	1	5	fannkuch-redux	one-core	java	pass	0			24.4592335320001	24.41753	49795072
retained	3	1	6	fannkuch-redux	one-core	typerb-native	pass	0			100.78899751999984	100.778819	524288
retained	3	1	7	fannkuch-redux	one-core	typerb-go	pass	0			46.27538056399999	46.259972	3022848
retained	4	2	1	fannkuch-redux	one-core	cpp	pass	0			24.980834965999975	24.977025	700416
retained	4	2	2	fannkuch-redux	one-core	go	pass	0			24.60587265199979	24.59329	2646016
retained	4	2	3	fannkuch-redux	one-core	rust	pass	0			24.860666215000037	24.856645	1183744
retained	4	2	4	fannkuch-redux	one-core	java	pass	0			24.610732572000188	24.570159	48033792
retained	4	2	5	fannkuch-redux	one-core	typerb-native	pass	0			100.71934419800004	100.708585	524288
retained	4	2	6	fannkuch-redux	one-core	typerb-go	pass	0			45.94750577900004	45.939495	3031040
