phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	four-core	typerb-native	pass	0			13.243497919999982	13.241238	524288
warmup	1	0	2	n-body	four-core	typerb-go	pass	0			6.174648391000119	6.182765	3813376
warmup	1	0	3	n-body	four-core	c	pass	0			2.9751709180000034	2.973195	524288
warmup	1	0	4	n-body	four-core	cpp	pass	0			2.7311176009998235	2.728373	700416
warmup	1	0	5	n-body	four-core	go	pass	0			3.597148038000114	3.602683	3424256
warmup	1	0	6	n-body	four-core	rust	pass	0			3.5280647439999484	3.525487	942080
warmup	1	0	7	n-body	four-core	java	pass	0			4.980499423000083	4.951781	51347456
warmup	2	0	1	n-body	four-core	typerb-go	pass	0			6.169399742999985	6.185206	3801088
warmup	2	0	2	n-body	four-core	c	pass	0			2.9760848969999643	2.973799	524288
warmup	2	0	3	n-body	four-core	cpp	pass	0			2.7326466879999316	2.730794	688128
warmup	2	0	4	n-body	four-core	go	pass	0			3.5976208579998	3.602627	3440640
warmup	2	0	5	n-body	four-core	rust	pass	0			3.524507660999916	3.522196	921600
warmup	2	0	6	n-body	four-core	java	pass	0			4.973222010999962	4.951618	50987008
warmup	2	0	7	n-body	four-core	typerb-native	pass	0			13.254492554999842	13.252256	524288
retained	3	1	1	n-body	four-core	c	pass	0			2.9755811380000523	2.973531	524288
retained	3	1	2	n-body	four-core	cpp	pass	0			2.744886976999851	2.742847	1040384
retained	3	1	3	n-body	four-core	go	pass	0			3.598105180000175	3.60566	3710976
retained	3	1	4	n-body	four-core	rust	pass	0			3.539142064000089	3.536235	950272
retained	3	1	5	n-body	four-core	java	pass	0			4.966475123999999	4.948791	51236864
retained	3	1	6	n-body	four-core	typerb-native	pass	0			13.261754953000036	13.259277	524288
retained	3	1	7	n-body	four-core	typerb-go	pass	0			6.178779373999987	6.183052	3788800
retained	4	2	1	n-body	four-core	cpp	pass	0			2.739655397999968	2.737821	688128
retained	4	2	2	n-body	four-core	go	pass	0			3.5993643629999497	3.602641	3411968
retained	4	2	3	n-body	four-core	rust	pass	0			3.5280195979999007	3.52576	929792
retained	4	2	4	n-body	four-core	java	pass	0			4.961989310000035	4.940164	51302400
retained	4	2	5	n-body	four-core	typerb-native	pass	0			13.257453721000047	13.254664	524288
retained	4	2	6	n-body	four-core	typerb-go	pass	0			6.169463647000157	6.18146	3796992
retained	4	2	7	n-body	four-core	c	pass	0			2.9748629919999985	2.973073	524288
retained	5	3	1	n-body	four-core	go	pass	0			3.597686726999882	3.603871	3432448
retained	5	3	2	n-body	four-core	rust	pass	0			3.526557263000086	3.52421	962560
retained	5	3	3	n-body	four-core	java	pass	0			4.968369839999923	4.943077	51306496
retained	5	3	4	n-body	four-core	typerb-native	pass	0			13.26181199000007	13.258882	712704
retained	5	3	5	n-body	four-core	typerb-go	pass	0			6.170788825000045	6.182949	3796992
retained	5	3	6	n-body	four-core	c	pass	0			2.9751205039999604	2.973228	524288
retained	5	3	7	n-body	four-core	cpp	pass	0			2.732592810999904	2.730667	684032
retained	6	4	1	n-body	four-core	rust	pass	0			3.5703860990001886	3.568308	942080
retained	6	4	2	n-body	four-core	java	pass	0			5.001969934999806	4.977237	51142656
retained	6	4	3	n-body	four-core	typerb-native	pass	0			13.246526609000057	13.243781	524288
retained	6	4	4	n-body	four-core	typerb-go	pass	0			6.173405360999823	6.185799	4059136
retained	6	4	5	n-body	four-core	c	pass	0			2.9760561919999873	2.97425	524288
retained	6	4	6	n-body	four-core	cpp	pass	0			2.7334586599999966	2.731301	708608
retained	6	4	7	n-body	four-core	go	pass	0			3.59859395400008	3.601083	3420160
retained	7	5	1	n-body	four-core	java	pass	0			5.008228013000007	4.98658	51036160
retained	7	5	2	n-body	four-core	typerb-native	pass	0			13.256379929000104	13.253923	524288
retained	7	5	3	n-body	four-core	typerb-go	pass	0			6.176200693000055	6.183956	4055040
retained	7	5	4	n-body	four-core	c	pass	0			2.975363575000074	2.973315	524288
retained	7	5	5	n-body	four-core	cpp	pass	0			2.732307555000034	2.73036	684032
retained	7	5	6	n-body	four-core	go	pass	0			3.596348576000082	3.603199	3674112
retained	7	5	7	n-body	four-core	rust	pass	0			3.5136006570000973	3.51115	946176
retained	8	6	1	n-body	four-core	typerb-native	pass	0			13.25610305400005	13.253364	524288
retained	8	6	2	n-body	four-core	typerb-go	pass	0			6.1786401269998805	6.186604	3801088
retained	8	6	3	n-body	four-core	c	pass	0			2.9753950669999085	2.973396	524288
retained	8	6	4	n-body	four-core	cpp	pass	0			2.73226825200004	2.730039	684032
retained	8	6	5	n-body	four-core	go	pass	0			3.595798140999932	3.602239	3710976
retained	8	6	6	n-body	four-core	rust	pass	0			3.51989266999999	3.516933	942080
retained	8	6	7	n-body	four-core	java	pass	0			4.957117008000068	4.93787	51625984
retained	9	7	1	n-body	four-core	typerb-go	pass	0			6.175679919000004	6.182919	3911680
retained	9	7	2	n-body	four-core	c	pass	0			2.9758283470000606	2.973711	524288
retained	9	7	3	n-body	four-core	cpp	pass	0			2.731913107999844	2.729939	712704
retained	9	7	4	n-body	four-core	go	pass	0			3.5979232409999895	3.604985	3383296
retained	9	7	5	n-body	four-core	rust	pass	0			3.524717699999883	3.522444	1306624
retained	9	7	6	n-body	four-core	java	pass	0			4.979192444000091	4.960973	51298304
retained	9	7	7	n-body	four-core	typerb-native	pass	0			13.259596236000107	13.257088	524288
retained	10	8	1	n-body	four-core	c	pass	0			2.975778110999954	2.973378	524288
retained	10	8	2	n-body	four-core	cpp	pass	0			2.7356503020000673	2.733605	684032
retained	10	8	3	n-body	four-core	go	pass	0			3.5975679370001217	3.604358	3649536
retained	10	8	4	n-body	four-core	rust	pass	0			3.5326199420001103	3.530277	946176
retained	10	8	5	n-body	four-core	java	pass	0			4.970779287999903	4.952805	51503104
retained	10	8	6	n-body	four-core	typerb-native	pass	0			13.258407465000118	13.255764	524288
retained	10	8	7	n-body	four-core	typerb-go	pass	0			6.1720703760001925	6.18941	3809280
retained	11	9	1	n-body	four-core	cpp	pass	0			2.7392562059999364	2.737195	970752
retained	11	9	2	n-body	four-core	go	pass	0			3.600117000999944	3.600848	3698688
retained	11	9	3	n-body	four-core	rust	pass	0			3.531874536000032	3.529185	958464
retained	11	9	4	n-body	four-core	java	pass	0			4.962461142999928	4.940432	51425280
retained	11	9	5	n-body	four-core	typerb-native	pass	0			13.243394804000218	13.240834	524288
retained	11	9	6	n-body	four-core	typerb-go	pass	0			6.173958698999968	6.183514	3805184
retained	11	9	7	n-body	four-core	c	pass	0			2.9749779320000016	2.973066	524288
retained	12	10	1	n-body	four-core	go	pass	0			3.598130787999935	3.601488	3555328
retained	12	10	2	n-body	four-core	rust	pass	0			3.5344946049999635	3.531657	950272
retained	12	10	3	n-body	four-core	java	pass	0			4.990325405000021	4.969285	51027968
retained	12	10	4	n-body	four-core	typerb-native	pass	0			13.242245024000113	13.239588	524288
retained	12	10	5	n-body	four-core	typerb-go	pass	0			6.185320895000132	6.181743	3796992
