phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	one-core	typerb-native	pass	0			13.24380983200001	13.240933	442368
warmup	1	0	2	n-body	one-core	typerb-go	pass	0			6.1749205480000455	6.164779	3022848
warmup	1	0	3	n-body	one-core	c	pass	0			2.9760962939999445	2.973643	524288
warmup	1	0	4	n-body	one-core	cpp	pass	0			2.731617354999912	2.729168	684032
warmup	1	0	5	n-body	one-core	go	pass	0			3.6020450229999597	3.592969	2650112
warmup	1	0	6	n-body	one-core	rust	pass	0			3.5298154359999216	3.526691	966656
warmup	1	0	7	n-body	one-core	java	pass	0			5.085838131999935	5.003371	46825472
warmup	2	0	1	n-body	one-core	typerb-go	pass	0			6.177662508000026	6.166036	3059712
warmup	2	0	2	n-body	one-core	c	pass	0			2.976907826999991	2.973922	663552
warmup	2	0	3	n-body	one-core	cpp	pass	0			2.7372100189999173	2.734993	696320
warmup	2	0	4	n-body	one-core	go	pass	0			3.5987855349999336	3.59366	2625536
warmup	2	0	5	n-body	one-core	rust	pass	0			3.5400436769999715	3.536908	946176
warmup	2	0	6	n-body	one-core	java	pass	0			5.159106835999978	5.105445	49000448
warmup	2	0	7	n-body	one-core	typerb-native	pass	0			13.256200346000014	13.253515	524288
retained	3	1	1	n-body	one-core	c	pass	0			2.975909930000057	2.973577	651264
retained	3	1	2	n-body	one-core	cpp	pass	0			2.7330193000000236	2.730839	651264
retained	3	1	3	n-body	one-core	go	pass	0			3.6012880060000043	3.592775	2629632
retained	3	1	4	n-body	one-core	rust	pass	0			3.5277211589999524	3.52393	937984
retained	3	1	5	n-body	one-core	java	pass	0			5.037530580999942	4.998464	49000448
retained	3	1	6	n-body	one-core	typerb-native	pass	0			13.241419707000091	13.237442	524288
retained	3	1	7	n-body	one-core	typerb-go	pass	0			6.184753577000038	6.167338	3031040
retained	4	2	1	n-body	one-core	cpp	pass	0			2.731522622000057	2.728875	745472
retained	4	2	2	n-body	one-core	go	pass	0			3.600099247000003	3.593533	2830336
retained	4	2	3	n-body	one-core	rust	pass	0			3.529170868000051	3.525235	946176
retained	4	2	4	n-body	one-core	java	pass	0			5.003055314999983	4.963051	48934912
retained	4	2	5	n-body	one-core	typerb-native	pass	0			13.244503947999988	13.241683	524288
retained	4	2	6	n-body	one-core	typerb-go	pass	0			6.174460935999946	6.164124	3215360
retained	4	2	7	n-body	one-core	c	pass	0			2.976318284000058	2.97312	671744
retained	5	3	1	n-body	one-core	go	pass	0			3.6006693000000496	3.592443	2633728
retained	5	3	2	n-body	one-core	rust	pass	0			3.5012027269999635	3.497612	958464
retained	5	3	3	n-body	one-core	java	pass	0			5.032895119999921	4.994698	48992256
retained	5	3	4	n-body	one-core	typerb-native	pass	0			13.246156110000015	13.243357	524288
retained	5	3	5	n-body	one-core	typerb-go	pass	0			6.172368539000104	6.167189	3280896
