phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	four-core	typerb-native	pass	0			8.323661653000045	8.320825	1220608
warmup	1	0	2	spectral-norm	four-core	typerb-go	pass	0			5.6368036080000365	5.649596	8069120
warmup	1	0	3	spectral-norm	four-core	c	pass	0			1.7874349689999462	1.785437	692224
warmup	1	0	4	spectral-norm	four-core	cpp	pass	0			1.840006700999993	1.837259	671744
warmup	1	0	5	spectral-norm	four-core	go	pass	0			3.21897275799995	3.224951	4460544
warmup	1	0	6	spectral-norm	four-core	rust	pass	0			0.45929137299992817	1.801401	1970176
warmup	1	0	7	spectral-norm	four-core	java	pass	0			1.9218557599999713	1.883284	51994624
warmup	2	0	1	spectral-norm	four-core	typerb-go	pass	0			5.63773122200007	5.64758	8507392
warmup	2	0	2	spectral-norm	four-core	c	pass	0			1.787537929999985	1.785512	700416
warmup	2	0	3	spectral-norm	four-core	cpp	pass	0			1.839649556999916	1.83714	671744
warmup	2	0	4	spectral-norm	four-core	go	pass	0			3.4376710970000204	3.225253	4464640
warmup	2	0	5	spectral-norm	four-core	rust	pass	0			0.45923297199999524	1.801382	1966080
warmup	2	0	6	spectral-norm	four-core	java	pass	0			1.9173625920000177	1.88453	52035584
warmup	2	0	7	spectral-norm	four-core	typerb-native	pass	0			8.324157468000067	8.321238	1216512
retained	3	1	1	spectral-norm	four-core	c	pass	0			1.7879895669999541	1.7856	696320
retained	3	1	2	spectral-norm	four-core	cpp	pass	0			1.839101244999938	1.836882	688128
retained	3	1	3	spectral-norm	four-core	go	pass	0			3.218794336999963	3.221756	4464640
retained	3	1	4	spectral-norm	four-core	rust	pass	0			0.46518464199994014	1.80185	2170880
retained	3	1	5	spectral-norm	four-core	java	pass	0			1.913469475999932	1.881953	51789824
retained	3	1	6	spectral-norm	four-core	typerb-native	pass	0			8.323952719999966	8.321543	1224704
retained	3	1	7	spectral-norm	four-core	typerb-go	pass	0			5.637481243000025	5.648991	8007680
retained	4	2	1	spectral-norm	four-core	cpp	pass	0			1.8390003840000873	1.836998	671744
retained	4	2	2	spectral-norm	four-core	go	pass	0			3.2183584169999904	3.22292	4259840
retained	4	2	3	spectral-norm	four-core	rust	pass	0			0.45939199300005384	1.801412	1970176
retained	4	2	4	spectral-norm	four-core	java	pass	0			1.917890906000025	1.880881	51798016
retained	4	2	5	spectral-norm	four-core	typerb-native	pass	0			8.322506441000087	8.319995	1224704
retained	4	2	6	spectral-norm	four-core	typerb-go	pass	0			5.63653384600002	5.648878	8273920
retained	4	2	7	spectral-norm	four-core	c	pass	0			1.7877764190000107	1.785654	696320
retained	5	3	1	spectral-norm	four-core	go	pass	0			3.2183055620000687	3.221903	4456448
retained	5	3	2	spectral-norm	four-core	rust	pass	0			0.45905719899997166	1.80051	1970176
retained	5	3	3	spectral-norm	four-core	java	pass	0			1.919287618999988	1.884689	52281344
retained	5	3	4	spectral-norm	four-core	typerb-native	pass	0			8.324110633000146	8.321711	1212416
retained	5	3	5	spectral-norm	four-core	typerb-go	pass	0			5.637226827000177	5.649453	7991296
retained	5	3	6	spectral-norm	four-core	c	pass	0			1.7878861369999868	1.785746	696320
retained	5	3	7	spectral-norm	four-core	cpp	pass	0			1.839043323999931	1.836899	688128
retained	6	4	1	spectral-norm	four-core	rust	pass	0			0.46234730700007276	1.80116	2174976
retained	6	4	2	spectral-norm	four-core	java	pass	0			1.9179540830000406	1.881776	51253248
retained	6	4	3	spectral-norm	four-core	typerb-native	pass	0			8.322059995000018	8.319609	1216512
retained	6	4	4	spectral-norm	four-core	typerb-go	pass	0			5.637038090999795	5.648566	7966720
retained	6	4	5	spectral-norm	four-core	c	pass	0			1.7878404460000183	1.785411	692224
retained	6	4	6	spectral-norm	four-core	cpp	pass	0			1.8392606359998354	1.837079	684032
retained	6	4	7	spectral-norm	four-core	go	pass	0			3.2185631029999513	3.223085	4583424
retained	7	5	1	spectral-norm	four-core	java	pass	0			1.9189480369998364	1.881261	52047872
retained	7	5	2	spectral-norm	four-core	typerb-native	pass	0			8.32405622400006	8.321272	1204224
retained	7	5	3	spectral-norm	four-core	typerb-go	pass	0			5.638360554999963	5.649456	7979008
retained	7	5	4	spectral-norm	four-core	c	pass	0			1.7875138829999742	1.785757	692224
retained	7	5	5	spectral-norm	four-core	cpp	pass	0			1.838844773000119	1.836876	684032
retained	7	5	6	spectral-norm	four-core	go	pass	0			3.2174576869999783	3.222183	4460544
retained	7	5	7	spectral-norm	four-core	rust	pass	0			0.46545057000003	1.801983	2162688
retained	8	6	1	spectral-norm	four-core	typerb-native	pass	0			8.321675472000152	8.318888	1216512
retained	8	6	2	spectral-norm	four-core	typerb-go	pass	0			5.636461972000006	5.647935	7733248
retained	8	6	3	spectral-norm	four-core	c	pass	0			1.787750330000108	1.785698	696320
retained	8	6	4	spectral-norm	four-core	cpp	pass	0			1.8389995539998836	1.836824	684032
retained	8	6	5	spectral-norm	four-core	go	pass	0			3.2179587699999956	3.223348	4456448
retained	8	6	6	spectral-norm	four-core	rust	pass	0			0.4678941960000884	1.802856	1966080
retained	8	6	7	spectral-norm	four-core	java	pass	0			1.9163143390001096	1.88214	52023296
retained	9	7	1	spectral-norm	four-core	typerb-go	pass	0			5.635246223999957	5.647271	7868416
retained	9	7	2	spectral-norm	four-core	c	pass	0			1.7877227740000308	1.785475	696320
retained	9	7	3	spectral-norm	four-core	cpp	pass	0			1.8411140119999345	1.837834	688128
retained	9	7	4	spectral-norm	four-core	go	pass	0			3.217874653000081	3.22274	4452352
retained	9	7	5	spectral-norm	four-core	rust	pass	0			0.4598408470001232	1.802075	1966080
retained	9	7	6	spectral-norm	four-core	java	pass	0			1.914164330999938	1.881956	52076544
retained	9	7	7	spectral-norm	four-core	typerb-native	pass	0			8.321706224000081	8.319312	1208320
retained	10	8	1	spectral-norm	four-core	c	pass	0			1.7878373880000709	1.78582	684032
