phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	one-core	typerb-native	pass	0			8.32408435900004	8.321665	1212416
warmup	1	0	2	spectral-norm	one-core	typerb-go	pass	0			5.637674895000032	5.62987	6938624
warmup	1	0	3	spectral-norm	one-core	c	pass	0			1.7883653460000914	1.785652	692224
warmup	1	0	4	spectral-norm	one-core	cpp	pass	0			1.8404802600000494	1.837276	692224
warmup	1	0	5	spectral-norm	one-core	go	pass	0			3.2200852989999476	3.213216	3698688
warmup	1	0	6	spectral-norm	one-core	rust	pass	0			1.7993565499999704	1.795897	1449984
warmup	1	0	7	spectral-norm	one-core	java	pass	0			1.9599743170000465	1.892211	49803264
warmup	2	0	1	spectral-norm	one-core	typerb-go	pass	0			5.637474298000029	5.63122	6914048
warmup	2	0	2	spectral-norm	one-core	c	pass	0			1.7881686550000495	1.785741	696320
warmup	2	0	3	spectral-norm	one-core	cpp	pass	0			1.8397155110000085	1.837035	692224
warmup	2	0	4	spectral-norm	one-core	go	pass	0			3.2198259460000145	3.213261	3682304
warmup	2	0	5	spectral-norm	one-core	rust	pass	0			1.7988135690000036	1.795602	1437696
warmup	2	0	6	spectral-norm	one-core	java	pass	0			1.9522048359999644	1.890161	49790976
warmup	2	0	7	spectral-norm	one-core	typerb-native	pass	0			8.323125896000079	8.320028	1216512
retained	3	1	1	spectral-norm	one-core	c	pass	0			1.788885528000037	1.786153	724992
retained	3	1	2	spectral-norm	one-core	cpp	pass	0			1.8397861470000407	1.836996	671744
retained	3	1	3	spectral-norm	one-core	go	pass	0			3.219522968999968	3.213582	3690496
retained	3	1	4	spectral-norm	one-core	rust	pass	0			1.7988522230000399	1.7955	1425408
retained	3	1	5	spectral-norm	one-core	java	pass	0			1.9540020539999432	1.892694	49803264
retained	3	1	6	spectral-norm	one-core	typerb-native	pass	0			8.32536194499994	8.321945	1220608
retained	3	1	7	spectral-norm	one-core	typerb-go	pass	0			5.637033908000035	5.630586	6930432
retained	4	2	1	spectral-norm	one-core	cpp	pass	0			1.8397693419999541	1.837012	671744
retained	4	2	2	spectral-norm	one-core	go	pass	0			3.2205963090000296	3.213108	3694592
retained	4	2	3	spectral-norm	one-core	rust	pass	0			1.8003928110000516	1.796615	1441792
retained	4	2	4	spectral-norm	one-core	java	pass	0			1.9624894069999073	1.894741	49348608
retained	4	2	5	spectral-norm	one-core	typerb-native	pass	0			8.325385765000078	8.321878	1228800
retained	4	2	6	spectral-norm	one-core	typerb-go	pass	0			5.6376781180000535	5.630664	6938624
retained	4	2	7	spectral-norm	one-core	c	pass	0			1.7891132229999585	1.786135	700416
retained	5	3	1	spectral-norm	one-core	go	pass	0			3.2208042290000094	3.213834	3768320
retained	5	3	2	spectral-norm	one-core	rust	pass	0			1.8013080480000099	1.797245	1445888
retained	5	3	3	spectral-norm	one-core	java	pass	0			1.9805482680000068	1.904951	49795072
retained	5	3	4	spectral-norm	one-core	typerb-native	pass	0			8.327784285999996	8.323302	1196032
