phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	baseline	pass	0			0.6524835849999704	0.650943	430080
warmup	1	0	2	fannkuch-redux	candidate	pass	0			0.6042197689999966	0.602549	405504
warmup	2	0	1	fannkuch-redux	candidate	pass	0			0.6039260349999722	0.602241	524288
warmup	2	0	2	fannkuch-redux	baseline	pass	0			0.6535859890000211	0.651336	524288
retained	3	1	1	fannkuch-redux	baseline	pass	0			0.6532519880000223	0.651091	524288
retained	3	1	2	fannkuch-redux	candidate	pass	0			0.60444159299999	0.602279	524288
retained	4	2	1	fannkuch-redux	candidate	pass	0			0.6065343099999723	0.603221	524288
retained	4	2	2	fannkuch-redux	baseline	pass	0			0.6532495960000233	0.651576	524288
retained	5	3	1	fannkuch-redux	baseline	pass	0			0.6536657940000055	0.651311	524288
retained	5	3	2	fannkuch-redux	candidate	pass	0			0.604385155999978	0.602393	524288
retained	6	4	1	fannkuch-redux	candidate	pass	0			0.6044247940000105	0.602323	524288
retained	6	4	2	fannkuch-redux	baseline	pass	0			0.6533634609999694	0.651399	524288
retained	7	5	1	fannkuch-redux	baseline	pass	0			0.6540792019999913	0.651541	524288
retained	7	5	2	fannkuch-redux	candidate	pass	0			0.604220386999998	0.602353	524288
retained	8	6	1	fannkuch-redux	candidate	pass	0			0.6047231790000183	0.602904	524288
retained	8	6	2	fannkuch-redux	baseline	pass	0			0.653072007999981	0.651064	524288
retained	9	7	1	fannkuch-redux	baseline	pass	0			0.6537564699999621	0.651349	524288
retained	9	7	2	fannkuch-redux	candidate	pass	0			0.6051363930000093	0.603162	524288
retained	10	8	1	fannkuch-redux	candidate	pass	0			0.6046063869999898	0.602693	524288
retained	10	8	2	fannkuch-redux	baseline	pass	0			0.6536798980000071	0.651429	524288
retained	11	9	1	fannkuch-redux	baseline	pass	0			0.6532820979999769	0.651344	524288
retained	11	9	2	fannkuch-redux	candidate	pass	0			0.6042117650000023	0.60231	524288
retained	12	10	1	fannkuch-redux	candidate	pass	0			0.6052002229999971	0.603115	524288
retained	12	10	2	fannkuch-redux	baseline	pass	0			0.653292816999965	0.651248	524288
retained	13	11	1	fannkuch-redux	baseline	pass	0			0.6534071859999813	0.651442	524288
retained	13	11	2	fannkuch-redux	candidate	pass	0			0.6053555979999601	0.602892	524288
