phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	baseline	pass	0			0.3766263730000219	0.37347	524288
warmup	1	0	2	n-body	candidate	pass	0			0.2692063350000353	0.267066	524288
warmup	2	0	1	n-body	candidate	pass	0			0.2701591869999902	0.267128	671744
warmup	2	0	2	n-body	baseline	pass	0			0.3758442740000305	0.373501	524288
retained	3	1	1	n-body	baseline	pass	0			0.3755754019999813	0.373389	524288
retained	3	1	2	n-body	candidate	pass	0			0.27061287100002573	0.266921	684032
retained	4	2	1	n-body	candidate	pass	0			0.26968956100000696	0.267157	671744
retained	4	2	2	n-body	baseline	pass	0			0.3764220539999883	0.373958	524288
retained	5	3	1	n-body	baseline	pass	0			0.37596865699998716	0.373671	524288
retained	5	3	2	n-body	candidate	pass	0			0.26915588200000684	0.267016	675840
retained	6	4	1	n-body	candidate	pass	0			0.26956967999996095	0.26753	688128
retained	6	4	2	n-body	baseline	pass	0			0.37586842400003206	0.373597	524288
retained	7	5	1	n-body	baseline	pass	0			0.375370031999978	0.373427	524288
retained	7	5	2	n-body	candidate	pass	0			0.2690221889999975	0.267009	671744
retained	8	6	1	n-body	candidate	pass	0			0.2685716010000192	0.266582	671744
retained	8	6	2	n-body	baseline	pass	0			0.3757266540000046	0.373981	524288
retained	9	7	1	n-body	baseline	pass	0			0.3750193300000433	0.373226	524288
retained	9	7	2	n-body	candidate	pass	0			0.2686809369999992	0.266673	671744
retained	10	8	1	n-body	candidate	pass	0			0.2689034840000204	0.26699	688128
retained	10	8	2	n-body	baseline	pass	0			0.37548744500003295	0.373637	524288
retained	11	9	1	n-body	baseline	pass	0			0.3752593240000124	0.373426	524288
retained	11	9	2	n-body	candidate	pass	0			0.26839892099997087	0.266581	688128
retained	12	10	1	n-body	candidate	pass	0			0.26942901799998253	0.267042	696320
retained	12	10	2	n-body	baseline	pass	0			0.37602490000000444	0.373292	524288
retained	13	11	1	n-body	baseline	pass	0			0.3757904880000069	0.373357	524288
retained	13	11	2	n-body	candidate	pass	0			0.2696055610000485	0.267094	692224
