phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	baseline	pass	0			8.324677355000006	8.322039	1368064
warmup	1	0	2	spectral-norm	candidate	pass	0			8.320906292000018	8.319137	1474560
warmup	2	0	1	spectral-norm	candidate	pass	0			8.324041797999996	8.320853	1454080
warmup	2	0	2	spectral-norm	baseline	pass	0			8.324406446000012	8.321382	1454080
retained	3	1	1	spectral-norm	baseline	pass	0			8.324545539000042	8.322516	1454080
retained	3	1	2	spectral-norm	candidate	pass	0			8.327732198000035	8.319687	1454080
retained	4	2	1	spectral-norm	candidate	pass	0			8.322706003999997	8.320515	1466368
retained	4	2	2	spectral-norm	baseline	pass	0			8.325592794000045	8.32257	1470464
retained	5	3	1	spectral-norm	baseline	pass	0			8.323183134999965	8.32134	1454080
retained	5	3	2	spectral-norm	candidate	pass	0			8.323187320999978	8.320823	1454080
retained	6	4	1	spectral-norm	candidate	pass	0			8.322329269999955	8.320232	1388544
retained	6	4	2	spectral-norm	baseline	pass	0			8.323332133000008	8.321414	1568768
retained	7	5	1	spectral-norm	baseline	pass	0			8.322766171000012	8.320192	1380352
retained	7	5	2	spectral-norm	candidate	pass	0			8.321371116000023	8.319298	1462272
retained	8	6	1	spectral-norm	candidate	pass	0			8.325249278000001	8.322049	1499136
retained	8	6	2	spectral-norm	baseline	pass	0			8.324242624000021	8.321915	1441792
retained	9	7	1	spectral-norm	baseline	pass	0			8.324109153999984	8.321421	1499136
retained	9	7	2	spectral-norm	candidate	pass	0			8.323178604000077	8.320875	1478656
retained	10	8	1	spectral-norm	candidate	pass	0			8.32463395800005	8.322371	1409024
retained	10	8	2	spectral-norm	baseline	pass	0			8.32403452199992	8.322	1449984
retained	11	9	1	spectral-norm	baseline	pass	0			8.326359962999959	8.321022	1482752
retained	11	9	2	spectral-norm	candidate	pass	0			8.324537153999927	8.321473	1454080
retained	12	10	1	spectral-norm	candidate	pass	0			8.323228066999945	8.321316	1474560
retained	12	10	2	spectral-norm	baseline	pass	0			8.32430952499999	8.321533	1454080
retained	13	11	1	spectral-norm	baseline	pass	0			8.324220165000042	8.321591	1495040
retained	13	11	2	spectral-norm	candidate	pass	0			8.324593983	8.322245	1490944
