phase,round,order,role,stage,elapsed_seconds,peak_rss_bytes,status
warmup,1,1,baseline,b2-b3,1.47,41091072,0
warmup,1,2,candidate,b2-b3,1.63,41205760,0
warmup,1,1,baseline,b3-b4,1.50,41074688,0
warmup,1,2,candidate,b3-b4,1.64,41205760,0
warmup,2,1,candidate,b2-b3,1.65,41271296,0
warmup,2,2,baseline,b2-b3,1.68,41140224,0
warmup,2,1,candidate,b3-b4,1.64,41058304,0
warmup,2,2,baseline,b3-b4,1.57,41320448,0
retained,1,1,baseline,b2-b3,1.65,40894464,0
retained,1,2,candidate,b2-b3,1.58,41222144,0
retained,1,1,baseline,b3-b4,1.57,41238528,0
retained,1,2,candidate,b3-b4,1.62,41369600,0
retained,2,1,candidate,b2-b3,1.55,41254912,0
retained,2,2,baseline,b2-b3,1.60,41254912,0
retained,2,1,candidate,b3-b4,1.62,41025536,0
retained,2,2,baseline,b3-b4,1.55,41172992,0
retained,3,1,baseline,b2-b3,1.60,41189376,0
retained,3,2,candidate,b2-b3,1.61,41189376,0
retained,3,1,baseline,b3-b4,1.81,41091072,0
retained,3,2,candidate,b3-b4,1.60,41353216,0
retained,4,1,candidate,b2-b3,1.65,41107456,0
retained,4,2,baseline,b2-b3,1.57,41041920,0
retained,4,1,candidate,b3-b4,1.66,41271296,0
retained,4,2,baseline,b3-b4,1.66,41189376,0
retained,5,1,baseline,b2-b3,1.79,40960000,0
retained,5,2,candidate,b2-b3,1.54,41222144,0
retained,5,1,baseline,b3-b4,1.59,40730624,0
retained,5,2,candidate,b3-b4,1.53,41156608,0
retained,6,1,candidate,b2-b3,1.63,41041920,0
retained,6,2,baseline,b2-b3,1.59,40992768,0
retained,6,1,candidate,b3-b4,1.55,40845312,0
retained,6,2,baseline,b3-b4,1.81,41074688,0
retained,7,1,baseline,b2-b3,1.77,40730624,0
retained,7,2,candidate,b2-b3,1.68,41189376,0
retained,7,1,baseline,b3-b4,1.80,41172992,0
retained,7,2,candidate,b3-b4,1.65,41156608,0
