phase,round,order,role,stage,elapsed_seconds,peak_rss_bytes,status
warmup,1,1,baseline,b2-b3,0.95,64307200,0
warmup,1,2,candidate,b2-b3,0.95,64380928,0
warmup,1,1,baseline,b3-b4,0.95,64393216,0
warmup,1,2,candidate,b3-b4,0.92,64258048,0
warmup,2,1,candidate,b2-b3,0.90,64335872,0
warmup,2,2,baseline,b2-b3,0.90,64364544,0
warmup,2,1,candidate,b3-b4,0.90,64466944,0
warmup,2,2,baseline,b3-b4,0.90,64307200,0
retained,1,1,baseline,b2-b3,0.90,64274432,0
retained,1,2,candidate,b2-b3,0.90,64397312,0
retained,1,1,baseline,b3-b4,0.90,64557056,0
retained,1,2,candidate,b3-b4,0.90,64262144,0
retained,2,1,candidate,b2-b3,0.92,64389120,0
retained,2,2,baseline,b2-b3,0.90,64274432,0
retained,2,1,candidate,b3-b4,0.90,64241664,0
retained,2,2,baseline,b3-b4,0.90,64520192,0
retained,3,1,baseline,b2-b3,0.91,64503808,0
retained,3,2,candidate,b2-b3,0.91,64409600,0
retained,3,1,baseline,b3-b4,0.90,64417792,0
retained,3,2,candidate,b3-b4,0.90,64225280,0
retained,4,1,candidate,b2-b3,0.90,64393216,0
retained,4,2,baseline,b2-b3,0.92,64307200,0
retained,4,1,candidate,b3-b4,0.90,64266240,0
retained,4,2,baseline,b3-b4,0.90,64454656,0
retained,5,1,baseline,b2-b3,0.90,64278528,0
retained,5,2,candidate,b2-b3,0.92,64389120,0
retained,5,1,baseline,b3-b4,0.90,64385024,0
retained,5,2,candidate,b3-b4,0.90,64262144,0
retained,6,1,candidate,b2-b3,0.93,64266240,0
retained,6,2,baseline,b2-b3,0.92,64258048,0
retained,6,1,candidate,b3-b4,0.90,64393216,0
retained,6,2,baseline,b3-b4,0.90,64409600,0
retained,7,1,baseline,b2-b3,0.90,64352256,0
retained,7,2,candidate,b2-b3,0.90,64524288,0
retained,7,1,baseline,b3-b4,0.91,64536576,0
retained,7,2,candidate,b3-b4,0.92,64491520,0
