elapsed_seconds,rss_bytes,completed_phases,fd_count,thread_count
0.01,2154496,0,5,1
0.27,2195456,0,5,1
0.53,2224128,0,5,1
0.79,2248704,1,5,1
1.06,2273280,1,5,1
1.32,2293760,1,5,1
1.58,2310144,2,5,1
1.84,2318336,2,5,1
2.10,2318336,2,5,1
2.37,2318336,3,5,1
2.63,2318336,3,5,1
2.89,2318336,3,5,1
3.15,2318336,4,5,1
3.41,2326528,4,5,1
3.68,2326528,4,5,1
3.94,2326528,5,5,1
4.20,2326528,5,5,1
4.46,2326528,5,5,1
4.72,2326528,6,5,1
4.99,2326528,6,5,1
5.25,2326528,6,5,1
5.51,2330624,7,5,1
5.77,2330624,7,5,1
6.03,2330624,7,5,1
6.30,2334720,8,5,1
6.56,2334720,8,5,1
6.82,2334720,8,5,1
7.08,2334720,9,5,1
7.35,2334720,9,5,1
7.61,2334720,9,5,1
7.87,2334720,10,5,1
8.13,2334720,10,5,1
8.39,2334720,10,5,1
8.66,2338816,11,5,1
8.92,2338816,11,5,1
9.18,2338816,11,5,1
9.44,2338816,12,5,1
9.70,2338816,12,5,1
9.97,2338816,12,5,1
10.23,2338816,13,5,1
10.49,2338816,13,5,1
10.75,2338816,13,5,1
11.02,2338816,14,5,1
11.28,2338816,14,5,1
11.54,2338816,14,5,1
11.80,2338816,15,5,1
12.06,2338816,15,5,1
12.33,2338816,15,5,1
12.59,2338816,16,5,1
12.85,2338816,16,5,1
13.11,2338816,16,5,1
13.37,2338816,17,5,1
13.64,2338816,17,5,1
13.90,2338816,17,5,1
14.16,2338816,18,5,1
14.42,2338816,18,5,1
14.69,2338816,19,5,1
14.95,2338816,19,5,1
15.21,2338816,19,5,1
15.47,2338816,20,5,1
15.73,2338816,20,5,1
16.00,2338816,20,5,1
16.26,2338816,21,5,1
16.52,2338816,21,5,1
16.78,2338816,21,5,1
17.04,2338816,22,5,1
17.30,2338816,22,5,1
17.57,2338816,22,5,1
17.83,2338816,23,5,1
18.09,2338816,23,5,1
18.35,2338816,23,5,1
18.62,2338816,24,5,1
18.88,2338816,24,5,1
19.14,2338816,24,5,1
19.40,2338816,25,5,1
19.66,2338816,25,5,1
19.92,2338816,25,5,1
20.19,2338816,26,5,1
20.45,2338816,26,5,1
20.71,2338816,26,5,1
20.97,2338816,27,5,1
21.23,2338816,27,5,1
21.50,2338816,27,5,1
21.76,2338816,28,5,1
22.02,2338816,28,5,1
22.28,2338816,28,5,1
22.54,2338816,29,5,1
22.81,2338816,29,5,1
23.07,2338816,29,5,1
23.33,2338816,30,5,1
23.59,2338816,30,5,1
23.85,2338816,30,5,1
24.12,2338816,31,5,1
24.38,2338816,31,5,1
24.64,2338816,31,5,1
24.90,2338816,32,5,1
25.16,2338816,32,5,1
25.43,2338816,32,5,1
25.69,2338816,33,5,1
25.95,2338816,33,5,1
26.21,2338816,33,5,1
26.47,2338816,34,5,1
26.74,2338816,34,5,1
27.00,2338816,34,5,1
27.26,2338816,35,5,1
27.52,2338816,35,5,1
27.78,2338816,35,5,1
28.05,2338816,36,5,1
28.31,2338816,36,5,1
28.57,2338816,36,5,1
28.83,2338816,37,5,1
29.09,2338816,37,5,1
29.35,2338816,37,5,1
29.62,2338816,38,5,1
29.88,2338816,38,5,1
30.14,2338816,38,5,1
30.40,2338816,39,5,1
30.66,2338816,39,5,1
30.92,2338816,40,5,1
31.19,2338816,40,5,1
31.45,2338816,40,5,1
31.71,2338816,41,5,1
31.97,2338816,41,5,1
32.23,2338816,41,5,1
32.50,2338816,42,5,1
32.76,2338816,42,5,1
33.02,2338816,42,5,1
33.28,2338816,43,5,1
33.54,2338816,43,5,1
33.81,2338816,43,5,1
34.07,2338816,44,5,1
34.33,2338816,44,5,1
34.59,2338816,44,5,1
34.85,2338816,45,5,1
35.11,2338816,45,5,1
35.38,2338816,45,5,1
35.64,2338816,46,5,1
35.90,2338816,46,5,1
36.16,2338816,46,5,1
36.43,2338816,47,5,1
36.69,2338816,47,5,1
36.95,2338816,47,5,1
37.21,2338816,48,5,1
37.47,2338816,48,5,1
37.73,2338816,48,5,1
38.00,2338816,49,5,1
38.26,2338816,49,5,1
38.52,2338816,49,5,1
38.78,2338816,50,5,1
39.04,2338816,50,5,1
39.30,2338816,50,5,1
39.57,2338816,51,5,1
39.83,2338816,51,5,1
40.09,2338816,51,5,1
40.35,2338816,52,5,1
40.61,2338816,52,5,1
40.88,2338816,52,5,1
41.14,2338816,53,5,1
41.40,2338816,53,5,1
41.66,2338816,53,5,1
41.92,2338816,54,5,1
42.18,2338816,54,5,1
42.45,2338816,54,5,1
42.71,2338816,55,5,1
42.97,2338816,55,5,1
43.23,2338816,55,5,1
43.49,2338816,56,5,1
43.76,2338816,56,5,1
44.02,2338816,56,5,1
44.28,2338816,57,5,1
44.54,2338816,57,5,1
44.80,2338816,57,5,1
45.06,2338816,58,5,1
45.33,2338816,58,5,1
45.59,2338816,58,5,1
45.85,2338816,59,5,1
46.12,2338816,59,5,1
