elapsed_seconds,rss_bytes,completed_phases,fd_count,thread_count
0.01,4952064,0,6,5
0.27,7872512,1,8,7
0.53,7639040,2,8,7
0.80,8589312,3,8,7
1.06,7589888,4,8,7
1.32,7659520,5,8,7
1.58,8445952,6,8,7
1.84,7905280,7,8,7
2.10,8667136,8,8,7
2.37,8654848,9,8,7
2.63,7880704,10,8,7
2.89,7966720,12,8,8
3.15,8155136,13,8,8
3.41,7983104,14,8,8
3.68,7593984,15,8,8
3.94,7753728,16,8,8
4.20,8134656,17,8,8
4.46,8044544,18,8,8
4.72,7946240,19,8,8
4.99,8794112,20,8,8
5.25,9080832,21,8,8
5.51,10670080,22,8,8
5.77,9097216,24,8,8
6.03,8949760,25,8,8
6.30,8253440,26,8,8
6.56,7794688,27,8,8
6.82,7860224,28,8,8
7.08,8572928,29,8,8
7.34,9097216,30,8,8
7.61,8048640,31,8,8
7.87,7647232,32,8,8
8.13,7966720,33,8,8
8.39,7442432,34,8,8
8.65,7737344,35,8,8
8.92,7991296,37,8,8
9.18,7663616,38,8,8
9.44,7737344,39,8,8
9.70,7794688,40,8,8
9.96,8048640,41,8,8
10.22,8056832,42,8,8
10.49,8572928,43,8,8
10.75,8048640,44,8,8
11.01,8032256,45,8,8
11.27,8286208,46,8,8
11.53,8044544,47,8,8
11.80,8572928,48,8,8
12.06,8138752,50,8,8
12.32,8179712,51,8,8
12.58,7852032,52,8,8
12.84,8572928,53,8,8
13.11,7458816,54,8,8
13.37,8056832,55,8,8
13.63,7811072,56,8,8
13.89,9097216,57,8,8
14.15,7917568,58,8,8
14.42,8048640,59,8,8
