phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	baseline	pass	0			0.6047427530000107	0.60296	430080
warmup	1	0	2	fannkuch-redux	candidate	pass	0			0.6046615099999997	0.602888	434176
warmup	2	0	1	fannkuch-redux	candidate	pass	0			0.6046927889999836	0.602718	430080
warmup	2	0	2	fannkuch-redux	baseline	pass	0			0.6050113330000215	0.602859	430080
retained	3	1	1	fannkuch-redux	baseline	pass	0			0.6048242810000204	0.602583	438272
retained	3	1	2	fannkuch-redux	candidate	pass	0			0.6051704840000127	0.602752	434176
retained	4	2	1	fannkuch-redux	candidate	pass	0			0.6047809070000199	0.602521	438272
retained	4	2	2	fannkuch-redux	baseline	pass	0			0.6047705890000259	0.602751	434176
retained	5	3	1	fannkuch-redux	baseline	pass	0			0.6047215680000022	0.602535	430080
retained	5	3	2	fannkuch-redux	candidate	pass	0			0.605092672000012	0.602599	425984
retained	6	4	1	fannkuch-redux	candidate	pass	0			0.6049742229999993	0.602573	434176
retained	6	4	2	fannkuch-redux	baseline	pass	0			0.60483239200002	0.602553	524288
retained	7	5	1	fannkuch-redux	baseline	pass	0			0.6045014040000183	0.602477	438272
retained	7	5	2	fannkuch-redux	candidate	pass	0			0.6050564720000011	0.602845	446464
retained	8	6	1	fannkuch-redux	candidate	pass	0			0.605080719	0.60299	524288
retained	8	6	2	fannkuch-redux	baseline	pass	0			0.6052658189999818	0.603066	434176
retained	9	7	1	fannkuch-redux	baseline	pass	0			0.6050434809999956	0.602964	524288
retained	9	7	2	fannkuch-redux	candidate	pass	0			0.6043708999999922	0.602425	524288
retained	10	8	1	fannkuch-redux	candidate	pass	0			0.6050375929999916	0.602573	524288
retained	10	8	2	fannkuch-redux	baseline	pass	0			0.6045237460000124	0.602719	524288
retained	11	9	1	fannkuch-redux	baseline	pass	0			0.6048397690000229	0.602595	524288
retained	11	9	2	fannkuch-redux	candidate	pass	0			0.6050363720000007	0.602942	524288
retained	12	10	1	fannkuch-redux	candidate	pass	0			0.6068816639999852	0.603636	524288
retained	12	10	2	fannkuch-redux	baseline	pass	0			0.6046727709999971	0.602486	524288
retained	13	11	1	fannkuch-redux	baseline	pass	0			0.6054670409999972	0.602792	524288
retained	13	11	2	fannkuch-redux	candidate	pass	0			0.604907604999994	0.60253	524288
