phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	baseline	pass	0			0.2687852980000116	0.266897	524288
warmup	1	0	2	n-body	candidate	pass	0			0.26960000600001877	0.26752	524288
warmup	2	0	1	n-body	candidate	pass	0			0.2698368080000364	0.267502	524288
warmup	2	0	2	n-body	baseline	pass	0			0.2701327099999844	0.267395	524288
retained	3	1	1	n-body	baseline	pass	0			0.26903905899996516	0.266839	524288
retained	3	1	2	n-body	candidate	pass	0			0.26923331000000417	0.26732	524288
retained	4	2	1	n-body	candidate	pass	0			0.2699341290000348	0.267268	524288
retained	4	2	2	n-body	baseline	pass	0			0.26955537800000684	0.267441	524288
retained	5	3	1	n-body	baseline	pass	0			0.2698896840000202	0.267425	524288
retained	5	3	2	n-body	candidate	pass	0			0.26933486399997264	0.267131	524288
retained	6	4	1	n-body	candidate	pass	0			0.2695894309999858	0.267294	524288
retained	6	4	2	n-body	baseline	pass	0			0.2696187180000038	0.2672	524288
retained	7	5	1	n-body	baseline	pass	0			0.26938083700002835	0.266935	524288
retained	7	5	2	n-body	candidate	pass	0			0.26913920399999824	0.266869	524288
retained	8	6	1	n-body	candidate	pass	0			0.26933637899998075	0.267256	524288
retained	8	6	2	n-body	baseline	pass	0			0.269048540999961	0.266941	524288
retained	9	7	1	n-body	baseline	pass	0			0.26937200899999425	0.26721	524288
retained	9	7	2	n-body	candidate	pass	0			0.26897512200002893	0.266853	524288
retained	10	8	1	n-body	candidate	pass	0			0.2689285879999943	0.266922	524288
retained	10	8	2	n-body	baseline	pass	0			0.2696697260000178	0.267359	524288
retained	11	9	1	n-body	baseline	pass	0			0.2692452000000003	0.26704	524288
retained	11	9	2	n-body	candidate	pass	0			0.2691678289999686	0.267067	524288
retained	12	10	1	n-body	candidate	pass	0			0.2689193489999866	0.266959	524288
retained	12	10	2	n-body	baseline	pass	0			0.2693791130000136	0.267232	524288
retained	13	11	1	n-body	baseline	pass	0			0.2694616269999983	0.267176	524288
retained	13	11	2	n-body	candidate	pass	0			0.2691578619999859	0.267217	524288
