phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	baseline	pass	0			8.323175815999946	8.321385	1212416
warmup	1	0	2	spectral-norm	candidate	pass	0			8.274428741999998	8.272625	1208320
warmup	2	0	1	spectral-norm	candidate	pass	0			8.277312773999995	8.273113	1204224
warmup	2	0	2	spectral-norm	baseline	pass	0			8.324872263999964	8.322222	1212416
retained	3	1	1	spectral-norm	baseline	pass	0			8.323393234999969	8.321461	1212416
retained	3	1	2	spectral-norm	candidate	pass	0			8.272963659000027	8.270901	1208320
retained	4	2	1	spectral-norm	candidate	pass	0			8.262307117999967	8.260415	1208320
retained	4	2	2	spectral-norm	baseline	pass	0			8.323659229000043	8.321859	1200128
retained	5	3	1	spectral-norm	baseline	pass	0			8.323366327999963	8.321428	1208320
retained	5	3	2	spectral-norm	candidate	pass	0			8.273364506999997	8.270709	1208320
retained	6	4	1	spectral-norm	candidate	pass	0			8.27203228899998	8.270291	1245184
retained	6	4	2	spectral-norm	baseline	pass	0			8.322379495999996	8.320827	1204224
retained	7	5	1	spectral-norm	baseline	pass	0			8.321610039999996	8.319966	1220608
retained	7	5	2	spectral-norm	candidate	pass	0			8.270374876000005	8.268654	1208320
retained	8	6	1	spectral-norm	candidate	pass	0			8.271918454000001	8.269845	1204224
retained	8	6	2	spectral-norm	baseline	pass	0			8.323579231999986	8.320643	1200128
retained	9	7	1	spectral-norm	baseline	pass	0			8.324257088000024	8.321014	1363968
retained	9	7	2	spectral-norm	candidate	pass	0			8.252374180999993	8.250574	1404928
retained	10	8	1	spectral-norm	candidate	pass	0			8.267447298999969	8.265792	1208320
retained	10	8	2	spectral-norm	baseline	pass	0			8.323192532999997	8.321486	1200128
retained	11	9	1	spectral-norm	baseline	pass	0			8.322779862000004	8.320585	1208320
retained	11	9	2	spectral-norm	candidate	pass	0			8.272878547000005	8.270592	1200128
retained	12	10	1	spectral-norm	candidate	pass	0			8.270834931000024	8.268989	1216512
retained	12	10	2	spectral-norm	baseline	pass	0			8.325105855000004	8.322191	1245184
retained	13	11	1	spectral-norm	baseline	pass	0			8.322998910000024	8.321058	1212416
retained	13	11	2	spectral-norm	candidate	pass	0			8.275107126999956	8.27301	1208320
