phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	baseline	pass	0			0.6538240849999966	0.651147	438272
warmup	1	0	2	fannkuch-redux	candidate	pass	0			0.6530847179999455	0.65103	393216
warmup	2	0	1	fannkuch-redux	candidate	pass	0			0.6533072619999984	0.651044	434176
warmup	2	0	2	fannkuch-redux	baseline	pass	0			0.653473823000013	0.651279	434176
retained	3	1	1	fannkuch-redux	baseline	pass	0			0.6540981890000239	0.651802	524288
retained	3	1	2	fannkuch-redux	candidate	pass	0			0.6532530360000237	0.6512	524288
retained	4	2	1	fannkuch-redux	candidate	pass	0			0.6535573119999754	0.651529	434176
retained	4	2	2	fannkuch-redux	baseline	pass	0			0.653949904000001	0.651396	524288
retained	5	3	1	fannkuch-redux	baseline	pass	0			0.6535609530000102	0.651303	430080
retained	5	3	2	fannkuch-redux	candidate	pass	0			0.6533580410000468	0.651093	434176
retained	6	4	1	fannkuch-redux	candidate	pass	0			0.6535883919999605	0.65122	524288
retained	6	4	2	fannkuch-redux	baseline	pass	0			0.6534339910000426	0.651198	434176
retained	7	5	1	fannkuch-redux	baseline	pass	0			0.6534871599999406	0.651156	524288
retained	7	5	2	fannkuch-redux	candidate	pass	0			0.6532648649999828	0.650969	524288
retained	8	6	1	fannkuch-redux	candidate	pass	0			0.653011544999913	0.651042	438272
retained	8	6	2	fannkuch-redux	baseline	pass	0			0.6535905160000084	0.651243	524288
retained	9	7	1	fannkuch-redux	baseline	pass	0			0.6536218859999963	0.651452	524288
retained	9	7	2	fannkuch-redux	candidate	pass	0			0.6535859159999973	0.65144	524288
retained	10	8	1	fannkuch-redux	candidate	pass	0			0.6534786940000004	0.651215	524288
retained	10	8	2	fannkuch-redux	baseline	pass	0			0.653243980999946	0.650978	524288
retained	11	9	1	fannkuch-redux	baseline	pass	0			0.6534087229999841	0.651278	524288
retained	11	9	2	fannkuch-redux	candidate	pass	0			0.6537649839999631	0.651188	524288
retained	12	10	1	fannkuch-redux	candidate	pass	0			0.6532130280000956	0.650964	524288
retained	12	10	2	fannkuch-redux	baseline	pass	0			0.6540902110000388	0.651673	524288
retained	13	11	1	fannkuch-redux	baseline	pass	0			0.6540290089999417	0.651433	524288
retained	13	11	2	fannkuch-redux	candidate	pass	0			0.6539628829999629	0.651397	524288
