phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	baseline	pass	0			0.37580367900000056	0.373348	524288
warmup	1	0	2	n-body	candidate	pass	0			0.32827244600002814	0.326054	524288
warmup	2	0	1	n-body	candidate	pass	0			0.328929599999924	0.326612	524288
warmup	2	0	2	n-body	baseline	pass	0			0.3760011320000558	0.373628	524288
retained	3	1	1	n-body	baseline	pass	0			0.37599656500003675	0.373802	524288
retained	3	1	2	n-body	candidate	pass	0			0.3284770299999309	0.326021	524288
retained	4	2	1	n-body	candidate	pass	0			0.32943493299990223	0.326311	524288
retained	4	2	2	n-body	baseline	pass	0			0.37602554800002963	0.373807	524288
retained	5	3	1	n-body	baseline	pass	0			0.37626441999998406	0.373909	524288
retained	5	3	2	n-body	candidate	pass	0			0.32820741900002304	0.326171	524288
retained	6	4	1	n-body	candidate	pass	0			0.32865828299998157	0.326308	524288
retained	6	4	2	n-body	baseline	pass	0			0.3762533770000118	0.373903	524288
retained	7	5	1	n-body	baseline	pass	0			0.3760145780000812	0.373532	524288
retained	7	5	2	n-body	candidate	pass	0			0.3283375450000676	0.325777	524288
retained	8	6	1	n-body	candidate	pass	0			0.32860898499995983	0.326363	524288
retained	8	6	2	n-body	baseline	pass	0			0.3753267979999464	0.373256	524288
retained	9	7	1	n-body	baseline	pass	0			0.3759114470000213	0.37367	524288
retained	9	7	2	n-body	candidate	pass	0			0.3284324520000155	0.326311	524288
retained	10	8	1	n-body	candidate	pass	0			0.328387555000063	0.326266	524288
retained	10	8	2	n-body	baseline	pass	0			0.3762412080000104	0.373832	524288
retained	11	9	1	n-body	baseline	pass	0			0.3760502360000828	0.373835	524288
retained	11	9	2	n-body	candidate	pass	0			0.3286919140000464	0.326499	524288
retained	12	10	1	n-body	candidate	pass	0			0.32848409099995024	0.32631	524288
retained	12	10	2	n-body	baseline	pass	0			0.3755007070000147	0.373267	524288
retained	13	11	1	n-body	baseline	pass	0			0.3753409419999798	0.373327	524288
retained	13	11	2	n-body	candidate	pass	0			0.3285418049999862	0.326068	524288
