phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes	artifact_bytes	artifact_sha256	program_status	program_stderr_empty	program_stdout_exact
warmup	1	0	1	fannkuch-redux	typerb-native	pass	0			0.19656263099997773	0.054952	78192640	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
warmup	1	0	2	fannkuch-redux	typerb-go	pass	0			3.9912040210000157	10.179077	387665920	2808692	09b6d09105936da06fb10e70a35b78f901f1f9976597bd7357ff45bf87a6a9a2	0	true	true
warmup	2	0	1	fannkuch-redux	typerb-go	pass	0			0.4631362430000081	0.339534	157302784	2808692	64d7f19d1ab901a7b1bf7ce776d56e119c26f297d03e951bc6f92d7acb7a3405	0	true	true
warmup	2	0	2	fannkuch-redux	typerb-native	pass	0			0.19732102599999735	0.05401	78123008	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	3	1	1	fannkuch-redux	typerb-native	pass	0			0.19226137299997959	0.052688	78368768	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	3	1	2	fannkuch-redux	typerb-go	pass	0			0.45535269699999503	0.332904	158355456	2808692	13450107348b3d79b28fff87457162a199336a00af6d5ce9a8eb2bb3d460518f	0	true	true
retained	4	2	1	fannkuch-redux	typerb-go	pass	0			0.4576591169999915	0.335003	160075776	2808836	cdac407e989d989271ea0766adf8d2d7691fbedd02fd25f662751339aac8b04c	0	true	true
retained	4	2	2	fannkuch-redux	typerb-native	pass	0			0.24476785699999937	0.054839	78376960	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	5	3	1	fannkuch-redux	typerb-native	pass	0			0.19544087500000273	0.053922	77918208	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	5	3	2	fannkuch-redux	typerb-go	pass	0			0.4621419439999954	0.330152	158941184	2808692	0887e3f5cfb7d98d322de20db2f4114d18615f2994c585cfd62c4d6890b63835	0	true	true
retained	6	4	1	fannkuch-redux	typerb-go	pass	0			0.46521868300001756	0.339031	159707136	2808692	ed365b5dd7f0a37e3132052ceb4b84fd274f3a88d7fbab3a97d58de2921e6b52	0	true	true
retained	6	4	2	fannkuch-redux	typerb-native	pass	0			0.19857402400000979	0.053608	78225408	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	7	5	1	fannkuch-redux	typerb-native	pass	0			0.1946757499999876	0.053143	78413824	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	7	5	2	fannkuch-redux	typerb-go	pass	0			0.46187336899998854	0.330884	161378304	2808692	54b201db55ee57d712e4018e651ca9086d453f98885e8d0acb86150229110125	0	true	true
retained	8	6	1	fannkuch-redux	typerb-go	pass	0			0.4569851600000163	0.335093	159256576	2808692	720ad30aed1d9e34854e025999b7eff877b7f5970ab093189c66e1dd212a00c0	0	true	true
retained	8	6	2	fannkuch-redux	typerb-native	pass	0			0.19661247600001275	0.054132	78180352	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	9	7	1	fannkuch-redux	typerb-native	pass	0			0.19417411399999196	0.05464	78385152	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	9	7	2	fannkuch-redux	typerb-go	pass	0			0.45823140100000614	0.337803	158912512	2808692	8114ddb8f7df4809071988f11f8c6c2d36c91a317affd24a61e4175a70287b63	0	true	true
retained	10	8	1	fannkuch-redux	typerb-go	pass	0			0.4625590779999982	0.333591	159215616	2808692	c52c260930fd909cd89b1d899eae9e205c664c932d913f8e59c0376b7c188857	0	true	true
retained	10	8	2	fannkuch-redux	typerb-native	pass	0			0.19524903199999244	0.053581	78229504	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	11	9	1	fannkuch-redux	typerb-native	pass	0			0.19567597100001421	0.054053	78385152	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	11	9	2	fannkuch-redux	typerb-go	pass	0			0.457590448000019	0.330743	159920128	2808692	e2feec4f5ca50ac379395d2a5ee33f092dd210d71b941dd0f5841dc0f436c0b6	0	true	true
retained	12	10	1	fannkuch-redux	typerb-go	pass	0			0.4567067279999719	0.332125	158892032	2808692	cfae5e00c6fc7f7ee400b1cb32c6dd24e13952727b42d0a5f883ab86868ca4db	0	true	true
retained	12	10	2	fannkuch-redux	typerb-native	pass	0			0.19728985500000817	0.054306	78127104	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	13	11	1	fannkuch-redux	typerb-native	pass	0			0.19633180099998526	0.053881	78184448	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	0	true	true
retained	13	11	2	fannkuch-redux	typerb-go	pass	0			0.4574466980000125	0.333863	158613504	2808692	e948912862feca1cf80a25fede302afdb26199f27ba09cb6c8d805a4ffe129c8	0	true	true
