phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes	artifact_bytes	artifact_sha256	program_status	program_stderr_empty	program_stdout_exact
warmup	1	0	1	n-body	typerb-native	pass	0			0.16354405799998517	0.065312	78278656	22496	378c19cd5559e9f1133570e985177b2c5dd9e0cd98eee79fa487cfca11d4cbb3	0	true	true
warmup	1	0	2	n-body	typerb-go	pass	0			3.8093961360000037	10.018231	398708736	2815362	3d89ff4582a9a9a6fb1a424348c8fd516768bd9eaef9278bc4c044cf23458220	0	true	true
warmup	2	0	1	n-body	typerb-go	pass	0			0.8836148190000017	0.38456	163893248	2815362	83cc89f2c32e651043757b5478007b1c828c4acd2b2d3f153fbe7e7467630b33	0	true	true
warmup	2	0	2	n-body	typerb-native	pass	0			0.1666550959999995	0.065801	78110720	22496	378c19cd5559e9f1133570e985177b2c5dd9e0cd98eee79fa487cfca11d4cbb3	0	true	true
retained	3	1	1	n-body	typerb-native	pass	0			0.163475558000016	0.065311	78565376	22496	378c19cd5559e9f1133570e985177b2c5dd9e0cd98eee79fa487cfca11d4cbb3	0	true	true
retained	3	1	2	n-body	typerb-go	pass	0			0.39661838499998225	0.371104	162660352	2815362	a2c715f46a9ada67824fc0a508d8fd51a3b5a280034e47877b0e71aefa37700c	0	true	true
retained	4	2	1	n-body	typerb-go	pass	0			0.4000114179999912	0.368504	163057664	2815362	059f625d409c63b5ff1fd0fdcf09f3d21a7ad9cda571b23d28bb3e4a43da957c	0	true	true
retained	4	2	2	n-body	typerb-native	pass	0			0.16179204599998798	0.065029	78303232	22496	378c19cd5559e9f1133570e985177b2c5dd9e0cd98eee79fa487cfca11d4cbb3	0	true	true
retained	5	3	1	n-body	typerb-native	pass	0			0.16356881999999473	0.066028	78303232	22496	378c19cd5559e9f1133570e985177b2c5dd9e0cd98eee79fa487cfca11d4cbb3	0	true	true
retained	5	3	2	n-body	typerb-go	pass	0			0.3989797920000058	0.371371	162263040	2815362	772e8defac3ecd666b686b2327082e305ddd34bb6f6f362a4f7bf6db173b2e58	0	true	true
retained	6	4	1	n-body	typerb-go	pass	0			0.4034004020000168	0.369766	162799616	2815362	b9157cc8417dec1ffc8d23573bdd54d4cc0389ae60e92a4322233dba71d65dc6	0	true	true
retained	6	4	2	n-body	typerb-native	pass	0			0.16359322699997847	0.065314	78192640	22496	378c19cd5559e9f1133570e985177b2c5dd9e0cd98eee79fa487cfca11d4cbb3	0	true	true
retained	7	5	1	n-body	typerb-native	pass	0			0.16253333000000225	0.065577	78286848	22496	378c19cd5559e9f1133570e985177b2c5dd9e0cd98eee79fa487cfca11d4cbb3	0	true	true
retained	7	5	2	n-body	typerb-go	pass	0			0.3969984059999945	0.371053	161771520	2815362	141652c29dfcb1f87ea36f0620934d3b57581eb2ce918f871cf5c3e1f6a4ae41	0	true	true
retained	8	6	1	n-body	typerb-go	pass	0			0.39117111999999565	0.364291	162127872	2815354	baa8fa95ffa27e35c9cd65f5787a2517a907fe3cc680f5d31853d6adffa18029	0	true	true
retained	8	6	2	n-body	typerb-native	pass	0			0.16144936199998483	0.064144	78639104	22496	378c19cd5559e9f1133570e985177b2c5dd9e0cd98eee79fa487cfca11d4cbb3	0	true	true
retained	9	7	1	n-body	typerb-native	pass	0			0.16748747600001934	0.066925	78356480	22496	378c19cd5559e9f1133570e985177b2c5dd9e0cd98eee79fa487cfca11d4cbb3	0	true	true
retained	9	7	2	n-body	typerb-go	pass	0			0.3990473609999867	0.369444	161976320	2815362	cd10a1deafa6ef0e03134c6690b9260b0cf451419f16799ffc48e019c9d69ec4	0	true	true
retained	10	8	1	n-body	typerb-go	pass	0			0.3941971389999992	0.370288	161959936	2815362	badd83b5678319803eb622a2f2bf519f6eeb14113397ba6fddabe0e771a05602	0	true	true
retained	10	8	2	n-body	typerb-native	pass	0			0.16357866900000317	0.065183	78299136	22496	378c19cd5559e9f1133570e985177b2c5dd9e0cd98eee79fa487cfca11d4cbb3	0	true	true
retained	11	9	1	n-body	typerb-native	pass	0			0.16489857399997732	0.066011	78282752	22496	378c19cd5559e9f1133570e985177b2c5dd9e0cd98eee79fa487cfca11d4cbb3	0	true	true
retained	11	9	2	n-body	typerb-go	pass	0			0.39571416000001136	0.373947	162500608	2815314	b735f64de41a8ce0b73e00ddb05e36bf2650c4ce3f54c33acec5a065b63d6300	0	true	true
retained	12	10	1	n-body	typerb-go	pass	0			0.3923852169999975	0.370085	161308672	2815362	998f41d76a97bea0ece86a22a1aecad5e19625a00515a7403d9219de39ac137d	0	true	true
retained	12	10	2	n-body	typerb-native	pass	0			0.17052754699997763	0.06621	78360576	22496	378c19cd5559e9f1133570e985177b2c5dd9e0cd98eee79fa487cfca11d4cbb3	0	true	true
retained	13	11	1	n-body	typerb-native	pass	0			0.16439214800001878	0.065218	78286848	22496	378c19cd5559e9f1133570e985177b2c5dd9e0cd98eee79fa487cfca11d4cbb3	0	true	true
retained	13	11	2	n-body	typerb-go	pass	0			0.4068277640000133	0.37509	162775040	2815362	b566c94637e6bfcc2cff84ad04268c286c0cfd90b4400d2f12edbe39aaf31e7e	0	true	true
