phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes	artifact_bytes	artifact_sha256	program_status	program_stderr_empty	program_stdout_exact
warmup	1	0	1	spectral-norm	typerb-native	pass	0			0.19113063699995791	0.05413	78282752	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887	0	true	true
warmup	1	0	2	spectral-norm	typerb-go	pass	0			3.693795200000011	9.747418	397045760	2809898	b0d4415b9de69603a650e106288c638480dfff94f9f5e961d283b9a69fa629c5	0	true	true
warmup	2	0	1	spectral-norm	typerb-go	pass	0			0.4595649760000242	0.337872	159186944	2809866	9e39114f13c5f75b90cc6d6e7b80c270599b77c38eb5759e78d08ee30ff06656	0	true	true
warmup	2	0	2	spectral-norm	typerb-native	pass	0			0.19597282400002314	0.055147	78286848	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887	0	true	true
retained	3	1	1	spectral-norm	typerb-native	pass	0			0.19342905400003474	0.053162	78544896	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887	0	true	true
retained	3	1	2	spectral-norm	typerb-go	pass	0			0.451360177999959	0.338734	160444416	2809898	fa3ca2ffda1f1467a4bf46932ef19d4d0fd5fa3e5515394dd8685ac997564d5b	0	true	true
retained	4	2	1	spectral-norm	typerb-go	pass	0			0.45737664800003586	0.342488	161538048	2809898	ab85a2cc8f1f7974c67336ab79b004d4b179a8a9798553f7bdf6230926e9e1f2	0	true	true
retained	4	2	2	spectral-norm	typerb-native	pass	0			0.21245766399999866	0.055116	78364672	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887	0	true	true
retained	5	3	1	spectral-norm	typerb-native	pass	0			0.20786676400001625	0.055065	78557184	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887	0	true	true
retained	5	3	2	spectral-norm	typerb-go	pass	0			0.46834133999999494	0.340894	160358400	2809898	14b73aa99a5997aa7df3583ab7db8a307ef926f1fd0f6c3eb2784f04a5334ea0	0	true	true
retained	6	4	1	spectral-norm	typerb-go	pass	0			0.45935914800003275	0.343995	161206272	2809898	fc0c25cc961baa7bbeed58c572c700cbfa04a521f475aa698369bf6a30a4f4d7	0	true	true
retained	6	4	2	spectral-norm	typerb-native	pass	0			0.1871889600000145	0.053105	78544896	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887	0	true	true
retained	7	5	1	spectral-norm	typerb-native	pass	0			0.18995509300003732	0.053466	78553088	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887	0	true	true
retained	7	5	2	spectral-norm	typerb-go	pass	0			0.45207948000000897	0.335014	160698368	2809898	759ef8248921c5831fbc9e6b7bd77fcc9bf28aa7007c9125acf44b442b6435b6	0	true	true
retained	8	6	1	spectral-norm	typerb-go	pass	0			0.4556188600000155	0.33928	159453184	2809866	074402224065d3df442392c57248007f5b09ae6d6d88d6902d96d82db273834e	0	true	true
retained	8	6	2	spectral-norm	typerb-native	pass	0			0.19227548700001762	0.053641	78290944	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887	0	true	true
retained	9	7	1	spectral-norm	typerb-native	pass	0			0.19159677900000815	0.053306	78356480	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887	0	true	true
retained	9	7	2	spectral-norm	typerb-go	pass	0			0.4555411059999983	0.340169	159473664	2809898	4d61dc5b9a375334eba41b093f42d9d707f804d8465e7a60c1573c1380b8d050	0	true	true
retained	10	8	1	spectral-norm	typerb-go	pass	0			0.44742100399997753	0.337691	158871552	2809898	22124b229ad589d889ca4bfa40c0b65faac7ff354ce8ce3ecb9c99f9713bcedd	0	true	true
retained	10	8	2	spectral-norm	typerb-native	pass	0			0.19209489799999346	0.05353	78360576	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887	0	true	true
retained	11	9	1	spectral-norm	typerb-native	pass	0			0.18811295299997255	0.053625	78098432	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887	0	true	true
retained	11	9	2	spectral-norm	typerb-go	pass	0			0.44951431599997704	0.337878	158793728	2809898	75dab32b5fab0abc72dc03bdbf097b8126db3b2ff81179795786a39004bec089	0	true	true
retained	12	10	1	spectral-norm	typerb-go	pass	0			0.44409256700004107	0.332367	159088640	2809866	5d70f98cef6c0c52d6840795bb83703caeb953dd43d7ee855231c3b47e08fa80	0	true	true
retained	12	10	2	spectral-norm	typerb-native	pass	0			0.19039242200000217	0.052988	78540800	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887	0	true	true
retained	13	11	1	spectral-norm	typerb-native	pass	0			0.19003886799998781	0.053847	78282752	19680	f863f0a532d22abfd09962d995a798d7643c9817f322594e1140f4d86793a887	0	true	true
retained	13	11	2	spectral-norm	typerb-go	pass	0			0.45024623000000474	0.341244	159916032	2809850	2d15dd55e6d2d684eb15a6037e26c3702552d2805973d3df3d550f702e425682	0	true	true
