phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	four-core	typerb-native	pass	0			84.84507774700069	84.836423	524288
warmup	1	0	2	fannkuch-redux	four-core	typerb-go	pass	0			46.27402732700011	46.395871	4161536
warmup	1	0	3	fannkuch-redux	four-core	c	pass	0			27.403953619000276	27.399967	524288
warmup	1	0	4	fannkuch-redux	four-core	cpp	pass	0			24.983802638999805	24.979974	679936
warmup	1	0	5	fannkuch-redux	four-core	go	pass	0			24.621449308000592	24.697644	3428352
warmup	1	0	6	fannkuch-redux	four-core	rust	pass	0			6.314799101000062	24.822032	1970176
warmup	1	0	7	fannkuch-redux	four-core	java	pass	0			24.643753937999463	24.617164	51884032
warmup	2	0	1	fannkuch-redux	four-core	typerb-go	pass	0			46.0425544360005	46.181036	3940352
warmup	2	0	2	fannkuch-redux	four-core	c	pass	0			27.479126317999544	27.474698	524288
warmup	2	0	3	fannkuch-redux	four-core	cpp	pass	0			24.953343096000026	24.949141	679936
warmup	2	0	4	fannkuch-redux	four-core	go	pass	0			24.649151403999895	24.715102	3690496
warmup	2	0	5	fannkuch-redux	four-core	rust	pass	0			6.323255887000414	24.82851	1978368
warmup	2	0	6	fannkuch-redux	four-core	java	pass	0			23.999261746999764	23.982228	51822592
warmup	2	0	7	fannkuch-redux	four-core	typerb-native	pass	0			84.83992075700007	84.830989	524288
retained	3	1	1	fannkuch-redux	four-core	c	pass	0			27.406262898999557	27.402067	524288
retained	3	1	2	fannkuch-redux	four-core	cpp	pass	0			24.992576871999518	24.98773	679936
retained	3	1	3	fannkuch-redux	four-core	go	pass	0			24.656492023000283	24.725203	3358720
retained	3	1	4	fannkuch-redux	four-core	rust	pass	0			6.336642844999915	24.822354	1978368
retained	3	1	5	fannkuch-redux	four-core	java	pass	0			24.003381966000234	23.984174	51982336
retained	3	1	6	fannkuch-redux	four-core	typerb-native	pass	0			84.84207166299984	84.83278	524288
retained	3	1	7	fannkuch-redux	four-core	typerb-go	pass	0			46.21614621899971	46.334716	4136960
retained	4	2	1	fannkuch-redux	four-core	cpp	pass	0			24.985811354999896	24.981288	675840
retained	4	2	2	fannkuch-redux	four-core	go	pass	0			24.635584675000246	24.69486	3723264
retained	4	2	3	fannkuch-redux	four-core	rust	pass	0			6.309181454999816	24.822001	1978368
retained	4	2	4	fannkuch-redux	four-core	java	pass	0			24.004200907000268	23.981714	52207616
retained	4	2	5	fannkuch-redux	four-core	typerb-native	pass	0			84.86349056899962	84.856315	524288
retained	4	2	6	fannkuch-redux	four-core	typerb-go	pass	0			46.03439205399991	46.180896	4079616
retained	4	2	7	fannkuch-redux	four-core	c	pass	0			27.900264158000027	27.894218	524288
retained	5	3	1	fannkuch-redux	four-core	go	pass	0			24.618121740999413	24.68024	3411968
retained	5	3	2	fannkuch-redux	four-core	rust	pass	0			6.315805704000013	24.82341	2002944
retained	5	3	3	fannkuch-redux	four-core	java	pass	0			24.00683350700001	23.988232	51834880
retained	5	3	4	fannkuch-redux	four-core	typerb-native	pass	0			84.85082407699974	84.842291	524288
retained	5	3	5	fannkuch-redux	four-core	typerb-go	pass	0			46.28505583400056	46.416598	3997696
retained	5	3	6	fannkuch-redux	four-core	c	pass	0			27.486244583999905	27.481654	524288
retained	5	3	7	fannkuch-redux	four-core	cpp	pass	0			24.95815170899914	24.953574	671744
retained	6	4	1	fannkuch-redux	four-core	rust	pass	0			6.304625388999739	24.802177	1978368
retained	6	4	2	fannkuch-redux	four-core	java	pass	0			24.016591406999396	23.999038	51609600
retained	6	4	3	fannkuch-redux	four-core	typerb-native	pass	0			84.8655016040002	84.85579	524288
retained	6	4	4	fannkuch-redux	four-core	typerb-go	pass	0			46.337068881999585	46.458255	3891200
retained	6	4	5	fannkuch-redux	four-core	c	pass	0			27.480262996999954	27.476331	659456
retained	6	4	6	fannkuch-redux	four-core	cpp	pass	0			24.95972165100011	24.956048	667648
retained	6	4	7	fannkuch-redux	four-core	go	pass	0			24.64874784099993	24.698816	3522560
retained	7	5	1	fannkuch-redux	four-core	java	pass	0			24.003873678000673	23.992037	51679232
retained	7	5	2	fannkuch-redux	four-core	typerb-native	pass	0			84.85277059799955	84.844456	524288
