phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	one-core	typerb-native	pass	0			84.92729251499998	84.917756	524288
warmup	1	0	2	fannkuch-redux	one-core	typerb-go	pass	0			46.24919055800001	46.239875	3096576
warmup	1	0	3	fannkuch-redux	one-core	c	pass	0			27.414534780000054	27.40919	524288
warmup	1	0	4	fannkuch-redux	one-core	cpp	pass	0			24.960819054000012	24.956407	696320
warmup	1	0	5	fannkuch-redux	one-core	go	pass	0			24.60160043099995	24.592535	2654208
warmup	1	0	6	fannkuch-redux	one-core	rust	pass	0			24.798204729999952	24.793309	1196032
warmup	1	0	7	fannkuch-redux	one-core	java	pass	0			24.554225819999942	24.493398	49086464
warmup	2	0	1	fannkuch-redux	one-core	typerb-go	pass	0			46.06568787700007	46.056327	3006464
warmup	2	0	2	fannkuch-redux	one-core	c	pass	0			27.297564912999974	27.291998	524288
warmup	2	0	3	fannkuch-redux	one-core	cpp	pass	0			24.978648539000005	24.974323	675840
warmup	2	0	4	fannkuch-redux	one-core	go	pass	0			24.60470309899995	24.59586	2732032
warmup	2	0	5	fannkuch-redux	one-core	rust	pass	0			24.869598119000102	24.864852	1212416
warmup	2	0	6	fannkuch-redux	one-core	java	pass	0			24.607793163999986	24.549372	49606656
warmup	2	0	7	fannkuch-redux	one-core	typerb-native	pass	0			84.84642343799987	84.837864	524288
retained	3	1	1	fannkuch-redux	one-core	c	pass	0			27.907234028000175	27.902835	663552
retained	3	1	2	fannkuch-redux	one-core	cpp	pass	0			24.983679746000007	24.978063	684032
retained	3	1	3	fannkuch-redux	one-core	go	pass	0			24.617366275999984	24.608987	2727936
retained	3	1	4	fannkuch-redux	one-core	rust	pass	0			24.875115464999908	24.868855	1204224
retained	3	1	5	fannkuch-redux	one-core	java	pass	0			24.56204452299994	24.492733	49123328
retained	3	1	6	fannkuch-redux	one-core	typerb-native	pass	0			84.96588413599989	84.955548	524288
retained	3	1	7	fannkuch-redux	one-core	typerb-go	pass	0			46.140364282000064	46.129315	3276800
retained	4	2	1	fannkuch-redux	one-core	cpp	pass	0			24.9686435430001	24.963195	696320
retained	4	2	2	fannkuch-redux	one-core	go	pass	0			24.6655329350001	24.657509	2641920
retained	4	2	3	fannkuch-redux	one-core	rust	pass	0			24.866428591000158	24.860614	1384448
retained	4	2	4	fannkuch-redux	one-core	java	pass	0			24.804231499000025	24.742398	49094656
retained	4	2	5	fannkuch-redux	one-core	typerb-native	pass	0			84.87400075200003	84.864616	524288
retained	4	2	6	fannkuch-redux	one-core	typerb-go	pass	0			45.609416137999915	45.598877	3264512
retained	4	2	7	fannkuch-redux	one-core	c	pass	0			27.41045462000011	27.404922	524288
retained	5	3	1	fannkuch-redux	one-core	go	pass	0			24.792860334999887	24.784583	2641920
retained	5	3	2	fannkuch-redux	one-core	rust	pass	0			24.875902563999944	24.870747	1204224
retained	5	3	3	fannkuch-redux	one-core	java	pass	0			24.525840483000138	24.456384	49025024
retained	5	3	4	fannkuch-redux	one-core	typerb-native	pass	0			84.8432518709999	84.833783	524288
retained	5	3	5	fannkuch-redux	one-core	typerb-go	pass	0			46.097084021	46.086329	3006464
retained	5	3	6	fannkuch-redux	one-core	c	pass	0			27.485658798999793	27.48006	524288
retained	5	3	7	fannkuch-redux	one-core	cpp	pass	0			24.983606366000004	24.979256	745472
retained	6	4	1	fannkuch-redux	one-core	rust	pass	0			24.871118231999844	24.865842	1212416
retained	6	4	2	fannkuch-redux	one-core	java	pass	0			24.542775281000104	24.484036	49262592
retained	6	4	3	fannkuch-redux	one-core	typerb-native	pass	0			84.86672719100011	84.857543	524288
retained	6	4	4	fannkuch-redux	one-core	typerb-go	pass	0			46.208865220999996	46.197552	3022848
retained	6	4	5	fannkuch-redux	one-core	c	pass	0			27.487861126000098	27.482679	524288
retained	6	4	6	fannkuch-redux	one-core	cpp	pass	0			25.007665285999792	25.002096	696320
