phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	four-core	typerb-native	pass	0			11.459664511999904	11.457391	524288
warmup	1	0	2	n-body	four-core	typerb-go	pass	0			6.172054903000003	6.18383	3809280
warmup	1	0	3	n-body	four-core	c	pass	0			2.976742773000069	2.973537	692224
warmup	1	0	4	n-body	four-core	cpp	pass	0			2.727620610000031	2.724227	688128
warmup	1	0	5	n-body	four-core	go	pass	0			3.599441299000091	3.603115	3424256
warmup	1	0	6	n-body	four-core	rust	pass	0			3.5235190910000256	3.519802	1216512
warmup	1	0	7	n-body	four-core	java	pass	0			4.993753497000057	4.940582	51060736
warmup	2	0	1	n-body	four-core	typerb-go	pass	0			6.171515524000029	6.182916	3809280
warmup	2	0	2	n-body	four-core	c	pass	0			2.9762804340000457	2.973656	692224
warmup	2	0	3	n-body	four-core	cpp	pass	0			2.7296681279999575	2.726749	692224
warmup	2	0	4	n-body	four-core	go	pass	0			3.5981885500000317	3.601533	3657728
warmup	2	0	5	n-body	four-core	rust	pass	0			3.52559584800008	3.5222	1212416
warmup	2	0	6	n-body	four-core	java	pass	0			4.985695848000091	4.937057	50540544
warmup	2	0	7	n-body	four-core	typerb-native	pass	0			11.461969234000094	11.459263	524288
retained	3	1	1	n-body	four-core	c	pass	0			2.975893671999984	2.97335	696320
retained	3	1	2	n-body	four-core	cpp	pass	0			2.729399744000034	2.727147	954368
retained	3	1	3	n-body	four-core	go	pass	0			3.598351125000022	3.60335	3690496
retained	3	1	4	n-body	four-core	rust	pass	0			3.5000953909999453	3.496832	1216512
retained	3	1	5	n-body	four-core	java	pass	0			4.998880426000028	4.949177	51314688
retained	3	1	6	n-body	four-core	typerb-native	pass	0			11.464551989000029	11.461794	524288
retained	3	1	7	n-body	four-core	typerb-go	pass	0			6.173645702000044	6.185196	3878912
retained	4	2	1	n-body	four-core	cpp	pass	0			2.7279420879999634	2.725426	880640
retained	4	2	2	n-body	four-core	go	pass	0			3.5991562810000914	3.605013	3534848
retained	4	2	3	n-body	four-core	rust	pass	0			3.506056132000026	3.502484	966656
retained	4	2	4	n-body	four-core	java	pass	0			4.979611320999993	4.930827	51015680
retained	4	2	5	n-body	four-core	typerb-native	pass	0			11.460993483000038	11.458443	524288
retained	4	2	6	n-body	four-core	typerb-go	pass	0			6.1699654980000105	6.183429	3809280
retained	4	2	7	n-body	four-core	c	pass	0			2.9760122150000825	2.973489	696320
retained	5	3	1	n-body	four-core	go	pass	0			3.598644328999967	3.603053	3436544
retained	5	3	2	n-body	four-core	rust	pass	0			3.5054499249999935	3.502227	1212416
retained	5	3	3	n-body	four-core	java	pass	0			5.002860317	4.948887	50864128
retained	5	3	4	n-body	four-core	typerb-native	pass	0			11.460890552000023	11.458215	524288
retained	5	3	5	n-body	four-core	typerb-go	pass	0			6.171664884000052	6.183253	3805184
retained	5	3	6	n-body	four-core	c	pass	0			2.9757560980000335	2.97338	700416
retained	5	3	7	n-body	four-core	cpp	pass	0			2.7375828229999115	2.735001	692224
retained	6	4	1	n-body	four-core	rust	pass	0			3.5135741850000386	3.509866	1208320
retained	6	4	2	n-body	four-core	java	pass	0			5.007364337000013	4.951175	51105792
retained	6	4	3	n-body	four-core	typerb-native	pass	0			11.457397044000004	11.454832	524288
retained	6	4	4	n-body	four-core	typerb-go	pass	0			6.172627095000053	6.184678	3813376
retained	6	4	5	n-body	four-core	c	pass	0			2.9757213789999923	2.97326	700416
retained	6	4	6	n-body	four-core	cpp	pass	0			2.735806565999951	2.73339	700416
