phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	one-core	typerb-native	pass	0			11.460710539000019	11.457873	425984
warmup	1	0	2	n-body	one-core	typerb-go	pass	0			6.171868157000006	6.164002	3264512
warmup	1	0	3	n-body	one-core	c	pass	0			2.977867778999979	2.974233	667648
warmup	1	0	4	n-body	one-core	cpp	pass	0			2.7385025410000026	2.735332	684032
warmup	1	0	5	n-body	one-core	go	pass	0			3.6005336800000123	3.592956	2895872
warmup	1	0	6	n-body	one-core	rust	pass	0			3.531151594000022	3.527927	958464
warmup	1	0	7	n-body	one-core	java	pass	0			5.046515735000014	4.977093	48979968
warmup	2	0	1	n-body	one-core	typerb-go	pass	0			6.171277189000023	6.164291	3276800
warmup	2	0	2	n-body	one-core	c	pass	0			2.976373169999988	2.973584	679936
warmup	2	0	3	n-body	one-core	cpp	pass	0			2.7377676020000195	2.735036	688128
warmup	2	0	4	n-body	one-core	go	pass	0			3.6011538650000148	3.594287	2908160
warmup	2	0	5	n-body	one-core	rust	pass	0			3.527215061999982	3.523186	1216512
warmup	2	0	6	n-body	one-core	java	pass	0			5.016362773000026	4.951399	49074176
warmup	2	0	7	n-body	one-core	typerb-native	pass	0			11.471561253999994	11.468073	524288
retained	3	1	1	n-body	one-core	c	pass	0			2.9783652500000244	2.974291	675840
retained	3	1	2	n-body	one-core	cpp	pass	0			2.7377058539999553	2.734095	671744
retained	3	1	3	n-body	one-core	go	pass	0			3.601127195999993	3.594666	2895872
retained	3	1	4	n-body	one-core	rust	pass	0			3.5277050239999994	3.523752	974848
retained	3	1	5	n-body	one-core	java	pass	0			5.072482068999989	5.006721	48951296
retained	3	1	6	n-body	one-core	typerb-native	pass	0			11.466265937000003	11.462244	524288
retained	3	1	7	n-body	one-core	typerb-go	pass	0			6.170515821000038	6.16262	3031040
retained	4	2	1	n-body	one-core	cpp	pass	0			2.7307324789999825	2.727612	692224
retained	4	2	2	n-body	one-core	go	pass	0			3.599926227000026	3.592734	2891776
retained	4	2	3	n-body	one-core	rust	pass	0			3.5349223769999867	3.531393	966656
retained	4	2	4	n-body	one-core	java	pass	0			5.0675197589999925	5.004467	48984064
retained	4	2	5	n-body	one-core	typerb-native	pass	0			11.471312513999976	11.466976	524288
retained	4	2	6	n-body	one-core	typerb-go	pass	0			6.174278203999961	6.165807	3067904
retained	4	2	7	n-body	one-core	c	pass	0			2.9762720510000236	2.973439	675840
retained	5	3	1	n-body	one-core	go	pass	0			3.6000332309999976	3.593063	2895872
retained	5	3	2	n-body	one-core	rust	pass	0			3.527720864999992	3.524442	962560
retained	5	3	3	n-body	one-core	java	pass	0			5.1638595619999705	5.099857	49008640
retained	5	3	4	n-body	one-core	typerb-native	pass	0			11.474301975000003	11.469719	524288
retained	5	3	5	n-body	one-core	typerb-go	pass	0			6.173943502999975	6.163406	3018752
retained	5	3	6	n-body	one-core	c	pass	0			2.9788064509999685	2.973881	688128
retained	5	3	7	n-body	one-core	cpp	pass	0			2.736561700999971	2.733118	696320
retained	6	4	1	n-body	one-core	rust	pass	0			3.50873752800004	3.504705	1216512
retained	6	4	2	n-body	one-core	java	pass	0			5.034255411000004	4.968559	49020928
retained	6	4	3	n-body	one-core	typerb-native	pass	0			11.447843164000005	11.444822	524288
retained	6	4	4	n-body	one-core	typerb-go	pass	0			6.178103936000014	6.165888	3276800
retained	6	4	5	n-body	one-core	c	pass	0			2.9767315309999844	2.973528	696320
retained	6	4	6	n-body	one-core	cpp	pass	0			2.7352662229999964	2.732461	688128
retained	6	4	7	n-body	one-core	go	pass	0			3.5986061099999915	3.592001	2895872
retained	7	5	1	n-body	one-core	java	pass	0			5.063320826999984	4.989182	40648704
retained	7	5	2	n-body	one-core	typerb-native	pass	0			11.470389376000014	11.467573	524288
retained	7	5	3	n-body	one-core	typerb-go	pass	0			6.172110910000015	6.164899	3276800
retained	7	5	4	n-body	one-core	c	pass	0			2.976501909000035	2.973626	679936
retained	7	5	5	n-body	one-core	cpp	pass	0			2.7349265499999547	2.731091	688128
retained	7	5	6	n-body	one-core	go	pass	0			3.599192044000006	3.591987	2895872
retained	7	5	7	n-body	one-core	rust	pass	0			3.5053041820000317	3.502171	958464
retained	8	6	1	n-body	one-core	typerb-native	pass	0			11.469643604999987	11.466679	524288
retained	8	6	2	n-body	one-core	typerb-go	pass	0			6.170321218000026	6.162739	3018752
retained	8	6	3	n-body	one-core	c	pass	0			2.976983490000009	2.973756	692224
retained	8	6	4	n-body	one-core	cpp	pass	0			2.7351773409999964	2.732487	692224
retained	8	6	5	n-body	one-core	go	pass	0			3.599010232000012	3.593	2883584
retained	8	6	6	n-body	one-core	rust	pass	0			3.5033623919999854	3.500102	1212416
retained	8	6	7	n-body	one-core	java	pass	0			5.040178167000022	4.977425	48971776
retained	9	7	1	n-body	one-core	typerb-go	pass	0			6.169179020000001	6.16222	3096576
retained	9	7	2	n-body	one-core	c	pass	0			2.9763207910000347	2.973398	692224
retained	9	7	3	n-body	one-core	cpp	pass	0			2.735161715000004	2.731356	700416
retained	9	7	4	n-body	one-core	go	pass	0			3.599606504999997	3.592944	2854912
retained	9	7	5	n-body	one-core	rust	pass	0			3.501753348999955	3.498594	1216512
