phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	four-core	typerb-native	pass	0			5.178484045000005	5.177101	1224704
warmup	1	0	2	spectral-norm	four-core	typerb-go	pass	0			5.6381462159999955	5.645944	7974912
warmup	1	0	3	spectral-norm	four-core	c	pass	0			1.7872556209999857	1.785445	966656
warmup	1	0	4	spectral-norm	four-core	cpp	pass	0			1.8392570649999698	1.837108	962560
warmup	1	0	5	spectral-norm	four-core	go	pass	0			3.2170006919999423	3.219925	4595712
warmup	1	0	6	spectral-norm	four-core	rust	pass	0			0.46149765800009845	1.800259	2211840
warmup	1	0	7	spectral-norm	four-core	java	pass	0			1.9026087539999708	1.886769	52363264
warmup	2	0	1	spectral-norm	four-core	typerb-go	pass	0			5.635644376999949	5.646596	8118272
warmup	2	0	2	spectral-norm	four-core	c	pass	0			1.7870666420000134	1.785221	946176
warmup	2	0	3	spectral-norm	four-core	cpp	pass	0			1.8388697560000082	1.83679	946176
warmup	2	0	4	spectral-norm	four-core	go	pass	0			3.2170654990000003	3.221569	4714496
warmup	2	0	5	spectral-norm	four-core	rust	pass	0			0.4630992170000354	1.80064	2215936
warmup	2	0	6	spectral-norm	four-core	java	pass	0			1.8951128080000217	1.882333	52310016
warmup	2	0	7	spectral-norm	four-core	typerb-native	pass	0			5.179985706000025	5.178137	1208320
retained	3	1	1	spectral-norm	four-core	c	pass	0			1.7874559230000386	1.78562	700416
retained	3	1	2	spectral-norm	four-core	cpp	pass	0			1.8384927829999924	1.836666	933888
retained	3	1	3	spectral-norm	four-core	go	pass	0			3.2190533100000494	3.222515	4608000
retained	3	1	4	spectral-norm	four-core	rust	pass	0			0.4689818470000091	1.801658	2211840
retained	3	1	5	spectral-norm	four-core	java	pass	0			1.898316025999975	1.883664	52289536
retained	3	1	6	spectral-norm	four-core	typerb-native	pass	0			5.180067128000019	5.178323	1208320
retained	3	1	7	spectral-norm	four-core	typerb-go	pass	0			5.6335146129999885	5.648616	7958528
retained	4	2	1	spectral-norm	four-core	cpp	pass	0			1.83909109800004	1.837181	937984
retained	4	2	2	spectral-norm	four-core	go	pass	0			3.2211022169999524	3.220734	4489216
retained	4	2	3	spectral-norm	four-core	rust	pass	0			0.4629774049999469	1.800804	2215936
retained	4	2	4	spectral-norm	four-core	java	pass	0			1.8954496630000222	1.884643	52035584
retained	4	2	5	spectral-norm	four-core	typerb-native	pass	0			5.178602818999934	5.176986	1216512
retained	4	2	6	spectral-norm	four-core	typerb-go	pass	0			5.639772687000004	5.647637	8011776
retained	4	2	7	spectral-norm	four-core	c	pass	0			1.7872697770000059	1.78547	946176
retained	5	3	1	spectral-norm	four-core	go	pass	0			3.217193844999997	3.222829	4714496
retained	5	3	2	spectral-norm	four-core	rust	pass	0			0.45915625300006013	1.800693	2228224
retained	5	3	3	spectral-norm	four-core	java	pass	0			1.9076971409999715	1.884123	52580352
